"Countries, territories and areas",Year, Both sexes, Male, Female, Both sexes.1, Male.1, Female.1, Both sexes.2, Male.2, Female.2,Code
Afghanistan,2005,34.2 [20.5-48.0],53.1 [32.5-73.8],15.3 [8.5-22.1],17.9 [9.6-26.3],28.7 [15.2-42.2],7.1 [3.9-10.3],14.0 [8.2-19.8],25.1 [14.8-35.5],2.9 [1.6-4.1],004
Albania,2005,31.6 [25.8-37.4],53.6 [44.2-62.9],9.6 [7.4-11.8],31.6 [25.8-37.4],53.6 [44.2-62.9],9.6 [7.4-11.8],26.9 [21.1-32.8],47.2 [37.7-56.6],6.7 [4.5-8.9],008
Algeria,2005,22.3 [14.2-30.5],43.1 [27.4-58.8],1.5 [0.9-2.1],16.2 [10.9-21.5],31.0 [20.9-41.1],1.4 [0.8-2.0],13.4 [8.0-18.8],26.1 [15.6-36.6],0.7 [0.4-1.1],012
Andorra,2005,35.8 [27.6-43.9],41.3 [32.1-50.5],30.3 [23.2-37.3],35.8 [27.6-43.9],41.3 [32.1-50.5],30.3 [23.2-37.3],29.3 [18.1-40.5],34.1 [20.8-47.4],24.5 [15.3-33.6],020
Argentina,2005,31.5 [26.0-37.1],37.2 [30.6-43.7],25.9 [21.3-30.5],31.5 [26.0-37.1],37.2 [30.6-43.7],25.9 [21.3-30.5],28.7 [23.1-34.3],33.8 [27.5-40.0],23.6 [18.8-28.5],032
Armenia,2005,30.8 [25.7-35.9],59.3 [49.7-68.9],2.3 [1.8-2.8],30.8 [25.7-35.9],59.3 [49.7-68.9],2.3 [1.8-2.8],30.1 [25.2-35.0],58.3 [48.9-67.6],2.0 [1.6-2.4],051
Australia,2005,21.2 [17.7-24.7],23.4 [19.6-27.2],19.0 [15.9-22.2],21.2 [17.7-24.7],23.4 [19.6-27.2],19.0 [15.9-22.2],17.3 [12.0-22.6],18.8 [13.0-24.6],15.8 [11.1-20.6],036
Austria,2005,44.4 [34.9-53.9],48.2 [38.1-58.4],40.5 [31.7-49.3],44.4 [34.9-53.9],48.2 [38.1-58.4],40.5 [31.7-49.3],41.2 [31.6-50.8],45.3 [34.3-56.2],37.1 [29.0-45.3],040
Azerbaijan,2005,26.1 [16.4-35.9],52.0 [32.6-71.3],0.3 [0.1-0.4],26.1 [16.4-35.9],52.0 [32.6-71.3],0.3 [0.1-0.4],20.6 [14.1-27.1],40.9 [28.0-53.9],0.2 [0.1-0.3],031
Bahamas,2005,11.7 [8.0-15.4],19.5 [13.5-25.5],4.0 [2.5-5.4],11.7 [8.0-15.4],19.5 [13.5-25.5],4.0 [2.5-5.4],9.4 [5.4-13.5],15.8 [9.1-22.4],3.1 [1.6-4.5],044
Bahrain,2005,20.0 [14.5-25.5],33.2 [24.3-42.1],6.7 [4.6-8.9],20.0 [14.5-25.5],33.2 [24.3-42.1],6.7 [4.6-8.9],14.2 [10.2-18.2],26.6 [19.5-33.7],1.8 [0.9-2.6],048
Bangladesh,2005,50.7 [41.1-60.3],63.1 [52.0-74.2],38.3 [30.2-46.5],27.6 [23.2-32.1],52.2 [44.0-60.3],3.1 [2.4-3.9],20.9 [16.3-25.5],40.6 [31.9-49.3],1.2 [0.7-1.6],050
Barbados,2005,8.8 [6.0-11.6],14.5 [10.0-18.9],3.1 [1.9-4.2],8.8 [6.0-11.6],14.5 [10.0-18.9],3.1 [1.9-4.2],7.1 [4.1-10.1],11.8 [6.7-16.8],2.5 [1.5-3.5],052
Belarus,2005,39.5 [31.8-47.2],63.9 [51.6-76.2],15.0 [12.0-18.1],33.9 [28.1-39.7],56.1 [46.8-65.4],11.7 [9.4-14.0],32.1 [26.7-37.5],52.9 [43.9-62.0],11.3 [9.4-13.1],112
Belgium,2005,29.9 [24.5-35.3],35.3 [29.2-41.4],24.5 [19.8-29.2],28.0 [23.4-32.6],33.4 [28.0-38.8],22.6 [18.8-26.4],26.1 [20.7-31.5],30.9 [24.4-37.4],21.3 [16.9-25.6],056
Belize,2005,12.3 [7.7-16.9],21.8 [13.8-29.8],2.8 [1.6-4.0],12.3 [7.7-16.9],21.8 [13.8-29.8],2.8 [1.6-4.0],10.5 [6.8-14.1],18.7 [12.3-25.0],2.3 [1.3-3.3],084
Benin,2005,13.8 [10.5-17.1],23.7 [18.2-29.1],3.9 [2.9-5.0],8.8 [6.6-11.1],16.2 [12.4-20.0],1.5 [0.9-2.1],7.0 [5.2-8.8],13.5 [10.1-16.8],0.6 [0.3-0.8],204
Bhutan,2005,28.4 [17.3-39.6],33.4 [20.3-46.6],23.4 [14.2-32.6],11.6 [6.8-16.4],14.9 [8.9-20.9],8.3 [4.7-12.0],7.8 [3.6-12.0],11.4 [5.4-17.3],4.2 [1.8-6.6],064
Bolivia (Plurinational State of),2005,26.6 [14.8-38.4],34.8 [16.8-52.8],18.4 [12.9-24.0],26.6 [14.8-38.4],34.8 [16.8-52.8],18.4 [12.9-24.0],22.7 [11.4-34.1],28.6 [10.6-46.7],16.8 [12.2-21.4],
Bosnia and Herzegovina,2005,43.7 [33.8-53.7],53.9 [41.7-66.2],33.5 [25.8-41.2],43.7 [33.8-53.7],53.9 [41.7-66.2],33.5 [25.8-41.2],35.6 [26.0-45.3],44.0 [32.1-55.9],27.3 [19.9-34.6],070
Botswana,2005,29.4 [21.7-37.2],37.5 [27.7-47.3],21.4 [15.6-27.1],19.8 [14.9-24.7],31.8 [24.4-39.2],7.8 [5.4-10.2],15.3 [9.9-20.7],25.7 [16.8-34.5],4.9 [3.0-6.8],072
Brazil,2005,20.3 [16.6-24.1],25.3 [20.6-30.0],15.4 [12.5-18.2],20.3 [16.6-24.1],25.3 [20.6-30.0],15.4 [12.5-18.2],18.4 [14.4-22.3],23.2 [17.9-28.4],13.6 [10.9-16.2],076
Brunei Darussalam,2005,16.8 [12.2-21.4],29.4 [21.7-37.1],4.2 [2.7-5.7],16.8 [12.2-21.4],29.4 [21.7-37.1],4.2 [2.7-5.7],14.0 [8.9-19.1],24.7 [16.1-33.4],3.2 [1.7-4.8],096
Bulgaria,2005,44.9 [35.5-54.3],53.8 [42.8-64.7],36.0 [28.2-43.8],44.9 [35.5-54.3],53.8 [42.8-64.7],36.0 [28.2-43.8],41.3 [32.5-50.1],50.1 [39.4-60.7],32.5 [25.6-39.4],100
Burkina Faso,2005,25.2 [17.6-32.8],32.7 [24.1-41.2],17.7 [11.0-24.5],15.8 [11.6-20.0],26.5 [20.0-32.9],5.2 [3.2-7.2],12.2 [9.0-15.5],23.4 [17.5-29.2],1.1 [0.5-1.7],854
Burundi,2005,21.1 [11.6-30.6],27.6 [15.6-39.7],14.5 [7.5-21.5],13.5 [6.2-20.7],23.8 [10.9-36.7],3.2 [1.5-4.8],10.5 [5.2-15.9],19.6 [9.6-29.6],1.5 [0.8-2.2],108
Cote d'Ivoire,2005,16.7 [9.7-23.7],31.3 [18.5-44.1],2.2 [1.0-3.3],16.1 [9.4-22.8],31.3 [18.5-44.1],1.0 [0.3-1.6],15.0 [9.7-20.4],29.7 [19.3-40.2],0.4 [0.2-0.5],
Cabo Verde,2005,17.4 [12.5-22.2],24.3 [18.1-30.6],10.4 [6.9-13.9],11.5 [7.9-15.2],18.8 [12.8-24.8],4.3 [3.0-5.5],8.7 [5.5-11.8],15.5 [9.9-21.1],1.8 [1.2-2.5],132
Cambodia,2005,34.4 [28.1-40.7],51.9 [43.2-60.7],16.9 [13.1-20.8],28.7 [23.7-33.6],51.9 [43.2-60.7],5.4 [4.3-6.4],27.3 [22.3-32.3],49.6 [40.6-58.6],5.0 [4.1-5.9],116
Cameroon,2005,12.8 [8.4-17.2],22.1 [14.7-29.6],3.5 [2.2-4.9],10.1 [7.0-13.1],19.2 [13.4-25.0],0.9 [0.6-1.3],9.9 [6.9-12.9],19.2 [13.4-25.0],0.6 [0.4-0.8],120
Canada,2005,23.5 [20.0-27.0],25.8 [21.8-29.8],21.2 [18.1-24.3],23.5 [20.0-27.0],25.8 [21.8-29.8],21.2 [18.1-24.3],22.2 [18.7-25.7],24.2 [20.0-28.5],20.1 [17.4-22.8],124
Chad,2005,9.9 [7.6-12.3],17.0 [13.2-20.9],2.8 [1.9-3.6],9.9 [7.6-12.3],17.0 [13.2-20.9],2.8 [1.9-3.6],7.2 [4.8-9.5],13.4 [9.0-17.8],0.9 [0.6-1.3],148
Chile,2005,41.9 [35.4-48.4],45.6 [38.7-52.5],38.2 [32.2-44.3],41.9 [35.4-48.4],45.6 [38.7-52.5],38.2 [32.2-44.3],38.6 [31.9-45.3],42.5 [35.2-49.7],34.7 [28.6-40.8],152
China,2005,26.0 [21.3-30.7],49.3 [40.4-58.2],2.7 [2.3-3.2],26.0 [21.3-30.7],49.3 [40.4-58.2],2.7 [2.3-3.2],25.9 [21.2-30.6],49.3 [40.4-58.2],2.5 [2.0-2.9],156
Colombia,2005,13.4 [9.0-17.9],19.5 [13.2-25.8],7.3 [4.7-9.9],13.4 [9.0-17.9],19.5 [13.2-25.8],7.3 [4.7-9.9],11.6 [7.9-15.3],16.8 [11.2-22.4],6.4 [4.6-8.2],170
Comoros,2005,37.0 [27.0-47.0],39.1 [29.2-49.0],34.8 [24.8-44.9],18.2 [13.7-22.6],27.5 [21.3-33.8],8.8 [6.1-11.4],14.2 [10.1-18.3],22.7 [16.8-28.6],5.6 [3.4-7.9],174
Congo,2005,12.6 [8.8-16.4],20.7 [14.7-26.8],4.5 [2.8-6.1],11.4 [8.0-14.8],20.7 [14.7-26.8],2.0 [1.3-2.8],8.5 [5.8-11.2],15.9 [10.9-21.0],1.0 [0.6-1.5],178
Cook Islands,2005,35.8 [27.8-43.8],41.3 [32.1-50.6],30.3 [23.6-37.1],35.8 [27.8-43.8],41.3 [32.1-50.6],30.3 [23.6-37.1],28.1 [17.2-39.0],32.1 [19.4-44.7],24.1 [14.9-33.3],184
Costa Rica,2005,14.9 [11.7-18.0],21.7 [17.4-26.1],8.0 [6.1-9.9],14.9 [11.7-18.0],21.7 [17.4-26.1],8.0 [6.1-9.9],13.2 [9.8-16.5],19.3 [14.4-24.2],7.1 [5.3-8.8],188
Croatia,2005,35.1 [27.7-42.5],40.8 [32.2-49.4],29.4 [23.3-35.5],35.1 [27.7-42.5],40.8 [32.2-49.4],29.4 [23.3-35.5],31.6 [24.4-38.9],36.8 [28.0-45.6],26.5 [20.7-32.2],191
Cuba,2005,32.6 [25.4-39.8],42.2 [33.1-51.2],22.9 [17.6-28.3],32.6 [25.4-39.8],42.2 [33.1-51.2],22.9 [17.6-28.3],28.5 [21.1-35.9],37.2 [27.8-46.6],19.8 [14.4-25.2],192
Cyprus,2005,40.3 [27.4-53.3],59.0 [40.0-78.0],21.7 [14.9-28.5],40.3 [27.4-53.3],59.0 [40.0-78.0],21.7 [14.9-28.5],32.8 [24.1-41.6],48.8 [36.1-61.6],16.8 [12.1-21.6],196
Czechia,2005,33.7 [28.5-38.9],39.6 [33.6-45.6],27.8 [23.4-32.3],33.7 [28.5-38.9],39.6 [33.6-45.6],27.8 [23.4-32.3],28.7 [23.5-33.9],33.7 [27.4-40.0],23.7 [19.6-27.8],203
Democratic People's Republic of Korea,2005,25.8 [17.9-33.8],51.7 [35.8-67.5],0 [0-0],25.8 [17.9-33.8],51.7 [35.8-67.5],0 [0-0],22.5 [13.9-31.1],45.0 [27.8-62.2],0 [0-0],408
