country,code,ASR (World)
Afghanistan,004,106.24
Albania,008,160.77
Algeria,012,141.17
Angola,024,133.47
Azerbaijan,031,152.34
Argentina,032,215.82
Australia,036,462.51
Austria,040,258.47
Bahamas,044,192.73
Bahrain,048,113.76
Bangladesh,050,105.59
Armenia,051,201.57
Barbados,052,205.34
Belgium,056,324.67
Bhutan,064,87.62
Bolivia,068,143.77
Bosnia Herzegovina,070,218.58
Botswana,072,115.41
Brazil,076,214.43
Belize,084,114.72
Solomon Islands,090,134.8
Brunei Darussalam,096,192.22
Bulgaria,100,222.03
Myanmar,104,135.5
Burundi,108,128.2
Belarus,112,273.23
Cambodia,116,138.3
Cameroon,120,126.02
Canada,124,345.94
Cape Verde,132,87.01
Central African Republic,140,101.8
Sri Lanka,144,106.94
Chad,148,118.14
Chile,152,188.67
China,160,201.61
Colombia,170,177.62
Comoros,174,106.81
"Congo, Republic of",178,80.73
"Congo, Democratic Republic of",180,102.99
Costa Rica,188,177.73
Croatia,191,313.4
Cuba,192,220.76
Cyprus,196,292.27
Czechia,203,280.9
Benin,204,102.63
Denmark,208,374.69
Dominican Republic,214,167.02
Ecuador,218,152.7
El Salvador,222,127.11
Equatorial Guinea,226,107.72
Ethiopia,231,104.49
Eritrea,232,99.82
Estonia,233,282.49
Fiji,242,174.79
Finland,246,276.85
France (metropolitan),250,339.02
French Guyana,254,204.28
French Polynesia,258,228.07
Djibouti,262,90.71
Gabon,266,114.38
Georgia,268,197.5
The Republic of the Gambia,270,79.17
Gaza Strip and West Bank,275,152.25
Germany,276,274.24
Ghana,288,120.36
Greece,300,258.66
"France, Guadeloupe",312,253.9
Guam,316,167.19
Guatemala,320,121.77
Guinea,324,116.32
Guyana,328,142.49
Haiti,332,141.05
Honduras,340,127.96
Hungary,348,336.74
Iceland,352,268.28
India,356,98.54
Indonesia,360,136.93
"Iran, Islamic Republic of",364,148.98
Iraq,368,136.56
Ireland,372,344.7
Israel,376,245.78
Italy,380,284.49
Côte d'Ivoire,384,136.96
Jamaica,388,199.58
Japan,392,267.08
Kazakhstan,398,162.28
Jordan,400,152.57
Kenya,404,149.14
"Korea, Democratic People Republic of",408,166.06
"Korea, Republic of",410,234.7
Kuwait,414,111.4
Kyrgyzstan,417,125.77
Lao People's Democratic Republic,418,154.53
Lebanon,422,168.78
Lesotho,426,115.54
Latvia,428,288.89
Liberia,430,115.21
Libya,434,132.25
Lithuania,440,287.93
Luxembourg,442,273.31
Madagascar,450,117.41
Malawi,454,159.5
Malaysia,458,142.13
Maldives,462,105.31
Mali,466,139.88
Malta,470,282.52
"France, Martinique",474,224.16
Mauritania,478,105.31
Mauritius,480,139.99
Mexico,484,140.93
Mongolia,496,235.79
Moldova,498,232.15
Montenegro,499,237.99
Morocco,504,149.83
Mozambique,508,128.75
Oman,512,105.25
Namibia,516,193.48
Nepal,524,81.6
The Netherlands,528,341.44
New Caledonia,540,287.55
Vanuatu,548,108.16
New Zealand,554,427.32
Nicaragua,558,133.48
Niger,562,83.65
Nigeria,566,113.55
Norway,578,357.9
Pakistan,586,105.58
Panama,591,154.86
Papua New Guinea,598,188.69
Paraguay,600,192.24
Peru,604,173.81
Philippines,608,185.4
Poland,616,262.76
Portugal,620,294.63
Guinea-Bissau,624,100.34
Timor-Leste,626,84.45
Puerto Rico,630,226.63
Qatar,634,82.37
"France, La Réunion",638,203.07
Romania,642,276.46
Russian Federation,643,248.06
Rwanda,646,83.22
Saint Lucia,662,166.77
Sao Tome and Principe,678,104.86
Saudi Arabia,682,87.09
Senegal,686,113.85
Serbia,688,250.4
Sierra Leone,694,35.9
Singapore,702,231.06
Slovakia,703,283.3
Viet Nam,704,150.75
Slovenia,705,305.14
Somalia,706,121.03
South Africa,710,203.42
Zimbabwe,716,207.96
Spain,724,274.58
South Sudan,728,99.42
Sudan,729,95.63
Suriname,740,169.46
Eswatini,748,135.3
Sweden,752,310.03
Switzerland,756,292.72
Syrian Arab Republic,760,138.57
Tajikistan,762,91.72
Thailand,764,154.36
Togo,768,107.48
Trinidad and Tobago,780,186.71
United Arab Emirates,784,105.12
Tunisia,788,135.35
Türkiye,792,225.86
Turkmenistan,795,122.73
Uganda,800,154.35
Ukraine,804,199.85
North Macedonia,807,206.91
Egypt,818,166.13
United Kingdom,826,307.82
"Tanzania, United Republic of",834,140.13
United States of America,840,366.95
Burkina Faso,854,125.18
Uruguay,858,279.91
Uzbekistan,860,112.67
Venezuela,862,184.79
Samoa,882,240.01
Yemen,887,83.13
Zambia,894,159.53
