country,code,ASR (World)
Afghanistan,004,7.22
Albania,008,25.28
Algeria,012,11.32
Angola,024,2.4
Azerbaijan,031,19.35
Argentina,032,19.87
Australia,036,24.08
Austria,040,27.16
Bahamas,044,8.78
Bahrain,048,10.05
Bangladesh,050,8.8
Armenia,051,28.95
Barbados,052,9.42
Belgium,056,32.69
Bhutan,064,7.03
Bolivia,068,8.48
Bosnia Herzegovina,070,36.06
Botswana,072,3.62
Brazil,076,14.62
Belize,084,8.79
Solomon Islands,090,6.18
Brunei Darussalam,096,24.03
Bulgaria,100,27.13
Myanmar,104,16.07
Burundi,108,3.41
Belarus,112,26.03
Cambodia,116,15.7
Cameroon,120,3.06
Canada,124,32.39
Cape Verde,132,2.19
Central African Republic,140,2.04
Sri Lanka,144,6.66
Chad,148,1.99
Chile,152,12.7
China,160,40.78
Colombia,170,10.08
Comoros,174,1.79
"Congo, Republic of",178,1.37
"Congo, Democratic Republic of",180,2.17
Costa Rica,188,6.75
Croatia,191,37.05
Cuba,192,29.75
Cyprus,196,27.04
Czechia,203,23.72
Benin,204,1.49
Denmark,208,34.21
Dominican Republic,214,12.81
Ecuador,218,6.29
El Salvador,222,4.66
Equatorial Guinea,226,2.72
Ethiopia,231,3.69
Eritrea,232,3.21
Estonia,233,25.84
Fiji,242,6.79
Finland,246,19.18
France (metropolitan),250,35.91
French Guyana,254,15.04
French Polynesia,258,39.96
Djibouti,262,3.08
Gabon,266,3.11
Georgia,268,21.98
The Republic of the Gambia,270,5.0
Gaza Strip and West Bank,275,20.42
Germany,276,28.13
Ghana,288,2.53
Greece,300,31.34
"France, Guadeloupe",312,12.28
Guam,316,31.52
Guatemala,320,3.76
Guinea,324,3.22
Guyana,328,4.26
Haiti,332,6.07
Honduras,340,6.68
Hungary,348,47.57
Iceland,352,26.9
India,356,5.79
Indonesia,360,13.38
"Iran, Islamic Republic of",364,12.1
Iraq,368,12.52
Ireland,372,31.39
Israel,376,22.6
Italy,380,24.64
Côte d'Ivoire,384,2.45
Jamaica,388,14.0
Japan,392,30.47
Kazakhstan,398,19.71
Jordan,400,14.34
Kenya,404,3.35
"Korea, Democratic People Republic of",408,38.42
"Korea, Republic of",410,26.21
Kuwait,414,6.4
Kyrgyzstan,417,14.13
Lao People's Democratic Republic,418,17.55
Lebanon,422,19.88
Lesotho,426,4.23
Latvia,428,23.51
Liberia,430,2.68
Libya,434,16.36
Lithuania,440,24.22
Luxembourg,442,25.69
Madagascar,450,2.08
Malawi,454,1.55
Malaysia,458,15.13
Maldives,462,12.39
Mali,466,3.16
Malta,470,19.19
"France, Martinique",474,9.0
Mauritania,478,1.93
Mauritius,480,8.42
Mexico,484,5.4
Mongolia,496,18.96
Moldova,498,22.34
Montenegro,499,36.71
Morocco,504,20.44
Mozambique,508,1.32
Oman,512,5.24
Namibia,516,5.75
Nepal,524,9.25
The Netherlands,528,34.93
New Caledonia,540,41.77
Vanuatu,548,7.7
New Zealand,554,27.29
Nicaragua,558,5.43
Niger,562,0.95
Nigeria,566,1.73
Norway,578,27.97
Pakistan,586,5.96
Panama,591,6.35
Papua New Guinea,598,10.66
Paraguay,600,12.72
Peru,604,6.76
Philippines,608,23.98
Poland,616,36.49
Portugal,620,23.88
Guinea-Bissau,624,2.12
Timor-Leste,626,10.15
Puerto Rico,630,10.23
Qatar,634,5.78
"France, La Réunion",638,21.81
Romania,642,30.27
Russian Federation,643,26.02
Rwanda,646,2.82
Saint Lucia,662,9.74
Sao Tome and Principe,678,12.7
Saudi Arabia,682,4.34
Senegal,686,2.65
Serbia,688,40.39
Sierra Leone,694,1.25
Singapore,702,24.31
Slovakia,703,22.63
Viet Nam,704,20.25
Slovenia,705,34.22
Somalia,706,3.5
South Africa,710,18.09
Zimbabwe,716,5.89
Spain,724,27.78
South Sudan,728,2.1
Sudan,729,2.52
Suriname,740,16.62
Eswatini,748,4.12
Sweden,752,17.39
Switzerland,756,24.07
Syrian Arab Republic,760,17.82
Tajikistan,762,5.35
Thailand,764,18.14
Togo,768,1.9
Trinidad and Tobago,780,11.66
United Arab Emirates,784,6.22
Tunisia,788,20.14
Türkiye,792,37.88
Turkmenistan,795,9.53
Uganda,800,3.0
Ukraine,804,20.57
North Macedonia,807,31.07
Egypt,818,8.8
United Kingdom,826,30.05
"Tanzania, United Republic of",834,2.48
United States of America,840,31.85
Burkina Faso,854,3.76
Uruguay,858,29.7
Uzbekistan,860,8.41
Venezuela,862,15.86
Samoa,882,33.34
Yemen,887,4.05
Zambia,894,3.03
