country,code,ASR (World)
Afghanistan,004,110.68
Albania,008,147.65
Algeria,012,152.22
Angola,024,137.33
Azerbaijan,031,131.77
Argentina,032,208.74
Australia,036,415.21
Austria,040,235.74
Bahamas,044,177.63
Bahrain,048,137.35
Bangladesh,050,89.51
Armenia,051,163.87
Barbados,052,190.66
Belgium,056,306.62
Bhutan,064,84.47
Bolivia,068,159.4
Bosnia Herzegovina,070,194.16
Botswana,072,119.38
Brazil,076,197.56
Belize,084,118.17
Solomon Islands,090,154.42
Brunei Darussalam,096,215.97
Bulgaria,100,203.24
Myanmar,104,129.82
Burundi,108,134.6
Belarus,112,223.63
Cambodia,116,129.96
Cameroon,120,139.9
Canada,124,331.84
Cape Verde,132,78.33
Central African Republic,140,109.96
Sri Lanka,144,105.96
Chad,148,94.39
Chile,152,165.05
China,160,197.03
Colombia,170,175.28
Comoros,174,122.01
"Congo, Republic of",178,82.28
"Congo, Democratic Republic of",180,107.82
Costa Rica,188,173.54
Croatia,191,276.99
Cuba,192,199.11
Cyprus,196,300.05
Czechia,203,254.94
Benin,204,101.31
Denmark,208,361.17
Dominican Republic,214,150.47
Ecuador,218,163.54
El Salvador,222,128.37
Equatorial Guinea,226,128.03
Ethiopia,231,131.77
Eritrea,232,119.65
Estonia,233,237.94
Fiji,242,201.05
Finland,246,266.67
France (metropolitan),250,300.98
French Guyana,254,163.63
French Polynesia,258,211.17
Djibouti,262,111.28
Gabon,266,134.59
Georgia,268,165.52
The Republic of the Gambia,270,83.12
Gaza Strip and West Bank,275,142.56
Germany,276,249.03
Ghana,288,135.22
Greece,300,231.29
"France, Guadeloupe",312,184.2
Guam,316,155.57
Guatemala,320,124.69
Guinea,324,123.95
Guyana,328,157.74
Haiti,332,127.77
Honduras,340,127.66
Hungary,348,298.83
Iceland,352,266.75
India,356,100.83
Indonesia,360,141.61
"Iran, Islamic Republic of",364,129.1
Iraq,368,144.07
Ireland,372,307.51
Israel,376,244.07
Italy,380,264.13
Côte d'Ivoire,384,143.74
Jamaica,388,197.4
Japan,392,234.15
Kazakhstan,398,152.16
Jordan,400,157.59
Kenya,404,168.1
"Korea, Democratic People Republic of",408,155.02
"Korea, Republic of",410,228.49
Kuwait,414,139.07
Kyrgyzstan,417,117.63
Lao People's Democratic Republic,418,143.92
Lebanon,422,170.15
Lesotho,426,130.38
Latvia,428,249.37
Liberia,430,128.78
Libya,434,120.08
Lithuania,440,224.02
Luxembourg,442,267.24
Madagascar,450,130.67
Malawi,454,184.88
Malaysia,458,148.04
Maldives,462,111.26
Mali,466,164.51
Malta,470,271.59
"France, Martinique",474,189.49
Mauritania,478,119.96
Mauritius,480,152.56
Mexico,484,141.8
Mongolia,496,201.98
Moldova,498,189.38
Montenegro,499,221.08
Morocco,504,150.25
Mozambique,508,141.42
Oman,512,106.97
Namibia,516,183.14
Nepal,524,80.69
The Netherlands,528,336.2
New Caledonia,540,256.85
Vanuatu,548,121.65
New Zealand,554,386.26
Nicaragua,558,133.7
Niger,562,92.77
Nigeria,566,133.29
Norway,578,337.63
Pakistan,586,111.79
Panama,591,154.29
Papua New Guinea,598,197.83
Paraguay,600,187.6
Peru,604,185.7
Philippines,608,192.51
Poland,616,233.59
Portugal,620,258.47
Guinea-Bissau,624,112.74
Timor-Leste,626,89.63
Puerto Rico,630,199.74
Qatar,634,119.69
"France, La Réunion",638,163.86
Romania,642,238.09
Russian Federation,643,230.8
Rwanda,646,79.72
Saint Lucia,662,136.58
Sao Tome and Principe,678,90.27
Saudi Arabia,682,100.35
Senegal,686,126.85
Serbia,688,219.64
Sierra Leone,694,34.71
Singapore,702,231.01
Slovakia,703,238.04
Viet Nam,704,132.33
Slovenia,705,275.53
Somalia,706,145.86
South Africa,710,190.35
Zimbabwe,716,220.53
Spain,724,237.97
South Sudan,728,109.72
Sudan,729,109.73
Suriname,740,154.8
Eswatini,748,173.62
Sweden,752,289.09
Switzerland,756,260.24
Syrian Arab Republic,760,136.87
Tajikistan,762,92.03
Thailand,764,150.55
Togo,768,111.05
Trinidad and Tobago,780,182.07
United Arab Emirates,784,157.81
Tunisia,788,115.31
Türkiye,792,192.24
Turkmenistan,795,121.37
Uganda,800,157.66
Ukraine,804,182.13
North Macedonia,807,180.52
Egypt,818,161.11
United Kingdom,826,292.54
"Tanzania, United Republic of",834,151.13
United States of America,840,341.74
Burkina Faso,854,138.54
Uruguay,858,253.2
Uzbekistan,860,114.63
Venezuela,862,174.5
Samoa,882,246.25
Yemen,887,89.17
Zambia,894,164.77
