country,code,ASR (World)
Afghanistan,004,29.44
Albania,008,51.14
Algeria,012,61.87
Angola,024,29.43
Azerbaijan,031,32.9
Argentina,032,71.32
Australia,036,101.47
Austria,040,69.54
Bahamas,044,64.64
Bahrain,048,58.49
Bangladesh,050,15.18
Armenia,051,39.61
Barbados,052,57.74
Belgium,056,104.39
Bhutan,064,4.56
Bolivia,068,26.78
Bosnia Herzegovina,070,51.88
Botswana,072,23.03
Brazil,076,63.12
Belize,084,46.75
Solomon Islands,090,49.18
Brunei Darussalam,096,50.16
Bulgaria,100,52.82
Myanmar,104,23.41
Burundi,108,25.32
Belarus,112,56.57
Cambodia,116,25.13
Cameroon,120,48.64
Canada,124,88.59
Cape Verde,132,23.4
Central African Republic,140,37.72
Sri Lanka,144,27.68
Chad,148,14.24
Chile,152,38.23
China,156,33.04
Colombia,170,50.7
Comoros,174,21.5
"Congo, Republic of",178,26.85
"Congo, Democratic Republic of",180,26.45
Costa Rica,188,37.53
Croatia,191,74.64
Cuba,192,47.24
Cyprus,196,104.75
Czechia,203,72.51
Benin,204,33.26
Denmark,208,95.42
Dominican Republic,214,53.39
Ecuador,218,39.46
El Salvador,222,39.65
Equatorial Guinea,226,40.99
Ethiopia,231,40.81
Eritrea,232,37.78
Estonia,233,63.06
Fiji,242,60.26
Finland,246,92.33
France (metropolitan),250,105.42
French Guyana,254,55.71
French Polynesia,258,71.91
Djibouti,262,38.06
Gabon,266,36.41
Georgia,268,49.04
The Republic of the Gambia,270,12.12
Gaza Strip and West Bank,275,46.33
Germany,276,77.02
Ghana,288,40.19
Greece,300,82.36
"France, Guadeloupe",312,66.41
Guam,316,44.15
Guatemala,320,28.35
Guinea,324,15.95
Guyana,328,52.6
Haiti,332,25.16
Honduras,340,27.28
Hungary,348,76.38
Iceland,352,71.06
India,356,26.6
Indonesia,360,41.78
"Iran, Islamic Republic of",364,30.45
Iraq,368,56.91
Ireland,372,91.45
Israel,376,78.74
Italy,380,87.01
Côte d'Ivoire,384,45.44
Jamaica,388,71.12
Japan,392,74.39
Kazakhstan,398,36.94
Jordan,400,59.99
Kenya,404,40.77
"Korea, Democratic People Republic of",408,32.25
"Korea, Republic of",410,61.48
Kuwait,414,49.83
Kyrgyzstan,417,25.31
Lao People's Democratic Republic,418,31.63
Lebanon,422,57.89
Lesotho,426,18.92
Latvia,428,65.95
Liberia,430,33.57
Libya,434,30.98
Lithuania,440,62.74
Luxembourg,442,99.7
Madagascar,450,30.32
Malawi,454,25.19
Malaysia,458,46.09
Maldives,462,39.84
Mali,466,37.73
Malta,470,86.3
"France, Martinique",474,77.16
Mauritania,478,34.54
Mauritius,480,52.68
Mexico,484,39.94
Mongolia,496,12.63
Moldova,498,46.57
Montenegro,499,76.54
Morocco,504,58.37
Mozambique,508,19.69
Oman,512,33.96
Namibia,516,53.93
Nepal,524,14.35
The Netherlands,528,101.6
New Caledonia,540,90.18
Vanuatu,548,29.6
New Zealand,554,94.36
Nicaragua,558,35.32
Niger,562,29.46
Nigeria,566,51.5
Norway,578,95.56
Pakistan,586,34.23
Panama,591,41.39
Papua New Guinea,598,46.03
Paraguay,600,58.37
Peru,604,39.3
Philippines,608,60.34
Poland,616,65.96
Portugal,620,88.75
Guinea-Bissau,624,27.17
Timor-Leste,626,26.38
Puerto Rico,630,62.32
Qatar,634,39.03
"France, La Réunion",638,55.94
Romania,642,69.22
Russian Federation,643,57.67
Rwanda,646,16.2
Saint Lucia,662,51.68
Sao Tome and Principe,678,19.91
Saudi Arabia,682,25.28
Senegal,686,29.89
Serbia,688,60.5
Sierra Leone,694,7.02
Singapore,702,72.61
Slovakia,703,67.3
Viet Nam,704,37.96
Slovenia,705,82.27
Somalia,706,38.62
South Africa,710,47.8
Zimbabwe,716,35.84
Spain,724,80.96
South Sudan,728,27.99
Sudan,729,39.94
Suriname,740,46.38
Eswatini,748,26.17
Sweden,752,81.41
Switzerland,756,77.42
Syrian Arab Republic,760,46.21
Tajikistan,762,19.47
Thailand,764,37.44
Togo,768,32.93
Trinidad and Tobago,780,54.0
United Arab Emirates,784,57.05
Tunisia,788,36.16
Türkiye,792,46.77
Turkmenistan,795,31.13
Uganda,800,23.34
Ukraine,804,43.08
North Macedonia,807,65.28
Egypt,818,55.4
United Kingdom,826,94.03
"Tanzania, United Republic of",834,25.12
United States of America,840,95.91
Burkina Faso,854,21.38
Uruguay,858,75.05
Uzbekistan,860,27.79
Venezuela,862,47.1
Samoa,882,88.75
Yemen,887,25.35
Zambia,894,22.32
