country,code,ASR (World)
Afghanistan,004,3.64
Albania,008,10.27
Algeria,012,3.21
Angola,024,1.6
Azerbaijan,031,5.16
Argentina,032,12.06
Australia,036,21.49
Austria,040,23.86
Bahamas,044,5.32
Bahrain,048,5.33
Bangladesh,050,4.0
Armenia,051,9.08
Barbados,052,6.02
Belgium,056,24.37
Bhutan,064,7.6
Bolivia,068,5.97
Bosnia Herzegovina,070,15.67
Botswana,072,1.65
Brazil,076,11.74
Belize,084,3.97
Solomon Islands,090,3.15
Brunei Darussalam,096,22.57
Bulgaria,100,13.27
Myanmar,104,12.19
Burundi,108,2.84
Belarus,112,5.48
Cambodia,116,9.92
Cameroon,120,1.94
Canada,124,30.35
Cape Verde,132,2.47
Central African Republic,140,1.46
Sri Lanka,144,3.13
Chad,148,0.64
Chile,152,9.23
China,156,30.34
Colombia,170,7.61
Comoros,174,1.08
"Congo, Republic of",178,0.8
"Congo, Democratic Republic of",180,1.64
Costa Rica,188,4.07
Croatia,191,21.62
Cuba,192,22.35
Cyprus,196,14.61
Czechia,203,17.57
Benin,204,1.13
Denmark,208,34.4
Dominican Republic,214,10.82
Ecuador,218,6.04
El Salvador,222,4.28
Equatorial Guinea,226,2.47
Ethiopia,231,3.52
Eritrea,232,2.75
Estonia,233,12.62
Fiji,242,4.85
Finland,246,14.15
France (metropolitan),250,24.73
French Guyana,254,7.46
French Polynesia,258,22.59
Djibouti,262,2.47
Gabon,266,2.67
Georgia,268,4.43
The Republic of the Gambia,270,0.87
Gaza Strip and West Bank,275,6.59
Germany,276,21.97
Ghana,288,1.97
Greece,300,15.68
"France, Guadeloupe",312,7.17
Guam,316,19.14
Guatemala,320,3.18
Guinea,324,1.86
Guyana,328,2.39
Haiti,332,6.6
Honduras,340,4.89
Hungary,348,34.96
Iceland,352,27.78
India,356,3.18
Indonesia,360,6.39
"Iran, Islamic Republic of",364,7.39
Iraq,368,3.64
Ireland,372,30.41
Israel,376,16.13
Italy,380,16.21
Côte d'Ivoire,384,1.37
Jamaica,388,9.41
Japan,392,15.82
Kazakhstan,398,4.51
Jordan,400,5.1
Kenya,404,3.23
"Korea, Democratic People Republic of",408,29.8
"Korea, Republic of",410,16.38
Kuwait,414,4.32
Kyrgyzstan,417,5.74
Lao People's Democratic Republic,418,9.12
Lebanon,422,14.25
Lesotho,426,3.71
Latvia,428,9.2
Liberia,430,1.48
Libya,434,3.2
Lithuania,440,10.38
Luxembourg,442,21.03
Madagascar,450,1.49
Malawi,454,1.02
Malaysia,458,7.12
Maldives,462,5.9
Mali,466,2.01
Malta,470,11.92
"France, Martinique",474,6.05
Mauritania,478,1.19
Mauritius,480,5.34
Mexico,484,3.83
Mongolia,496,6.38
Moldova,498,7.14
Montenegro,499,17.24
Morocco,504,4.2
Mozambique,508,0.68
Oman,512,2.84
Namibia,516,4.12
Nepal,524,6.28
The Netherlands,528,33.89
New Caledonia,540,25.82
Vanuatu,548,3.44
New Zealand,554,22.17
Nicaragua,558,4.15
Niger,562,0.09
Nigeria,566,1.6
Norway,578,27.62
Pakistan,586,2.31
Panama,591,4.29
Papua New Guinea,598,7.91
Paraguay,600,4.45
Peru,604,6.74
Philippines,608,13.0
Poland,616,24.11
Portugal,620,13.3
Guinea-Bissau,624,1.36
Timor-Leste,626,5.97
Puerto Rico,630,6.76
Qatar,634,4.63
"France, La Réunion",638,9.18
Romania,642,14.57
Russian Federation,643,8.64
Rwanda,646,1.51
Saint Lucia,662,3.43
Sao Tome and Principe,678,9.53
Saudi Arabia,682,2.47
Senegal,686,1.52
Serbia,688,23.82
Sierra Leone,694,0.02
Singapore,702,15.86
Slovakia,703,12.3
Viet Nam,704,11.0
Slovenia,705,25.69
Somalia,706,3.13
South Africa,710,11.23
Zimbabwe,716,3.87
Spain,724,16.02
South Sudan,728,1.8
Sudan,729,1.93
Suriname,740,10.44
Eswatini,748,2.41
Sweden,752,19.06
Switzerland,756,20.57
Syrian Arab Republic,760,8.16
Tajikistan,762,3.81
Thailand,764,11.73
Togo,768,0.88
Trinidad and Tobago,780,5.12
United Arab Emirates,784,5.07
Tunisia,788,4.5
Türkiye,792,13.5
Turkmenistan,795,4.45
Uganda,800,2.61
Ukraine,804,6.25
North Macedonia,807,14.3
Egypt,818,4.35
United Kingdom,826,28.53
"Tanzania, United Republic of",834,2.25
United States of America,840,30.4
Burkina Faso,854,4.51
Uruguay,858,16.36
Uzbekistan,860,4.1
Venezuela,862,12.17
Samoa,882,18.88
Yemen,887,3.2
Zambia,894,2.24
