country,code,ASR (World)
Afghanistan,004,103.6
Albania,008,176.87
Algeria,012,130.63
Angola,024,132.33
Azerbaijan,031,181.24
Argentina,032,231.79
Australia,036,514.3
Austria,040,287.62
Bahamas,044,214.38
Bahrain,048,105.47
Bangladesh,050,120.83
Armenia,051,257.5
Barbados,052,224.54
Belgium,056,350.82
Bhutan,064,90.46
Bolivia,068,129.56
Bosnia Herzegovina,070,251.7
Botswana,072,114.12
Brazil,076,240.09
Belize,084,110.14
Solomon Islands,090,114.78
Brunei Darussalam,096,171.68
Bulgaria,100,253.92
Myanmar,104,147.15
Burundi,108,123.49
Belarus,112,360.45
Cambodia,116,152.93
Cameroon,120,113.29
Canada,124,365.85
Cape Verde,132,108.62
Central African Republic,140,96.65
Sri Lanka,144,110.6
Chad,148,147.39
Chile,152,221.67
China,156,209.61
Colombia,170,183.28
Comoros,174,92.94
"Congo, Republic of",178,84.21
"Congo, Democratic Republic of",180,100.1
Costa Rica,188,185.46
Croatia,191,367.33
Cuba,192,247.37
Cyprus,196,289.87
Czechia,203,317.52
Benin,204,108.18
Denmark,208,393.96
Dominican Republic,214,186.69
Ecuador,218,143.28
El Salvador,222,126.5
Equatorial Guinea,226,93.74
Ethiopia,231,75.78
Eritrea,232,78.68
Estonia,233,356.43
Fiji,242,150.27
Finland,246,294.85
France (metropolitan),250,386.38
French Guyana,254,250.52
French Polynesia,258,247.06
Djibouti,262,71.63
Gabon,266,96.38
Georgia,268,246.81
The Republic of the Gambia,270,74.73
Gaza Strip and West Bank,275,165.52
Germany,276,306.5
Ghana,288,106.17
Greece,300,294.98
"France, Guadeloupe",312,340.23
Guam,316,184.99
Guatemala,320,119.57
Guinea,324,108.89
Guyana,328,130.12
Haiti,332,161.28
Honduras,340,131.17
Hungary,348,395.92
Iceland,352,271.68
India,356,97.12
Indonesia,360,135.46
"Iran, Islamic Republic of",364,168.43
Iraq,368,131.95
Ireland,372,386.31
Israel,376,250.27
Italy,380,312.05
Côte d'Ivoire,384,129.97
Jamaica,388,202.5
Japan,392,309.84
Kazakhstan,398,184.44
Jordan,400,149.92
Kenya,404,133.11
"Korea, Democratic People Republic of",408,187.53
"Korea, Republic of",410,252.52
Kuwait,414,97.78
Kyrgyzstan,417,143.26
Lao People's Democratic Republic,418,167.92
Lebanon,422,170.76
Lesotho,426,108.12
Latvia,428,363.98
Liberia,430,102.86
Libya,434,150.84
Lithuania,440,391.3
Luxembourg,442,285.83
Madagascar,450,104.94
Malawi,454,134.97
Malaysia,458,137.86
Maldives,462,107.14
Mali,466,113.9
Malta,470,299.75
"France, Martinique",474,266.89
Mauritania,478,91.44
Mauritius,480,130.0
Mexico,484,141.3
Mongolia,496,280.37
Moldova,498,295.26
Montenegro,499,261.9
Morocco,504,150.81
Mozambique,508,115.42
Oman,512,111.54
Namibia,516,221.42
Nepal,524,81.56
The Netherlands,528,350.76
New Caledonia,540,325.32
Vanuatu,548,93.95
New Zealand,554,473.37
Nicaragua,558,136.41
Niger,562,74.16
Nigeria,566,93.93
Norway,578,383.6
Pakistan,586,99.51
Panama,591,158.27
Papua New Guinea,598,181.73
Paraguay,600,199.8
Peru,604,164.64
Philippines,608,184.61
Poland,616,306.96
Portugal,620,342.74
Guinea-Bissau,624,87.4
Timor-Leste,626,80.84
Puerto Rico,630,266.61
Qatar,634,70.72
"France, La Réunion",638,248.74
Romania,642,330.79
Russian Federation,643,288.54
Rwanda,646,91.66
Saint Lucia,662,199.33
Sao Tome and Principe,678,124.49
Saudi Arabia,682,80.99
Senegal,686,98.96
Serbia,688,289.86
Sierra Leone,694,39.3
Singapore,702,235.89
Slovakia,703,346.79
Viet Nam,704,177.14
Slovenia,705,343.67
Somalia,706,95.35
South Africa,710,232.44
Zimbabwe,716,202.45
Spain,724,319.93
South Sudan,728,89.79
Sudan,729,80.59
Suriname,740,195.03
Eswatini,748,107.82
Sweden,752,334.82
Switzerland,756,329.9
Syrian Arab Republic,760,142.74
Tajikistan,762,92.7
Thailand,764,161.55
Togo,768,105.4
Trinidad and Tobago,780,195.45
United Arab Emirates,784,86.43
Tunisia,788,159.42
Türkiye,792,273.7
Turkmenistan,795,128.76
Uganda,800,156.2
Ukraine,804,236.39
North Macedonia,807,239.8
Egypt,818,175.06
United Kingdom,826,327.71
"Tanzania, United Republic of",834,132.8
United States of America,840,401.68
Burkina Faso,854,112.53
Uruguay,858,322.27
Uzbekistan,860,112.94
Venezuela,862,201.61
Samoa,882,242.13
Yemen,887,77.81
Zambia,894,162.59
