Cancer id,Cancer label,Population code (ISO/UN),Population,ASR (World) per 100 000
39,All cancers,4,Afghanistan,106.24
39,All cancers,8,Albania,160.77
39,All cancers,12,Algeria,141.17
39,All cancers,24,Angola,133.47
39,All cancers,31,Azerbaijan,152.34
39,All cancers,32,Argentina,215.82
39,All cancers,36,Australia,462.51
39,All cancers,40,Austria,258.47
39,All cancers,44,Bahamas,192.73
39,All cancers,48,Bahrain,113.76
39,All cancers,50,Bangladesh,105.59
39,All cancers,51,Armenia,201.57
39,All cancers,52,Barbados,205.34
39,All cancers,56,Belgium,324.67
39,All cancers,64,Bhutan,87.62
39,All cancers,68,Bolivia,143.77
39,All cancers,70,Bosnia Herzegovina,218.58
39,All cancers,72,Botswana,115.41
39,All cancers,76,Brazil,214.43
39,All cancers,84,Belize,114.72
39,All cancers,90,Solomon Islands,134.8
39,All cancers,96,Brunei Darussalam,192.22
39,All cancers,100,Bulgaria,222.03
39,All cancers,104,Myanmar,135.5
39,All cancers,108,Burundi,128.2
39,All cancers,112,Belarus,273.23
39,All cancers,116,Cambodia,138.3
39,All cancers,120,Cameroon,126.02
39,All cancers,124,Canada,345.94
39,All cancers,132,Cape Verde,87.01
39,All cancers,140,Central African Republic,101.8
39,All cancers,144,Sri Lanka,106.94
39,All cancers,148,Chad,118.14
39,All cancers,152,Chile,188.67
39,All cancers,156,China,201.61
39,All cancers,170,Colombia,177.62
39,All cancers,174,Comoros,106.81
39,All cancers,178,"Congo, Republic of",80.73
39,All cancers,180,"Congo, Democratic Republic of",102.99
39,All cancers,188,Costa Rica,177.73
39,All cancers,191,Croatia,313.4
39,All cancers,192,Cuba,220.76
39,All cancers,196,Cyprus,292.27
39,All cancers,203,Czechia,280.9
39,All cancers,204,Benin,102.63
39,All cancers,208,Denmark,374.69
39,All cancers,214,Dominican Republic,167.02
39,All cancers,218,Ecuador,152.7
39,All cancers,222,El Salvador,127.11
39,All cancers,226,Equatorial Guinea,107.72
39,All cancers,231,Ethiopia,104.49
39,All cancers,232,Eritrea,99.82
39,All cancers,233,Estonia,282.49
39,All cancers,242,Fiji,174.79
39,All cancers,246,Finland,276.85
39,All cancers,250,France (metropolitan),339.02
39,All cancers,254,French Guyana,204.28
39,All cancers,258,French Polynesia,228.07
39,All cancers,262,Djibouti,90.71
39,All cancers,266,Gabon,114.38
39,All cancers,268,Georgia,197.5
39,All cancers,270,The Republic of the Gambia,79.17
39,All cancers,275,Gaza Strip and West Bank,152.25
39,All cancers,276,Germany,274.24
39,All cancers,288,Ghana,120.36
39,All cancers,300,Greece,258.66
39,All cancers,312,"France, Guadeloupe",253.9
39,All cancers,316,Guam,167.19
