Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,39,4,AFG,0,0,106.24,59.56,,24275
Albania,39,8,ALB,0,0,160.77,279.76,,8019
Algeria,39,12,DZA,0,0,141.17,142.7,,64713
Angola,39,24,AGO,0,0,133.47,70.25,,24607
Azerbaijan,39,31,AZE,0,0,152.34,179.64,,18503
Argentina,39,32,ARG,0,0,215.82,289.98,,133420
Australia,39,36,AUS,0,0,462.51,814.51,,212332
Austria,39,40,AUT,0,0,258.47,558.99,,50682
Bahamas,39,44,BHS,0,0,192.73,238.44,,955
Bahrain,39,48,BHR,0,0,113.76,77.52,,1383
Bangladesh,39,50,BGD,0,0,105.59,99.62,,167256
Armenia,39,51,ARM,0,0,201.57,320.33,,9520
Barbados,39,52,BRB,0,0,205.34,388.86,,1120
Belgium,39,56,BEL,0,0,324.67,695.32,,81132
Bhutan,39,64,BTN,0,0,87.62,80.97,,638
Bolivia,39,68,BOL,0,0,143.77,146.58,,17579
Bosnia Herzegovina,39,70,BIH,0,0,218.58,439.02,,14265
Botswana,39,72,BWA,0,0,115.41,94.91,,2317
Brazil,39,76,BRA,0,0,214.43,291.24,,627193
Belize,39,84,BLZ,0,0,114.72,99.22,,409
Solomon Islands,39,90,SLB,0,0,134.8,94.85,,684
Brunei Darussalam,39,96,BRN,0,0,192.22,207.66,,925
Bulgaria,39,100,BGR,0,0,222.03,479.39,,32812
Myanmar,39,104,MMR,0,0,135.5,140.52,,77603
Burundi,39,108,BDI,0,0,128.2,63.34,,7997
Belarus,39,112,BLR,0,0,273.23,491.92,,46402
Cambodia,39,116,KHM,0,0,138.3,115.3,,19795
Cameroon,39,120,CMR,0,0,126.02,70.09,,19564
Canada,39,124,CAN,0,0,345.94,760.9,,292098
Cape Verde,39,132,CPV,0,0,87.01,76.63,,435
Central African Republic,39,140,CAF,0,0,101.8,53.62,,2690
Sri Lanka,39,144,LKA,0,0,106.94,154.08,,33243
Chad,39,148,TCD,0,0,118.14,58.49,,10185
Chile,39,152,CHL,0,0,188.67,311.04,,59876
China,39,160,CHN,0,0,201.61,341.75,,4824703
Colombia,39,170,COL,0,0,177.62,228.33,,117620
Comoros,39,174,COM,0,0,106.81,68.22,,619
"Congo, Republic of",39,178,COG,0,0,80.73,47.04,,2727
"Congo, Democratic Republic of",39,180,COD,0,0,102.99,55.24,,52612
Costa Rica,39,188,CRI,0,0,177.73,257.12,,13325
Croatia,39,191,HRV,0,0,313.4,709.71,,28809
Cuba,39,192,CUB,0,0,220.76,439.5,,49688
Cyprus,39,196,CYP,0,0,292.27,506.63,,6198
Czechia,39,203,CZE,0,0,280.9,611.69,,65676
Benin,39,204,BEN,0,0,102.63,58.63,,7496
Denmark,39,208,DNK,0,0,374.69,837.02,,48840
Dominican Republic,39,214,DOM,0,0,167.02,182.44,,20171
Ecuador,39,218,ECU,0,0,152.7,170.53,,30888
El Salvador,39,222,SLV,0,0,127.11,149.59,,9799
Equatorial Guinea,39,226,GNQ,0,0,107.72,61.87,,926
Ethiopia,39,231,ETH,0,0,104.49,66.49,,80334
Eritrea,39,232,ERI,0,0,99.82,67.25,,2463
Estonia,39,233,EST,0,0,282.49,608.97,,8050
Fiji,39,242,FJI,0,0,174.79,176.04,,1601
Finland,39,246,FIN,0,0,276.85,677.95,,37660
France (metropolitan),39,250,FRA,0,0,339.02,737.32,,483568
French Guyana,39,254,GUF,0,0,204.28,187.48,,589
French Polynesia,39,258,PYF,0,0,228.07,308.63,,877
Djibouti,39,262,DJI,0,0,90.71,79.22,,805
Gabon,39,266,GAB,0,0,114.38,80.42,,1875
Georgia,39,268,GEO,0,0,197.5,344.92,,13689
The Republic of the Gambia,39,270,GMB,0,0,79.17,46.75,,1196
Gaza Strip and West Bank,39,275,PSE,0,0,152.25,94.1,,5030
Germany,39,276,DEU,0,0,274.24,722.2,,605805
Ghana,39,288,GHA,0,0,120.36,84.53,,27385
Greece,39,300,GRC,0,0,258.66,636.86,,65703
"France, Guadeloupe",39,312,GLP,0,0,253.9,531.01,,2123
Guam,39,316,GUM,0,0,167.19,240.19,,412
Guatemala,39,320,GTM,0,0,121.77,95.79,,17801
Guinea,39,324,GIN,0,0,116.32,63.3,,8777
Guyana,39,328,GUY,0,0,142.49,154.27,,1225
Haiti,39,332,HTI,0,0,141.05,118.66,,13860
Honduras,39,340,HND,0,0,127.96,105.81,,10815
Hungary,39,348,HUN,0,0,336.74,690.59,,66340
Iceland,39,352,ISL,0,0,268.28,514.48,,1777
India,39,356,IND,0,0,98.54,100.48,,1413316
Indonesia,39,360,IDN,0,0,136.93,146.4,,408661
"Iran, Islamic Republic of",39,364,IRN,0,0,148.98,159.49,,137198
Iraq,39,368,IRQ,0,0,136.56,88.66,,37382
Ireland,39,372,IRL,0,0,344.7,622.33,,31242
Israel,39,376,ISR,0,0,245.78,341.12,,30438
Italy,39,380,ITA,0,0,284.49,723.9,,436242
"Côte d'Ivoire",39,384,CIV,0,0,136.96,76.97,,21352
Jamaica,39,388,JAM,0,0,199.58,251.25,,7500
