Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,30,4,AFG,0,0,2.38,1.13,,459
Albania,30,8,ALB,0,0,8.21,16.96,,486
Algeria,30,12,DZA,0,0,7.19,7.14,,3240
Angola,30,24,AGO,0,0,2.89,1.4,,491
Azerbaijan,30,31,AZE,0,0,5.39,6.39,,658
Argentina,30,32,ARG,0,0,5.22,8.07,,3713
Australia,30,36,AUS,0,0,7.35,17.09,,4454
Austria,30,40,AUT,0,0,8.23,21.56,,1955
Bahamas,30,44,BHS,0,0,1.2,1.5,,6
Bahrain,30,48,BHR,0,0,7.25,3.64,,65
Bangladesh,30,50,BGD,0,0,1.07,0.97,,1633
Armenia,30,51,ARM,0,0,7.02,12.38,,368
Barbados,30,52,BRB,0,0,1.64,4.17,,12
Belgium,30,56,BEL,0,0,12.88,32.75,,3821
Bhutan,30,64,BTN,0,0,0.51,0.51,,4
Bolivia,30,68,BOL,0,0,1.04,1.03,,123
Bosnia Herzegovina,30,70,BIH,0,0,9.15,20.62,,670
Botswana,30,72,BWA,0,0,0.82,0.57,,14
Brazil,30,76,BRA,0,0,5.39,7.91,,17028
Belize,30,84,BLZ,0,0,0,0,,0
Solomon Islands,30,90,SLB,0,0,1.4,0.83,,6
Brunei Darussalam,30,96,BRN,0,0,4.29,4.49,,20
Bulgaria,30,100,BGR,0,0,10.73,25.28,,1730
Myanmar,30,104,MMR,0,0,1.85,1.83,,1012
Burundi,30,108,BDI,0,0,2.05,0.86,,108
Belarus,30,112,BLR,0,0,7.87,15.52,,1464
Cambodia,30,116,KHM,0,0,1.95,1.49,,256
Cameroon,30,120,CMR,0,0,1.43,0.64,,180
Canada,30,124,CAN,0,0,15.61,39.36,,15111
Cape Verde,30,132,CPV,0,0,2.45,2.11,,12
Central African Republic,30,140,CAF,0,0,1.47,0.72,,36
Sri Lanka,30,144,LKA,0,0,1.93,3.16,,681
Chad,30,148,TCD,0,0,3.16,1.73,,302
Chile,30,152,CHL,0,0,4.71,8.49,,1635
China,30,160,CHN,0,0,3.44,6.58,,92883
Colombia,30,170,COL,0,0,2.81,3.95,,2035
Comoros,30,174,COM,0,0,4.83,2.64,,24
"Congo, Republic of",30,178,COG,0,0,0.63,0.36,,21
"Congo, Democratic Republic of",30,180,COD,0,0,1.6,0.77,,732
Costa Rica,30,188,CRI,0,0,3.34,5.4,,280
Croatia,30,191,HRV,0,0,11.72,29.88,,1213
Cuba,30,192,CUB,0,0,5.63,12.93,,1462
Cyprus,30,196,CYP,0,0,13.37,26.08,,319
Czechia,30,203,CZE,0,0,11.7,29.29,,3145
