Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,20,4,AFG,0,0,29.44,17.86,,3545
Albania,20,8,ALB,0,0,51.14,72.6,,1022
Algeria,20,12,DZA,0,0,61.87,65.07,,14601
Angola,20,24,AGO,0,0,29.43,16.38,,2898
Azerbaijan,20,31,AZE,0,0,32.9,42.62,,2195
Argentina,20,32,ARG,0,0,71.32,91.84,,21631
Australia,20,36,AUS,0,0,101.47,167.55,,21931
Austria,20,40,AUT,0,0,69.54,130.33,,5983
Bahamas,20,44,BHS,0,0,64.64,83.57,,172
Bahrain,20,48,BHR,0,0,58.49,51.7,,324
Bangladesh,20,50,BGD,0,0,15.18,15.63,,12989
Armenia,20,51,ARM,0,0,39.61,64.35,,1013
Barbados,20,52,BRB,0,0,57.74,97.7,,145
Belgium,20,56,BEL,0,0,104.39,191.51,,11255
Bhutan,20,64,BTN,0,0,4.56,4.34,,16
Bolivia,20,68,BOL,0,0,26.78,28.09,,1679
Bosnia Herzegovina,20,70,BIH,0,0,51.88,92.79,,1539
Botswana,20,72,BWA,0,0,23.03,20.46,,257
Brazil,20,76,BRA,0,0,63.12,86.41,,94728
Belize,20,84,BLZ,0,0,46.75,40.97,,85
Solomon Islands,20,90,SLB,0,0,49.18,36.39,,129
Brunei Darussalam,20,96,BRN,0,0,50.16,61.05,,131
Bulgaria,20,100,BGR,0,0,52.82,101.03,,3558
Myanmar,20,104,MMR,0,0,23.41,26.72,,7644
Burundi,20,108,BDI,0,0,25.32,13.58,,863
Belarus,20,112,BLR,0,0,56.57,102.88,,5183
Cambodia,20,116,KHM,0,0,25.13,24.09,,2116
Cameroon,20,120,CMR,0,0,48.64,30.16,,4207
Canada,20,124,CAN,0,0,88.59,164.65,,31823
Cape Verde,20,132,CPV,0,0,23.4,23.7,,67
Central African Republic,20,140,CAF,0,0,37.72,22.69,,574
Sri Lanka,20,144,LKA,0,0,27.68,40.49,,4555
Chad,20,148,TCD,0,0,14.24,8.59,,749
Chile,20,152,CHL,0,0,38.23,57.82,,5640
China,20,160,CHN,0,0,33.04,51.71,,357161
Colombia,20,170,COL,0,0,50.7,64.89,,17018
Comoros,20,174,COM,0,0,21.5,14.45,,65
"Congo, Republic of",20,178,COG,0,0,26.85,18.27,,530
"Congo, Democratic Republic of",20,180,COD,0,0,26.45,15.49,,7385
Costa Rica,20,188,CRI,0,0,37.53,51.8,,1344
Croatia,20,191,HRV,0,0,74.64,148.02,,3108
Cuba,20,192,CUB,0,0,47.24,90.56,,5157
Cyprus,20,196,CYP,0,0,104.75,166.74,,1020
Czechia,20,203,CZE,0,0,72.51,141.95,,7732
Benin,20,204,BEN,0,0,33.26,20.78,,1329
Denmark,20,208,DNK,0,0,95.42,179.18,,5259
Dominican Republic,20,214,DOM,0,0,53.39,58.57,,3244
Ecuador,20,218,ECU,0,0,39.46,43.09,,3903
El Salvador,20,222,SLV,0,0,39.65,46.22,,1612
Equatorial Guinea,20,226,GNQ,0,0,40.99,26.2,,174
Ethiopia,20,231,ETH,0,0,40.81,28,,16904
Eritrea,20,232,ERI,0,0,37.78,27.49,,502
Estonia,20,233,EST,0,0,63.06,123.52,,857
Fiji,20,242,FJI,0,0,60.26,64.33,,289
Finland,20,246,FIN,0,0,92.33,191.14,,5378
France (metropolitan),20,250,FRA,0,0,105.42,194.02,,65659
French Guyana,20,254,GUF,0,0,55.71,54.21,,86
French Polynesia,20,258,PYF,0,0,71.91,96.16,,135
Djibouti,20,262,DJI,0,0,38.06,37.22,,180
Gabon,20,266,GAB,0,0,36.41,28.19,,323
Georgia,20,268,GEO,0,0,49.04,83.23,,1730
The Republic of the Gambia,20,270,GMB,0,0,12.12,7.83,,101
Gaza Strip and West Bank,20,275,PSE,0,0,46.33,31.42,,828
Germany,20,276,DEU,0,0,77.02,174.68,,74016
Ghana,20,288,GHA,0,0,40.19,31.47,,5026
Greece,20,300,GRC,0,0,82.36,171.11,,8987
"France, Guadeloupe",20,312,GLP,0,0,66.41,109.43,,236
Guam,20,316,GUM,0,0,44.15,62.28,,53
Guatemala,20,320,GTM,0,0,28.35,23.81,,2244
Guinea,20,324,GIN,0,0,15.95,10.05,,717
Guyana,20,328,GUY,0,0,52.6,58.12,,229
Haiti,20,332,HTI,0,0,25.16,22.91,,1355
Honduras,20,340,HND,0,0,27.28,23.65,,1209
Hungary,20,348,HUN,0,0,76.38,152.96,,7694
Iceland,20,352,ISL,0,0,71.06,119.3,,205
India,20,356,IND,0,0,26.6,28.41,,192020
Indonesia,20,360,IDN,0,0,41.78,47.81,,66271
"Iran, Islamic Republic of",20,364,IRN,0,0,30.45,36.34,,15492
Iraq,20,368,IRQ,0,0,56.91,41.44,,8626
Ireland,20,372,IRL,0,0,91.45,145.97,,3688
Israel,20,376,ISR,0,0,78.74,103.18,,4618
Italy,20,380,ITA,0,0,87.01,186.12,,57480
"Côte d'Ivoire",20,384,CIV,0,0,45.44,28.1,,3869
Jamaica,20,388,JAM,0,0,71.12,88.19,,1327
Japan,20,392,JPN,0,0,74.39,142.97,,91916
Kazakhstan,20,398,KAZ,0,0,36.94,46.26,,4570
Jordan,20,400,JOR,0,0,59.99,51.13,,2598
Kenya,20,404,KEN,0,0,40.77,25.61,,7243
"Korea, Democratic People Republic of",20,408,PRK,0,0,32.25,44.76,,5943
"Korea, Republic of",20,410,KOR,0,0,61.48,96.6,,24772
Kuwait,20,414,KWT,0,0,49.83,52.56,,892
Kyrgyzstan,20,417,KGZ,0,0,25.31,25.06,,852
"Lao People's Democratic Republic",20,418,LAO,0,0,31.63,27.72,,1033
Lebanon,20,422,LBN,0,0,57.89,65.19,,2161
Lesotho,20,426,LSO,0,0,18.92,16.99,,187
Latvia,20,428,LVA,0,0,65.95,126.84,,1263
Liberia,20,430,LBR,0,0,33.57,23.59,,622
Libya,20,434,LBY,0,0,30.98,33.5,,1169
Lithuania,20,440,LTU,0,0,62.74,120.2,,1719
Luxembourg,20,442,LUX,0,0,99.7,178.09,,565
Madagascar,20,450,MDG,0,0,30.32,19.67,,2875
Malawi,20,454,MWI,0,0,25.19,15.09,,1543
Malaysia,20,458,MYS,0,0,46.09,51.85,,8371
Maldives,20,462,MDV,0,0,39.84,41.84,,85
Mali,20,466,MLI,0,0,37.73,21.27,,2278
Malta,20,470,MLT,0,0,86.3,174.51,,386
"France, Martinique",20,474,MTQ,0,0,77.16,142.33,,288
Mauritania,20,478,MRT,0,0,34.54,24.6,,600
Mauritius,20,480,MUS,0,0,52.68,83.03,,537
Mexico,20,484,MEX,0,0,39.94,46.2,,31043
Mongolia,20,496,MNG,0,0,12.63,13.23,,227
Moldova,20,498,MDA,0,0,46.57,77.37,,1620
Montenegro,20,499,MNE,0,0,76.54,131.08,,416
Morocco,20,504,MAR,0,0,58.37,67.1,,12756
Mozambique,20,508,MOZ,0,0,19.69,12.05,,2048
Oman,20,512,OMN,0,0,33.96,30.15,,549
Namibia,20,516,NAM,0,0,53.93,40.77,,553
Nepal,20,524,NPL,0,0,14.35,13.93,,2255
The Netherlands,20,528,NLD,0,0,101.6,184.44,,15919
New Caledonia,20,540,NCL,0,0,90.18,121.49,,176
Vanuatu,20,548,VUT,0,0,29.6,23.3,,37
New Zealand,20,554,NZL,0,0,94.36,154.76,,3855
Nicaragua,20,558,NIC,0,0,35.32,35.16,,1209
Niger,20,562,NER,0,0,29.46,16.55,,2145
Nigeria,20,566,NGA,0,0,51.5,30.2,,32278
Norway,20,578,NOR,0,0,95.56,164.56,,4480
Pakistan,20,586,PAK,0,0,34.23,27.54,,30682
Panama,20,591,PAN,0,0,41.39,49,,1089
Papua New Guinea,20,598,PNG,0,0,46.03,36.58,,1663
Paraguay,20,600,PRY,0,0,58.37,57.62,,2072
Peru,20,604,PER,0,0,39.3,45.99,,7797
Philippines,20,608,PHL,0,0,60.34,59.01,,33079
Poland,20,616,POL,0,0,65.96,125.5,,24418
Portugal,20,620,PRT,0,0,88.75,167.69,,8954
Guinea-Bissau,20,624,GNB,0,0,27.17,17.67,,186
Timor-Leste,20,626,TLS,0,0,26.38,19.33,,131
Puerto Rico,20,630,PRI,0,0,62.32,124.98,,1862
Qatar,20,634,QAT,0,0,39.03,32.98,,248
"France, La Réunion",20,638,REU,0,0,55.94,81.51,,382
Romania,20,642,ROU,0,0,69.22,129.71,,12685
Russian Federation,20,643,RUS,0,0,57.67,100.81,,78839
Rwanda,20,646,RWA,0,0,16.2,11.56,,799
Saint Lucia,20,662,LCA,0,0,51.68,70.23,,66
Sao Tome and Principe,20,678,STP,0,0,19.91,14.07,,16
