Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,23,4,AFG,0,0,10.27,6.13,,1218
Albania,23,8,ALB,0,0,8.7,12.15,,171
Algeria,23,12,DZA,0,0,7.96,8.02,,1799
Angola,23,24,AGO,0,0,30.4,15.95,,2823
Azerbaijan,23,31,AZE,0,0,8.18,10.62,,547
Argentina,23,32,ARG,0,0,16.78,19.94,,4696
Australia,23,36,AUS,0,0,5.25,6.86,,898
Austria,23,40,AUT,0,0,5.87,8.91,,409
Bahamas,23,44,BHS,0,0,15.15,20.41,,42
Bahrain,23,48,BHR,0,0,2.66,2.87,,18
Bangladesh,23,50,BGD,0,0,11.28,11.6,,9640
Armenia,23,51,ARM,0,0,6.83,9.91,,156
Barbados,23,52,BRB,0,0,13.75,24.26,,36
Belgium,23,56,BEL,0,0,6.3,9.04,,531
Bhutan,23,64,BTN,0,0,13.56,13.3,,49
Bolivia,23,68,BOL,0,0,38.65,37.02,,2213
Bosnia Herzegovina,23,70,BIH,0,0,12.33,15.86,,263
Botswana,23,72,BWA,0,0,39.06,36.14,,454
Brazil,23,76,BRA,0,0,12.69,17.07,,18715
Belize,23,84,BLZ,0,0,17.27,16.39,,34
Solomon Islands,23,90,SLB,0,0,26.15,20.31,,72
Brunei Darussalam,23,96,BRN,0,0,20.01,24.7,,53
Bulgaria,23,100,BGR,0,0,15.41,24.9,,877
Myanmar,23,104,MMR,0,0,21.44,24.56,,7028
Burundi,23,108,BDI,0,0,43.58,22.92,,1457
Belarus,23,112,BLR,0,0,9.25,13.26,,668
Cambodia,23,116,KHM,0,0,15.24,14.5,,1274
Cameroon,23,120,CMR,0,0,33.11,18.1,,2525
Canada,23,124,CAN,0,0,6.63,8.95,,1730
Cape Verde,23,132,CPV,0,0,16.07,16.27,,46
Central African Republic,23,140,CAF,0,0,21.77,11.66,,295
Sri Lanka,23,144,LKA,0,0,9.18,14.04,,1579
Chad,23,148,TCD,0,0,23.51,12.74,,1111
Chile,23,152,CHL,0,0,11.34,15.98,,1559
China,23,160,CHN,0,0,13.83,21.81,,150659
Colombia,23,170,COL,0,0,13.68,17.43,,4570
Comoros,23,174,COM,0,0,52.01,36.25,,163
"Congo, Republic of",23,178,COG,0,0,22.32,13.69,,397
"Congo, Democratic Republic of",23,180,COD,0,0,32.91,18.26,,8705
Costa Rica,23,188,CRI,0,0,10.6,13.14,,341
Croatia,23,191,HRV,0,0,8.25,12.95,,272
Cuba,23,192,CUB,0,0,12.83,19.7,,1122
Cyprus,23,196,CYP,0,0,6.99,10.14,,62
Czechia,23,203,CZE,0,0,8.01,12.08,,658
Benin,23,204,BEN,0,0,18.12,10.96,,701
