Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,8,4,AFG,0,0,2.66,1.33,,544
Albania,8,8,ALB,0,0,4.91,9.28,,266
Algeria,8,12,DZA,0,0,9.91,9.96,,4515
Angola,8,24,AGO,0,0,2.43,1.24,,435
Azerbaijan,8,31,AZE,0,0,8.36,9.91,,1021
Argentina,8,32,ARG,0,0,18.96,27.32,,12572
Australia,8,36,AUS,0,0,22.32,43.86,,11434
Austria,8,40,AUT,0,0,13.49,32.07,,2908
Bahamas,8,44,BHS,0,0,12.86,16.23,,65
Bahrain,8,48,BHR,0,0,9.38,5.72,,102
Bangladesh,8,50,BGD,0,0,1.73,1.63,,2737
Armenia,8,51,ARM,0,0,16.75,29.07,,864
Barbados,8,52,BRB,0,0,15.75,34.03,,98
Belgium,8,56,BEL,0,0,19.8,47.61,,5555
Bhutan,8,64,BTN,0,0,1.83,1.65,,13
Bolivia,8,68,BOL,0,0,4.75,4.64,,557
Bosnia Herzegovina,8,70,BIH,0,0,13.54,30.07,,977
Botswana,8,72,BWA,0,0,2.17,1.72,,42
Brazil,8,76,BRA,0,0,10.89,15.49,,33362
Belize,8,84,BLZ,0,0,5.98,5.09,,21
Solomon Islands,8,90,SLB,0,0,1.34,0.69,,5
Brunei Darussalam,8,96,BRN,0,0,15.49,16.61,,74
Bulgaria,8,100,BGR,0,0,18.69,47.57,,3256
Myanmar,8,104,MMR,0,0,4.9,5.02,,2770
Burundi,8,108,BDI,0,0,2.63,1.2,,151
Belarus,8,112,BLR,0,0,18.87,38.22,,3605
Cambodia,8,116,KHM,0,0,7.01,5.68,,976
Cameroon,8,120,CMR,0,0,3.19,1.67,,465
Canada,8,124,CAN,0,0,17.53,40.37,,15499
Cape Verde,8,132,CPV,0,0,3.49,3.35,,19
Central African Republic,8,140,CAF,0,0,2.63,1.4,,70
Sri Lanka,8,144,LKA,0,0,3.34,5.1,,1101
Chad,8,148,TCD,0,0,0.89,0.66,,115
Chile,8,152,CHL,0,0,13.67,24.26,,4670
China,8,160,CHN,0,0,10.43,19.08,,269431
Colombia,8,170,COL,0,0,11.18,14.86,,7653
Comoros,8,174,COM,0,0,1.88,0.99,,9
"Congo, Republic of",8,178,COG,0,0,1.95,1.16,,67
"Congo, Democratic Republic of",8,180,COD,0,0,2.33,1.21,,1155
Costa Rica,8,188,CRI,0,0,9.52,14.65,,759
Croatia,8,191,HRV,0,0,24.46,63.73,,2587
Cuba,8,192,CUB,0,0,15.18,34.84,,3939
Cyprus,8,196,CYP,0,0,16.84,32.78,,401
Czechia,8,203,CZE,0,0,17.73,42.09,,4519
Benin,8,204,BEN,0,0,4.07,2.29,,293
Denmark,8,208,DNK,0,0,32.73,82.5,,4814
Dominican Republic,8,214,DOM,0,0,12.7,13.98,,1546
Ecuador,8,218,ECU,0,0,8.55,9.79,,1774
El Salvador,8,222,SLV,0,0,6.42,8.11,,531
Equatorial Guinea,8,226,GNQ,0,0,3.42,1.94,,29
Ethiopia,8,231,ETH,0,0,4.93,2.89,,3486
Eritrea,8,232,ERI,0,0,3.6,2.38,,87
Estonia,8,233,EST,0,0,19.98,52.12,,689
Fiji,8,242,FJI,0,0,5.84,5.39,,49
Finland,8,246,FIN,0,0,16.48,46.25,,2569
France (metropolitan),8,250,FRA,0,0,19.58,50.38,,33041
French Guyana,8,254,GUF,0,0,11.76,10.5,,33
French Polynesia,8,258,PYF,0,0,6.82,9.5,,27
Djibouti,8,262,DJI,0,0,3.45,3.05,,31
Gabon,8,266,GAB,0,0,4.07,2.79,,65
Georgia,8,268,GEO,0,0,7.09,13.83,,549
The Republic of the Gambia,8,270,GMB,0,0,0.9,0.55,,14
Gaza Strip and West Bank,8,275,PSE,0,0,12.16,6.77,,362
Germany,8,276,DEU,0,0,14.19,45.2,,37916
Ghana,8,288,GHA,0,0,1.64,0.89,,289
Greece,8,300,GRC,0,0,22.02,63.72,,6574
"France, Guadeloupe",8,312,GLP,0,0,15.24,34.52,,138
Guam,8,316,GUM,0,0,10.18,15.74,,27
Guatemala,8,320,GTM,0,0,5.56,4.35,,808
Guinea,8,324,GIN,0,0,1.1,0.58,,81
Guyana,8,328,GUY,0,0,7.31,8.31,,66
Haiti,8,332,HTI,0,0,8.74,7.41,,866
Honduras,8,340,HND,0,0,4.37,3.43,,351
Hungary,8,348,HUN,0,0,26.75,63.15,,6066
Iceland,8,352,ISL,0,0,21.91,45.45,,157
India,8,356,IND,0,0,2.38,2.42,,34046
Indonesia,8,360,IDN,0,0,6.33,6.7,,18693
"Iran, Islamic Republic of",8,364,IRN,0,0,9.49,10.21,,8779
Iraq,8,368,IRQ,0,0,5.6,3.44,,1449
Ireland,8,372,IRL,0,0,19.41,37.95,,1905
Israel,8,376,ISR,0,0,17.36,26.59,,2373
Italy,8,380,ITA,0,0,20.81,63.98,,38554
"Côte d'Ivoire",8,384,CIV,0,0,4.73,2.46,,683
Jamaica,8,388,JAM,0,0,14.78,19.76,,590
Japan,8,392,JPN,0,0,22.7,76.62,,96222
Kazakhstan,8,398,KAZ,0,0,8.29,9.79,,1880
Jordan,8,400,JOR,0,0,11.96,8.86,,913
Kenya,8,404,KEN,0,0,6.58,3.21,,1805
"Korea, Democratic People Republic of",8,408,PRK,0,0,8.81,12.99,,3376
"Korea, Republic of",8,410,KOR,0,0,15.22,34.38,,17645
Kuwait,8,414,KWT,0,0,7.75,6.71,,294
Kyrgyzstan,8,417,KGZ,0,0,3.71,3.03,,204
"Lao People's Democratic Republic",8,418,LAO,0,0,7.82,5.81,,435
Lebanon,8,422,LBN,0,0,9.24,10.85,,725
Lesotho,8,426,LSO,0,0,3.44,2.57,,56
Latvia,8,428,LVA,0,0,12.36,33.32,,616
Liberia,8,430,LBR,0,0,2.68,1.6,,85
Libya,8,434,LBY,0,0,10.39,8.98,,632
Lithuania,8,440,LTU,0,0,12.86,34.08,,907
Luxembourg,8,442,LUX,0,0,16.06,34.56,,222
Madagascar,8,450,MDG,0,0,2.01,1.18,,344
Malawi,8,454,MWI,0,0,1.95,0.95,,191
Malaysia,8,458,MYS,0,0,11.01,12.07,,4006
Maldives,8,462,MDV,0,0,6.2,4.81,,26
Mali,8,466,MLI,0,0,4.28,1.91,,411
Malta,8,470,MLT,0,0,17.94,46.39,,206
"France, Martinique",8,474,MTQ,0,0,15.25,40.1,,150
Mauritania,8,478,MRT,0,0,3.24,1.9,,93
Mauritius,8,480,MUS,0,0,11.69,20.16,,257
Mexico,8,484,MEX,0,0,8.09,9.14,,12031
Mongolia,8,496,MNG,0,0,5.49,4.65,,157
Moldova,8,498,MDA,0,0,16.26,27.81,,1116
Montenegro,8,499,MNE,0,0,12.93,26.12,,164
Morocco,8,504,MAR,0,0,6.68,7.63,,2882
Mozambique,8,508,MOZ,0,0,1.67,0.8,,266
Oman,8,512,OMN,0,0,6.39,4.81,,256
Namibia,8,516,NAM,0,0,4.94,3.15,,83
Nepal,8,524,NPL,0,0,2.55,2.26,,683
The Netherlands,8,528,NLD,0,0,28.03,69.05,,11884
New Caledonia,8,540,NCL,0,0,13.91,19.94,,58
Vanuatu,8,548,VUT,0,0,2.7,1.55,,5
New Zealand,8,554,NZL,0,0,24.73,54.43,,2666
Nicaragua,8,558,NIC,0,0,7.18,6.62,,449
Niger,8,562,NER,0,0,3.26,1.5,,391
Nigeria,8,566,NGA,0,0,3.43,1.69,,3660
Norway,8,578,NOR,0,0,30.66,71.52,,3942
Pakistan,8,586,PAK,0,0,3.05,2.31,,5297
Panama,8,591,PAN,0,0,10.92,13.47,,599
Papua New Guinea,8,598,PNG,0,0,5.05,3.02,,281
Paraguay,8,600,PRY,0,0,16.33,16.01,,1170
Peru,8,604,PER,0,0,8.58,11.2,,3772
Philippines,8,608,PHL,0,0,13.51,11.95,,13445
Poland,8,616,POL,0,0,17.24,40.98,,15464
Portugal,8,620,PRT,0,0,23.68,67.25,,6820
Guinea-Bissau,8,624,GNB,0,0,2.16,1.16,,24
Timor-Leste,8,626,TLS,0,0,5.19,3.51,,48
Puerto Rico,8,630,PRI,0,0,19.48,46.54,,1317
Qatar,8,634,QAT,0,0,5.79,3.99,,119
"France, La Réunion",8,638,REU,0,0,12.67,22.47,,204
Romania,8,642,ROU,0,0,17.93,41.04,,7811
Russian Federation,8,643,RUS,0,0,18.37,36.6,,53362
Rwanda,8,646,RWA,0,0,1.86,1.17,,159
Saint Lucia,8,662,LCA,0,0,9.39,14.05,,26
Sao Tome and Principe,8,678,STP,0,0,5.41,3.07,,7
Saudi Arabia,8,682,SAU,0,0,6.27,5.59,,2004
Senegal,8,686,SEN,0,0,3.03,1.64,,290
Serbia,8,688,SRB,0,0,14.88,31.91,,2761
Sierra Leone,8,694,SLE,0,0,0.07,0.05,,4
Singapore,8,702,SGP,0,0,20.72,41.51,,2467
Slovakia,8,703,SVK,0,0,19.9,44.65,,2438
Viet Nam,8,704,VNM,0,0,5.94,7.28,,7200
Slovenia,8,705,SVN,0,0,17.74,45.33,,942
Somalia,8,706,SOM,0,0,5.18,2.49,,420
South Africa,8,710,ZAF,0,0,6.82,5.93,,3603
Zimbabwe,8,716,ZWE,0,0,5.18,2.64,,405
Spain,8,724,ESP,0,0,21.43,55.9,,26114
South Sudan,8,728,SSD,0,0,2.9,1.68,,195
Sudan,8,729,SDN,0,0,2.67,1.8,,828
Suriname,8,740,SUR,0,0,15.17,16.92,,101
Eswatini,8,748,SWZ,0,0,2.5,1.52,,18
Sweden,8,752,SWE,0,0,19.97,50.11,,5121
Switzerland,8,756,CHE,0,0,15.69,38.54,,3381
Syrian Arab Republic,8,760,SYR,0,0,7.53,5.73,,1109
Tajikistan,8,762,TJK,0,0,2.56,1.65,,164
Thailand,8,764,THA,0,0,8.4,15.28,,10707
Togo,8,768,TGO,0,0,4.67,2.51,,218
Trinidad and Tobago,8,780,TTO,0,0,11.36,18.84,,265
United Arab Emirates,8,784,ARE,0,0,7.21,3.47,,350
Tunisia,8,788,TUN,0,0,6.58,8.42,,1014
Türkiye,8,792,TUR,0,0,12.38,16.04,,13723
Turkmenistan,8,795,TKM,0,0,2.09,1.81,,112
Uganda,8,800,UGA,0,0,3.77,1.49,,724
Ukraine,8,804,UKR,0,0,12.85,26.05,,11253
North Macedonia,8,807,MKD,0,0,11.9,22.15,,461
Egypt,8,818,EGY,0,0,4.02,3.5,,3714
United Kingdom,8,826,GBR,0,0,18.62,45.57,,31215
"Tanzania, United Republic of",8,834,TZA,0,0,2.46,1.36,,859
United States of America,8,840,USA,0,0,17.01,31.43,,105232
Burkina Faso,8,854,BFA,0,0,1.9,1.19,,264
Uruguay,8,858,URY,0,0,21.01,41.62,,1455
Uzbekistan,8,860,UZB,0,0,4.08,3.57,,1229
Venezuela,8,862,VEN,0,0,12.42,14.66,,4291
Samoa,8,882,WSM,0,0,15.2,12.36,,25
Yemen,8,887,YEM,0,0,5.51,2.99,,931
Zambia,8,894,ZMB,0,0,1.83,0.79,,154
