Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,41,4,AFG,0,0,5.57,2.85,,1163
Albania,41,8,ALB,0,0,10.18,18.21,,522
Algeria,41,12,DZA,0,0,17.05,17.08,,7747
Angola,41,24,AGO,0,0,4.61,2.3,,805
Azerbaijan,41,31,AZE,0,0,14.17,16.9,,1741
Argentina,41,32,ARG,0,0,24.2,34.48,,15863
Australia,41,36,AUS,0,0,34.6,65.55,,17088
Austria,41,40,AUT,0,0,21.84,50.06,,4539
Bahamas,41,44,BHS,0,0,19.29,23.97,,96
Bahrain,41,48,BHR,0,0,13.51,8.8,,157
Bangladesh,41,50,BGD,0,0,3.59,3.41,,5723
Armenia,41,51,ARM,0,0,21.97,37.92,,1127
Barbados,41,52,BRB,0,0,24.7,51.38,,148
Belgium,41,56,BEL,0,0,29.22,68.12,,7949
Bhutan,41,64,BTN,0,0,4.15,3.81,,30
Bolivia,41,68,BOL,0,0,6.04,5.85,,701
Bosnia Herzegovina,41,70,BIH,0,0,26.31,57.09,,1855
Botswana,41,72,BWA,0,0,4.46,3.65,,89
Brazil,41,76,BRA,0,0,19.83,27.92,,60118
Belize,41,84,BLZ,0,0,5.98,5.09,,21
Solomon Islands,41,90,SLB,0,0,4.59,2.63,,19
Brunei Darussalam,41,96,BRN,0,0,31.77,34.35,,153
Bulgaria,41,100,BGR,0,0,30.18,74.31,,5086
Myanmar,41,104,MMR,0,0,9.9,10.05,,5552
Burundi,41,108,BDI,0,0,6.44,2.84,,359
Belarus,41,112,BLR,0,0,32.71,65.3,,6160
Cambodia,41,116,KHM,0,0,12.57,10.05,,1726
Cameroon,41,120,CMR,0,0,6.28,3.28,,916
Canada,41,124,CAN,0,0,28.6,61.8,,23725
Cape Verde,41,132,CPV,0,0,5.52,4.93,,28
Central African Republic,41,140,CAF,0,0,5.68,3.05,,153
Sri Lanka,41,144,LKA,0,0,7.79,11.77,,2540
Chad,41,148,TCD,0,0,2.25,1.31,,228
Chile,41,152,CHL,0,0,20.27,35.21,,6778
China,41,160,CHN,0,0,20.1,36.63,,517106
Colombia,41,170,COL,0,0,16.44,21.67,,11163
Comoros,41,174,COM,0,0,3.65,1.87,,17
"Congo, Republic of",41,178,COG,0,0,4.81,2.9,,168
"Congo, Democratic Republic of",41,180,COD,0,0,5.98,3.11,,2961
Costa Rica,41,188,CRI,0,0,14.3,21.63,,1121
Croatia,41,191,HRV,0,0,41.06,103.22,,4190
Cuba,41,192,CUB,0,0,19.9,44.34,,5013
Cyprus,41,196,CYP,0,0,24.11,46.43,,568
Czechia,41,203,CZE,0,0,30.54,70.49,,7568
Benin,41,204,BEN,0,0,6.94,3.9,,498
Denmark,41,208,DNK,0,0,48.07,117.88,,6878
Dominican Republic,41,214,DOM,0,0,14.69,16.12,,1782
Ecuador,41,218,ECU,0,0,12.35,13.97,,2531
El Salvador,41,222,SLV,0,0,8.65,10.56,,692
Equatorial Guinea,41,226,GNQ,0,0,5.6,3.27,,49
Ethiopia,41,231,ETH,0,0,9.04,5.42,,6551
Eritrea,41,232,ERI,0,0,6.89,4.61,,169
Estonia,41,233,EST,0,0,31.76,81.25,,1074
Fiji,41,242,FJI,0,0,11.49,10.56,,96
Finland,41,246,FIN,0,0,26.75,72.37,,4020
France (metropolitan),41,250,FRA,0,0,32.1,78.73,,51636
French Guyana,41,254,GUF,0,0,16.15,14.64,,46
French Polynesia,41,258,PYF,0,0,11.93,16.89,,48
Djibouti,41,262,DJI,0,0,6.39,5.71,,58
Gabon,41,266,GAB,0,0,6.78,4.68,,109
Georgia,41,268,GEO,0,0,14.51,28.35,,1125
The Republic of the Gambia,41,270,GMB,0,0,2.61,1.45,,37
Gaza Strip and West Bank,41,275,PSE,0,0,18.28,10.35,,553
Germany,41,276,DEU,0,0,25.65,74.56,,62544
Ghana,41,288,GHA,0,0,4.72,3.04,,986
Greece,41,300,GRC,0,0,26.75,76.18,,7859
"France, Guadeloupe",41,312,GLP,0,0,22.79,50.02,,200
Guam,41,316,GUM,0,0,15.97,23.9,,41
Guatemala,41,320,GTM,0,0,6.17,4.81,,894
Guinea,41,324,GIN,0,0,2.75,1.45,,201
Guyana,41,328,GUY,0,0,8.76,9.95,,79
Haiti,41,332,HTI,0,0,11.31,9.44,,1103
Honduras,41,340,HND,0,0,7.09,5.58,,570
Hungary,41,348,HUN,0,0,44.2,100.01,,9607
Iceland,41,352,ISL,0,0,30.95,62.25,,215
India,41,356,IND,0,0,4.89,4.98,,70038
Indonesia,41,360,IDN,0,0,12.08,12.78,,35676
"Iran, Islamic Republic of",41,364,IRN,0,0,13.89,14.99,,12899
Iraq,41,368,IRQ,0,0,8.93,5.5,,2320
Ireland,41,372,IRL,0,0,32.31,62.17,,3121
Israel,41,376,ISR,0,0,24.81,36.31,,3240
Italy,41,380,ITA,0,0,30.56,90.91,,54784
"Côte d'Ivoire",41,384,CIV,0,0,7.16,3.81,,1057
Jamaica,41,388,JAM,0,0,20.15,26.57,,793
Japan,41,392,JPN,0,0,36.63,116.06,,145756
Kazakhstan,41,398,KAZ,0,0,15.5,18.3,,3514
Jordan,41,400,JOR,0,0,16.53,12.37,,1274
Kenya,41,404,KEN,0,0,11.07,5.5,,3091
"Korea, Democratic People Republic of",41,408,PRK,0,0,18.98,27.81,,7228
"Korea, Republic of",41,410,KOR,0,0,26.52,57.59,,29560
Kuwait,41,414,KWT,0,0,11.16,9.95,,436
Kyrgyzstan,41,417,KGZ,0,0,7.91,6.49,,437
"Lao People's Democratic Republic",41,418,LAO,0,0,14.06,10.44,,781
Lebanon,41,422,LBN,0,0,12.87,15.03,,1005
Lesotho,41,426,LSO,0,0,5.84,4.46,,97
Latvia,41,428,LVA,0,0,23.47,60.96,,1127
Liberia,41,430,LBR,0,0,4.45,2.68,,142
Libya,41,434,LBY,0,0,15.93,13.83,,974
Lithuania,41,440,LTU,0,0,21.76,56.58,,1506
Luxembourg,41,442,LUX,0,0,23.63,49.19,,316
Madagascar,41,450,MDG,0,0,5.7,3.23,,942
Malawi,41,454,MWI,0,0,4.9,2.54,,512
Malaysia,41,458,MYS,0,0,19.66,21.55,,7150
Maldives,41,462,MDV,0,0,11.8,9.24,,50
Mali,41,466,MLI,0,0,8.94,4.23,,908
Malta,41,470,MLT,0,0,27.03,67.79,,301
"France, Martinique",41,474,MTQ,0,0,21.73,56.67,,212
Mauritania,41,478,MRT,0,0,6.24,3.73,,183
Mauritius,41,480,MUS,0,0,16.91,29.03,,370
Mexico,41,484,MEX,0,0,10.85,12.22,,16082
Mongolia,41,496,MNG,0,0,7.56,6.39,,216
Moldova,41,498,MDA,0,0,27.48,46.55,,1868
Montenegro,41,499,MNE,0,0,21.33,41.4,,260
Morocco,41,504,MAR,0,0,12.33,14.05,,5306
Mozambique,41,508,MOZ,0,0,3.85,1.97,,651
Oman,41,512,OMN,0,0,11.09,8.1,,431
Namibia,41,516,NAM,0,0,8.65,5.54,,146
Nepal,41,524,NPL,0,0,4.43,3.96,,1198
The Netherlands,41,528,NLD,0,0,42.75,102.66,,17670
New Caledonia,41,540,NCL,0,0,22.02,31.28,,91
Vanuatu,41,548,VUT,0,0,6.77,4.04,,13
New Zealand,41,554,NZL,0,0,38.95,83.09,,4070
Nicaragua,41,558,NIC,0,0,9.76,9,,610
Niger,41,562,NER,0,0,5.94,2.93,,764
Nigeria,41,566,NGA,0,0,7.53,3.74,,8114
Norway,41,578,NOR,0,0,45.26,101.92,,5617
Pakistan,41,586,PAK,0,0,5.41,4.12,,9447
Panama,41,591,PAN,0,0,15.08,18.44,,820
Papua New Guinea,41,598,PNG,0,0,11.74,6.95,,646
Paraguay,41,600,PRY,0,0,21.03,20.45,,1494
Peru,41,604,PER,0,0,11.35,14.67,,4943
Philippines,41,608,PHL,0,0,20.77,18.43,,20736
Poland,41,616,POL,0,0,30.85,71.25,,26888
Portugal,41,620,PRT,0,0,37.75,104.28,,10575
Guinea-Bissau,41,624,GNB,0,0,3.94,2.13,,44
Timor-Leste,41,626,TLS,0,0,8.77,5.84,,80
Puerto Rico,41,630,PRI,0,0,27.83,65.13,,1843
Qatar,41,634,QAT,0,0,9.26,6.11,,182
"France, La Réunion",41,638,REU,0,0,20.71,36.12,,328
Romania,41,642,ROU,0,0,32.17,71.15,,13541
Russian Federation,41,643,RUS,0,0,29.36,57.4,,83693
Rwanda,41,646,RWA,0,0,4.24,2.6,,353
Saint Lucia,41,662,LCA,0,0,12.29,18.37,,34
Sao Tome and Principe,41,678,STP,0,0,6.29,3.51,,8
Saudi Arabia,41,682,SAU,0,0,11.65,10.46,,3750
Senegal,41,686,SEN,0,0,6.19,3.45,,609
Serbia,41,688,SRB,0,0,30.17,63.43,,5489
Sierra Leone,41,694,SLE,0,0,0.24,0.14,,12
Singapore,41,702,SGP,0,0,33.99,67.42,,4007
Slovakia,41,703,SVK,0,0,35.66,77.27,,4219
Viet Nam,41,704,VNM,0,0,13.9,17.01,,16835
Slovenia,41,705,SVN,0,0,30.49,76.03,,1580
Somalia,41,706,SOM,0,0,9.16,4.48,,755
South Africa,41,710,ZAF,0,0,13.54,12.08,,7338
Zimbabwe,41,716,ZWE,0,0,9.73,5.04,,773
Spain,41,724,ESP,0,0,33.78,84.38,,39421
South Sudan,41,728,SSD,0,0,5.71,3.34,,388
Sudan,41,729,SDN,0,0,5.46,3.7,,1704
Suriname,41,740,SUR,0,0,18.72,20.94,,125
Eswatini,41,748,SWZ,0,0,4.9,3.12,,37
Sweden,41,752,SWE,0,0,31.18,75.34,,7699
Switzerland,41,756,CHE,0,0,26.29,61.81,,5423
Syrian Arab Republic,41,760,SYR,0,0,10.88,8.4,,1626
Tajikistan,41,762,TJK,0,0,5.57,3.67,,365
Thailand,41,764,THA,0,0,15.9,28.79,,20173
Togo,41,768,TGO,0,0,7.47,4.08,,354
Trinidad and Tobago,41,780,TTO,0,0,18.54,29.72,,418
United Arab Emirates,41,784,ARE,0,0,11.48,5.46,,550
Tunisia,41,788,TUN,0,0,11.86,15.27,,1839
Türkiye,41,792,TUR,0,0,19.79,25.38,,21718
Turkmenistan,41,795,TKM,0,0,5.93,5.21,,323
Uganda,41,800,UGA,0,0,7.26,2.88,,1394
Ukraine,41,804,UKR,0,0,24.23,48.36,,20887
North Macedonia,41,807,MKD,0,0,23.53,43.24,,900
Egypt,41,818,EGY,0,0,6.42,5.6,,5940
United Kingdom,41,826,GBR,0,0,30.85,72.16,,49429
"Tanzania, United Republic of",41,834,TZA,0,0,6.76,3.45,,2185
United States of America,41,840,USA,0,0,27.01,47.84,,160186
Burkina Faso,41,854,BFA,0,0,3.35,2.08,,460
Uruguay,41,858,URY,0,0,31.02,59.84,,2092
Uzbekistan,41,860,UZB,0,0,9.03,8.08,,2779
Venezuela,41,862,VEN,0,0,18.66,21.81,,6384
Samoa,41,882,WSM,0,0,25.3,20.77,,42
Yemen,41,887,YEM,0,0,9.1,5.05,,1572
Zambia,41,894,ZMB,0,0,5.05,2.34,,455
