Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,12,4,AFG,0,0,0.81,0.36,,148
Albania,12,8,ALB,0,0,0.79,1.5,,43
Algeria,12,12,DZA,0,0,2.65,2.63,,1193
Angola,12,24,AGO,0,0,0.18,0.07,,26
Azerbaijan,12,31,AZE,0,0,0.56,0.65,,67
Argentina,12,32,ARG,0,0,1.27,1.76,,810
Australia,12,36,AUS,0,0,0.62,1.42,,370
Austria,12,40,AUT,0,0,0.58,1.63,,148
Bahamas,12,44,BHS,0,0,1.13,1.5,,6
Bahrain,12,48,BHR,0,0,0.48,0.39,,7
Bangladesh,12,50,BGD,0,0,5.25,4.99,,8380
Armenia,12,51,ARM,0,0,1.02,1.82,,54
Barbados,12,52,BRB,0,0,0.37,0.69,,2
Belgium,12,56,BEL,0,0,0.28,0.72,,84
Bhutan,12,64,BTN,0,0,1.9,1.65,,13
Bolivia,12,68,BOL,0,0,7.64,8.39,,1006
Bosnia Herzegovina,12,70,BIH,0,0,1.49,3.6,,117
Botswana,12,72,BWA,0,0,0,0,,0
Brazil,12,76,BRA,0,0,0.73,1.04,,2249
Belize,12,84,BLZ,0,0,0.36,0.24,,1
Solomon Islands,12,90,SLB,0,0,0.35,0.28,,2
Brunei Darussalam,12,96,BRN,0,0,0.44,0.45,,2
Bulgaria,12,100,BGR,0,0,0.41,1.12,,77
Myanmar,12,104,MMR,0,0,1.81,1.81,,999
Burundi,12,108,BDI,0,0,0.17,0.07,,9
Belarus,12,112,BLR,0,0,0.75,1.73,,163
Cambodia,12,116,KHM,0,0,1.16,0.86,,147
Cameroon,12,120,CMR,0,0,0.19,0.09,,26
Canada,12,124,CAN,0,0,0.55,1.33,,510
Cape Verde,12,132,CPV,0,0,0.25,0.18,,1
Central African Republic,12,140,CAF,0,0,0.36,0.16,,8
Sri Lanka,12,144,LKA,0,0,0.33,0.5,,107
Chad,12,148,TCD,0,0,0.08,0.02,,3
Chile,12,152,CHL,0,0,5.72,9.96,,1917
China,12,160,CHN,0,0,1.14,2.21,,31132
Colombia,12,170,COL,0,0,0.96,1.3,,669
Comoros,12,174,COM,0,0,0,0,,0
"Congo, Republic of",12,178,COG,0,0,0.08,0.03,,2
"Congo, Democratic Republic of",12,180,COD,0,0,0.21,0.1,,91
Costa Rica,12,188,CRI,0,0,0.71,1.14,,59
Croatia,12,191,HRV,0,0,1.5,4.56,,185
Cuba,12,192,CUB,0,0,0.31,0.63,,71
Cyprus,12,196,CYP,0,0,0.5,1.06,,13
Czechia,12,203,CZE,0,0,1.22,3.3,,354
Benin,12,204,BEN,0,0,0.47,0.32,,41
Denmark,12,208,DNK,0,0,0.48,1.35,,79
Dominican Republic,12,214,DOM,0,0,0.44,0.5,,55
Ecuador,12,218,ECU,0,0,1.05,1.17,,212
El Salvador,12,222,SLV,0,0,1.02,1.28,,84
Equatorial Guinea,12,226,GNQ,0,0,0.19,0.13,,2
Ethiopia,12,231,ETH,0,0,0.63,0.34,,413
Eritrea,12,232,ERI,0,0,0.8,0.49,,18
Estonia,12,233,EST,0,0,0.72,2.04,,27
Fiji,12,242,FJI,0,0,0.96,0.99,,9
Finland,12,246,FIN,0,0,0.53,1.6,,89
France (metropolitan),12,250,FRA,0,0,0.35,0.97,,636
French Guyana,12,254,GUF,0,0,0.36,0.32,,1
French Polynesia,12,258,PYF,0,0,1.95,2.82,,8
Djibouti,12,262,DJI,0,0,0.54,0.39,,4
Gabon,12,266,GAB,0,0,0.62,0.43,,10
