Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,33,4,AFG,0,0,0.73,0.63,,258
Albania,33,8,ALB,0,0,1.89,2.34,,67
Algeria,33,12,DZA,0,0,2.22,2.2,,999
Angola,33,24,AGO,0,0,0.58,0.41,,143
Azerbaijan,33,31,AZE,0,0,1.98,2.11,,217
Argentina,33,32,ARG,0,0,1.66,1.9,,873
Australia,33,36,AUS,0,0,2.37,2.71,,706
Austria,33,40,AUT,0,0,1.64,1.84,,167
Bahamas,33,44,BHS,0,0,1.87,2,,8
Bahrain,33,48,BHR,0,0,0.75,0.78,,14
Bangladesh,33,50,BGD,0,0,0.31,0.31,,522
Armenia,33,51,ARM,0,0,1.66,1.72,,51
Barbados,33,52,BRB,0,0,0,0,,0
Belgium,33,56,BEL,0,0,3.01,3.27,,381
Bhutan,33,64,BTN,0,0,0,0,,0
Bolivia,33,68,BOL,0,0,1.2,1.19,,143
Bosnia Herzegovina,33,70,BIH,0,0,2.65,3.2,,104
Botswana,33,72,BWA,0,0,1.17,1.19,,29
Brazil,33,76,BRA,0,0,1.08,1.24,,2667
Belize,33,84,BLZ,0,0,0.59,0.73,,3
Solomon Islands,33,90,SLB,0,0,0.71,0.83,,6
Brunei Darussalam,33,96,BRN,0,0,1.06,1.12,,5
Bulgaria,33,100,BGR,0,0,1.36,1.4,,96
Myanmar,33,104,MMR,0,0,0.2,0.21,,114
Burundi,33,108,BDI,0,0,0.92,0.63,,80
Belarus,33,112,BLR,0,0,2.45,2.52,,238
Cambodia,33,116,KHM,0,0,0.45,0.43,,74
Cameroon,33,120,CMR,0,0,0.54,0.4,,111
Canada,33,124,CAN,0,0,2.56,2.9,,1114
Cape Verde,33,132,CPV,0,0,0.15,0.18,,1
Central African Republic,33,140,CAF,0,0,0.39,0.34,,17
Sri Lanka,33,144,LKA,0,0,0.92,1.04,,224
Chad,33,148,TCD,0,0,0.17,0.17,,30
Chile,33,152,CHL,0,0,1.3,1.51,,290
China,33,160,CHN,0,0,0.23,0.31,,4363
Colombia,33,170,COL,0,0,1.16,1.35,,695
Comoros,33,174,COM,0,0,0.08,0.11,,1
"Congo, Republic of",33,178,COG,0,0,0.07,0.07,,4
"Congo, Democratic Republic of",33,180,COD,0,0,0.45,0.32,,306
Costa Rica,33,188,CRI,0,0,1.74,2.05,,106
Croatia,33,191,HRV,0,0,2.22,2.24,,91
Cuba,33,192,CUB,0,0,2.1,2.6,,294
Cyprus,33,196,CYP,0,0,2.61,3.02,,37
Czechia,33,203,CZE,0,0,2.18,2.7,,290
Benin,33,204,BEN,0,0,0.39,0.3,,38
Denmark,33,208,DNK,0,0,2.6,3.02,,176
Dominican Republic,33,214,DOM,0,0,1.98,2.11,,233
Ecuador,33,218,ECU,0,0,1.16,1.24,,224
El Salvador,33,222,SLV,0,0,0.88,1.01,,66
Equatorial Guinea,33,226,GNQ,0,0,0.3,0.33,,5
Ethiopia,33,231,ETH,0,0,0.65,0.64,,770
Eritrea,33,232,ERI,0,0,0.65,0.6,,22
Estonia,33,233,EST,0,0,2.42,2.72,,36
Fiji,33,242,FJI,0,0,1.55,1.65,,15
Finland,33,246,FIN,0,0,2.69,3.13,,174
France (metropolitan),33,250,FRA,0,0,2.78,2.98,,1952
French Guyana,33,254,GUF,0,0,0.36,0.32,,1
French Polynesia,33,258,PYF,0,0,0,0,,0
Djibouti,33,262,DJI,0,0,0.29,0.3,,3
Gabon,33,266,GAB,0,0,0.31,0.3,,7
Georgia,33,268,GEO,0,0,2.32,2.65,,105
The Republic of the Gambia,33,270,GMB,0,0,0.16,0.2,,5
Gaza Strip and West Bank,33,275,PSE,0,0,2.04,2.02,,108
Germany,33,276,DEU,0,0,2.14,2.88,,2419
Ghana,33,288,GHA,0,0,0.61,0.54,,174
Greece,33,300,GRC,0,0,1.84,2.06,,213
"France, Guadeloupe",33,312,GLP,0,0,0.58,0.5,,2
Guam,33,316,GUM,0,0,0,0,,0
Guatemala,33,320,GTM,0,0,0.88,0.8,,148
Guinea,33,324,GIN,0,0,0.58,0.52,,72
Guyana,33,328,GUY,0,0,0,0,,0
Haiti,33,332,HTI,0,0,0.82,0.73,,85
Honduras,33,340,HND,0,0,1.89,1.87,,191
Hungary,33,348,HUN,0,0,2.48,2.49,,239
Iceland,33,352,ISL,0,0,2.6,2.9,,10
India,33,356,IND,0,0,0.67,0.68,,9611
Indonesia,33,360,IDN,0,0,0.44,0.46,,1294
"Iran, Islamic Republic of",33,364,IRN,0,0,1.88,1.95,,1679
Iraq,33,368,IRQ,0,0,2.46,2.12,,894
Ireland,33,372,IRL,0,0,3.16,3.65,,183
Israel,33,376,ISR,0,0,2.76,2.85,,254
Italy,33,380,ITA,0,0,3.48,3.63,,2190
"Côte d'Ivoire",33,384,CIV,0,0,0.56,0.45,,126
Jamaica,33,388,JAM,0,0,0.55,0.64,,19
Japan,33,392,JPN,0,0,0.92,1.47,,1847
