Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,5,4,AFG,0,0,0.64,0.35,,141
Albania,5,8,ALB,0,0,0.3,0.63,,18
Algeria,5,12,DZA,0,0,0.17,0.17,,77
Angola,5,24,AGO,0,0,0.05,0.01,,5
Azerbaijan,5,31,AZE,0,0,0.26,0.36,,37
Argentina,5,32,ARG,0,0,0.15,0.19,,86
Australia,5,36,AUS,0,0,0.47,0.88,,230
Austria,5,40,AUT,0,0,0.84,1.69,,153
Bahamas,5,44,BHS,0,0,0,0,,0
Bahrain,5,48,BHR,0,0,0,0,,0
Bangladesh,5,50,BGD,0,0,5.48,5.06,,8491
Armenia,5,51,ARM,0,0,0.22,0.37,,11
Barbados,5,52,BRB,0,0,1.42,2.78,,8
Belgium,5,56,BEL,0,0,1.1,2.2,,257
Bhutan,5,64,BTN,0,0,1.98,1.78,,14
Bolivia,5,68,BOL,0,0,0,0,,0
Bosnia Herzegovina,5,70,BIH,0,0,0.78,1.48,,48
Botswana,5,72,BWA,0,0,0.47,0.33,,8
Brazil,5,76,BRA,0,0,0.52,0.68,,1474
Belize,5,84,BLZ,0,0,0,0,,0
Solomon Islands,5,90,SLB,0,0,0,0,,0
Brunei Darussalam,5,96,BRN,0,0,0,0,,0
Bulgaria,5,100,BGR,0,0,0.69,1.31,,90
Myanmar,5,104,MMR,0,0,2.34,2.48,,1368
Burundi,5,108,BDI,0,0,0.3,0.12,,15
Belarus,5,112,BLR,0,0,2.43,4.03,,380
Cambodia,5,116,KHM,0,0,0.67,0.52,,90
Cameroon,5,120,CMR,0,0,0.94,0.55,,153
Canada,5,124,CAN,0,0,0.29,0.63,,240
Cape Verde,5,132,CPV,0,0,0.66,0.53,,3
Central African Republic,5,140,CAF,0,0,0,0,,0
Sri Lanka,5,144,LKA,0,0,1.36,2.01,,433
Chad,5,148,TCD,0,0,0.16,0.06,,10
Chile,5,152,CHL,0,0,0.19,0.33,,64
China,5,160,CHN,0,0,0.39,0.68,,9549
Colombia,5,170,COL,0,0,0.18,0.24,,126
Comoros,5,174,COM,0,0,0,0,,0
"Congo, Republic of",5,178,COG,0,0,0,0,,0
"Congo, Democratic Republic of",5,180,COD,0,0,0.22,0.1,,100
Costa Rica,5,188,CRI,0,0,0.23,0.42,,22
Croatia,5,191,HRV,0,0,1.41,2.86,,116
Cuba,5,192,CUB,0,0,0.82,1.59,,180
Cyprus,5,196,CYP,0,0,0.11,0.16,,2
Czechia,5,203,CZE,0,0,0.73,1.4,,150
Benin,5,204,BEN,0,0,0.1,0.05,,7
Denmark,5,208,DNK,0,0,0.98,2.06,,120
Dominican Republic,5,214,DOM,0,0,0.26,0.25,,28
Ecuador,5,218,ECU,0,0,0.08,0.09,,17
El Salvador,5,222,SLV,0,0,0.05,0.08,,5
Equatorial Guinea,5,226,GNQ,0,0,0,0,,0
Ethiopia,5,231,ETH,0,0,0.09,0.05,,66
Eritrea,5,232,ERI,0,0,0,0,,0
Estonia,5,233,EST,0,0,1.49,2.72,,36
Fiji,5,242,FJI,0,0,0,0,,0
Finland,5,246,FIN,0,0,0.32,0.72,,40
France (metropolitan),5,250,FRA,0,0,2,3.64,,2388
French Guyana,5,254,GUF,0,0,0,0,,0
French Polynesia,5,258,PYF,0,0,1.33,1.76,,5
Djibouti,5,262,DJI,0,0,0,0,,0
Gabon,5,266,GAB,0,0,0.15,0.09,,2
Georgia,5,268,GEO,0,0,1.03,1.69,,67
The Republic of the Gambia,5,270,GMB,0,0,0,0,,0
Gaza Strip and West Bank,5,275,PSE,0,0,0,0,,0
Germany,5,276,DEU,0,0,1.01,2.25,,1885
Ghana,5,288,GHA,0,0,0.14,0.07,,24
Greece,5,300,GRC,0,0,0.1,0.22,,23
"France, Guadeloupe",5,312,GLP,0,0,1.36,2.5,,10
Guam,5,316,GUM,0,0,0,0,,0
Guatemala,5,320,GTM,0,0,0.04,0.03,,5
Guinea,5,324,GIN,0,0,0.09,0.05,,7
