Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,29,4,AFG,0,0,2.42,1.4,,571
Albania,29,8,ALB,0,0,3.51,6.24,,179
Algeria,29,12,DZA,0,0,1.63,1.61,,729
Angola,29,24,AGO,0,0,1.88,1.62,,566
Azerbaijan,29,31,AZE,0,0,2.76,3.2,,330
Argentina,29,32,ARG,0,0,8.14,10.67,,4908
Australia,29,36,AUS,0,0,9.53,16.14,,4208
Austria,29,40,AUT,0,0,7.77,15.74,,1427
Bahamas,29,44,BHS,0,0,1.25,1.5,,6
Bahrain,29,48,BHR,0,0,2.27,1.79,,32
Bangladesh,29,50,BGD,0,0,0.95,0.86,,1440
Armenia,29,51,ARM,0,0,4.43,7.03,,209
Barbados,29,52,BRB,0,0,5.14,7.99,,23
Belgium,29,56,BEL,0,0,8.15,16.49,,1924
Bhutan,29,64,BTN,0,0,0.32,0.25,,2
Bolivia,29,68,BOL,0,0,3.02,3.25,,390
Bosnia Herzegovina,29,70,BIH,0,0,5.34,10.37,,337
Botswana,29,72,BWA,0,0,0.95,0.78,,19
Brazil,29,76,BRA,0,0,3.88,5.15,,11090
Belize,29,84,BLZ,0,0,1.64,1.21,,5
Solomon Islands,29,90,SLB,0,0,0.45,0.42,,3
Brunei Darussalam,29,96,BRN,0,0,3.97,4.49,,20
Bulgaria,29,100,BGR,0,0,5.96,11.54,,790
Myanmar,29,104,MMR,0,0,1.03,1,,555
Burundi,29,108,BDI,0,0,1.2,1.01,,128
Belarus,29,112,BLR,0,0,14.14,24.13,,2276
Cambodia,29,116,KHM,0,0,1.26,1.15,,197
Cameroon,29,120,CMR,0,0,0.84,0.63,,176
Canada,29,124,CAN,0,0,10.85,20.8,,7983
Cape Verde,29,132,CPV,0,0,1.16,1.06,,6
Central African Republic,29,140,CAF,0,0,1.07,0.78,,39
Sri Lanka,29,144,LKA,0,0,1.18,1.69,,365
Chad,29,148,TCD,0,0,1.61,1.06,,184
Chile,29,152,CHL,0,0,7.59,11.6,,2233
China,29,160,CHN,0,0,3.13,5.22,,73656
