Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,36,4,AFG,0,0,3.31,2.89,,1178
Albania,36,8,ALB,0,0,7.42,10.08,,289
Algeria,36,12,DZA,0,0,3.8,3.82,,1731
Angola,36,24,AGO,0,0,1.98,1.49,,523
Azerbaijan,36,31,AZE,0,0,5.28,5.19,,535
Argentina,36,32,ARG,0,0,5.29,6.52,,2998
Australia,36,36,AUS,0,0,11.72,20.48,,5338
Austria,36,40,AUT,0,0,7.41,13.43,,1218
Bahamas,36,44,BHS,0,0,5.84,6.24,,25
Bahrain,36,48,BHR,0,0,5.18,3.81,,68
Bangladesh,36,50,BGD,0,0,1.81,1.76,,2948
Armenia,36,51,ARM,0,0,4.38,5.69,,169
Barbados,36,52,BRB,0,0,7.02,10.76,,31
Belgium,36,56,BEL,0,0,10.45,19.04,,2222
Bhutan,36,64,BTN,0,0,2.64,2.54,,20
Bolivia,36,68,BOL,0,0,4.88,5.16,,619
Bosnia Herzegovina,36,70,BIH,0,0,4.86,8.8,,286
Botswana,36,72,BWA,0,0,1.51,1.35,,33
Brazil,36,76,BRA,0,0,4.72,5.51,,11859
Belize,36,84,BLZ,0,0,3.15,2.91,,12
Solomon Islands,36,90,SLB,0,0,3.41,3.33,,24
Brunei Darussalam,36,96,BRN,0,0,5.9,5.84,,26
Bulgaria,36,100,BGR,0,0,5.6,9.34,,639
Myanmar,36,104,MMR,0,0,3.57,3.44,,1898
Burundi,36,108,BDI,0,0,2.24,1.54,,194
Belarus,36,112,BLR,0,0,8.23,12.92,,1219
Cambodia,36,116,KHM,0,0,4.71,4.21,,722
Cameroon,36,120,CMR,0,0,1.84,1.3,,362
Canada,36,124,CAN,0,0,11.69,22.15,,8503
Cape Verde,36,132,CPV,0,0,1.55,1.41,,8
Central African Republic,36,140,CAF,0,0,2.9,1.81,,91
Sri Lanka,36,144,LKA,0,0,3.89,4.64,,1001
Chad,36,148,TCD,0,0,0.69,0.37,,64
Chile,36,152,CHL,0,0,5.96,7.44,,1432
China,36,160,CHN,0,0,4.54,5.8,,81946
Colombia,36,170,COL,0,0,6.07,6.6,,3399
Comoros,36,174,COM,0,0,1.18,0.99,,9
"Congo, Republic of",36,178,COG,0,0,2.39,1.79,,104
"Congo, Democratic Republic of",36,180,COD,0,0,2.2,1.52,,1448
Costa Rica,36,188,CRI,0,0,6.13,7.18,,372
Croatia,36,191,HRV,0,0,8.81,17,,690
Cuba,36,192,CUB,0,0,6,8.96,,1013
Cyprus,36,196,CYP,0,0,10.73,18.72,,229
Czechia,36,203,CZE,0,0,7.44,15.49,,1663
Benin,36,204,BEN,0,0,2.97,2.21,,282
Denmark,36,208,DNK,0,0,10.11,19.98,,1166
Dominican Republic,36,214,DOM,0,0,5.52,5.83,,645
Ecuador,36,218,ECU,0,0,6.53,6.74,,1220
El Salvador,36,222,SLV,0,0,7.72,8.59,,563
Equatorial Guinea,36,226,GNQ,0,0,1.45,1.4,,21
Ethiopia,36,231,ETH,0,0,4.99,3.91,,4721
Eritrea,36,232,ERI,0,0,4.48,3.47,,127
Estonia,36,233,EST,0,0,9.55,17.55,,232
Fiji,36,242,FJI,0,0,6.99,7.04,,64
Finland,36,246,FIN,0,0,7.68,14.69,,816
France (metropolitan),36,250,FRA,0,0,10.05,20.62,,13525
French Guyana,36,254,GUF,0,0,6.94,6.68,,21
French Polynesia,36,258,PYF,0,0,4.79,5.98,,17
Djibouti,36,262,DJI,0,0,4.34,3.84,,39
Gabon,36,266,GAB,0,0,1.33,1.24,,29
Georgia,36,268,GEO,0,0,5.08,7.94,,315
The Republic of the Gambia,36,270,GMB,0,0,0.89,0.82,,21
Gaza Strip and West Bank,36,275,PSE,0,0,6.1,4.53,,242
Germany,36,276,DEU,0,0,7.38,18.01,,15108
Ghana,36,288,GHA,0,0,1.66,1.47,,475
Greece,36,300,GRC,0,0,8.78,18.79,,1938
"France, Guadeloupe",36,312,GLP,0,0,5.81,10.26,,41
Guam,36,316,GUM,0,0,2.31,2.91,,5
Guatemala,36,320,GTM,0,0,6.1,5.63,,1046
Guinea,36,324,GIN,0,0,0.95,0.61,,84
Guyana,36,328,GUY,0,0,3.97,3.9,,31
Haiti,36,332,HTI,0,0,4.38,3.96,,462
Honduras,36,340,HND,0,0,7.08,6.61,,676
Hungary,36,348,HUN,0,0,8.01,14.44,,1387
Iceland,36,352,ISL,0,0,7,11,,38
India,36,356,IND,0,0,3.61,3.55,,49883
Indonesia,36,360,IDN,0,0,5.16,5,,13959
"Iran, Islamic Republic of",36,364,IRN,0,0,7.35,7.54,,6485
Iraq,36,368,IRQ,0,0,6.86,5.36,,2258
Ireland,36,372,IRL,0,0,7.4,11.31,,568
Israel,36,376,ISR,0,0,7.59,10.61,,947
