Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,11,4,AFG,0,0,4.6,2.21,,900
Albania,11,8,ALB,0,0,3.24,6.31,,181
Algeria,11,12,DZA,0,0,1.65,1.66,,755
Angola,11,24,AGO,0,0,6.56,3.25,,1137
Azerbaijan,11,31,AZE,0,0,5.44,6.46,,665
Argentina,11,32,ARG,0,0,3.74,5.44,,2504
Australia,11,36,AUS,0,0,7.18,12.79,,3333
Austria,11,40,AUT,0,0,4.85,11.82,,1072
Bahamas,11,44,BHS,0,0,4.12,5.24,,21
Bahrain,11,48,BHR,0,0,2.7,1.85,,33
Bangladesh,11,50,BGD,0,0,2.1,1.92,,3228
Armenia,11,51,ARM,0,0,10.65,18.14,,539
Barbados,11,52,BRB,0,0,2.38,5.21,,15
Belgium,11,56,BEL,0,0,4.79,11.4,,1330
Bhutan,11,64,BTN,0,0,4.52,4.19,,33
Bolivia,11,68,BOL,0,0,6.74,7.37,,884
Bosnia Herzegovina,11,70,BIH,0,0,6.59,15.14,,492
Botswana,11,72,BWA,0,0,1.56,1.19,,29
Brazil,11,76,BRA,0,0,4.49,6.31,,13599
Belize,11,84,BLZ,0,0,7.01,5.82,,24
Solomon Islands,11,90,SLB,0,0,10.93,7.21,,52
Brunei Darussalam,11,96,BRN,0,0,8.74,8.98,,40
Bulgaria,11,100,BGR,0,0,4.41,10.42,,713
Myanmar,11,104,MMR,0,0,10.68,10.99,,6072
Burundi,11,108,BDI,0,0,5.81,2.75,,347
Belarus,11,112,BLR,0,0,3.44,6.43,,607
Cambodia,11,116,KHM,0,0,25.07,20.37,,3497
Cameroon,11,120,CMR,0,0,5.8,3.48,,972
Canada,11,124,CAN,0,0,5.87,12.96,,4974
Cape Verde,11,132,CPV,0,0,1.1,1.06,,6
Central African Republic,11,140,CAF,0,0,6.38,3.41,,171
Sri Lanka,11,144,LKA,0,0,1.19,1.86,,402
