Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,16,4,AFG,0,0,0.49,0.25,,103
Albania,16,8,ALB,0,0,2.12,3.17,,91
Algeria,16,12,DZA,0,0,0.66,0.67,,306
Angola,16,24,AGO,0,0,1.26,0.55,,191
Azerbaijan,16,31,AZE,0,0,0.86,1.07,,110
Argentina,16,32,ARG,0,0,2.59,3.48,,1603
Australia,16,36,AUS,0,0,36.98,64.52,,16819
Austria,16,40,AUT,0,0,13.16,24.43,,2215
Bahamas,16,44,BHS,0,0,0.53,0.75,,3
Bahrain,16,48,BHR,0,0,0.16,0.11,,2
Bangladesh,16,50,BGD,0,0,0.28,0.26,,430
Armenia,16,51,ARM,0,0,1.81,2.66,,79
Barbados,16,52,BRB,0,0,0,0,,0
Belgium,16,56,BEL,0,0,21.1,35.68,,4163
Bhutan,16,64,BTN,0,0,0,0,,0
Bolivia,16,68,BOL,0,0,2.55,2.56,,307
Bosnia Herzegovina,16,70,BIH,0,0,5.77,10.34,,336
Botswana,16,72,BWA,0,0,1.74,1.23,,30
Brazil,16,76,BRA,0,0,3.27,4.49,,9676
Belize,16,84,BLZ,0,0,3.47,2.91,,12
Solomon Islands,16,90,SLB,0,0,0.32,0.14,,1
Brunei Darussalam,16,96,BRN,0,0,1.62,1.8,,8
Bulgaria,16,100,BGR,0,0,3.39,6.79,,465
Myanmar,16,104,MMR,0,0,0.28,0.27,,147
Burundi,16,108,BDI,0,0,0.99,0.4,,51
Belarus,16,112,BLR,0,0,6.88,11.69,,1103
Cambodia,16,116,KHM,0,0,0.51,0.41,,70
Cameroon,16,120,CMR,0,0,1.27,0.55,,153
Canada,16,124,CAN,0,0,14.47,29.65,,11383
Cape Verde,16,132,CPV,0,0,0.62,0.53,,3
Central African Republic,16,140,CAF,0,0,1.03,0.46,,23
Sri Lanka,16,144,LKA,0,0,0.33,0.46,,100
Chad,16,148,TCD,0,0,0.73,0.33,,58
Chile,16,152,CHL,0,0,3.29,5,,962
China,16,160,CHN,0,0,0.37,0.62,,8789
Colombia,16,170,COL,0,0,2.64,3.44,,1773
Comoros,16,174,COM,0,0,0.48,0.22,,2
"Congo, Republic of",16,178,COG,0,0,1.62,0.76,,44
"Congo, Democratic Republic of",16,180,COD,0,0,1.32,0.62,,592
Costa Rica,16,188,CRI,0,0,1.79,2.59,,134
Croatia,16,191,HRV,0,0,11.85,23.8,,966
Cuba,16,192,CUB,0,0,0.91,1.78,,201
Cyprus,16,196,CYP,0,0,5.44,9.15,,112
Czechia,16,203,CZE,0,0,14.68,27.31,,2932
Benin,16,204,BEN,0,0,0.45,0.2,,25
Denmark,16,208,DNK,0,0,31.06,53.88,,3144
Dominican Republic,16,214,DOM,0,0,0.49,0.53,,59
Ecuador,16,218,ECU,0,0,2.46,2.71,,491
El Salvador,16,222,SLV,0,0,0.44,0.53,,35
Equatorial Guinea,16,226,GNQ,0,0,0.45,0.2,,3
Ethiopia,16,231,ETH,0,0,0.35,0.21,,255
Eritrea,16,232,ERI,0,0,0.36,0.22,,8
Estonia,16,233,EST,0,0,11.15,20.27,,268
Fiji,16,242,FJI,0,0,0.92,0.77,,7
Finland,16,246,FIN,0,0,20.5,40.7,,2261
France (metropolitan),16,250,FRA,0,0,13.47,23.98,,15729
French Guyana,16,254,GUF,0,0,2.48,2.23,,7
French Polynesia,16,258,PYF,0,0,5.05,6.69,,19
Djibouti,16,262,DJI,0,0,0,0,,0
Gabon,16,266,GAB,0,0,0.74,0.43,,10
Georgia,16,268,GEO,0,0,4.51,7.61,,302
The Republic of the Gambia,16,270,GMB,0,0,0.07,0.04,,1
Gaza Strip and West Bank,16,275,PSE,0,0,0.64,0.45,,24
Germany,16,276,DEU,0,0,12.06,26.2,,21976
Ghana,16,288,GHA,0,0,0.13,0.09,,28
Greece,16,300,GRC,0,0,7.1,14.13,,1458
"France, Guadeloupe",16,312,GLP,0,0,1.65,3,,12
Guam,16,316,GUM,0,0,0,0,,0
Guatemala,16,320,GTM,0,0,0.48,0.37,,69
Guinea,16,324,GIN,0,0,0.98,0.45,,62
Guyana,16,328,GUY,0,0,0,0,,0
Haiti,16,332,HTI,0,0,0.26,0.22,,26
Honduras,16,340,HND,0,0,0.86,0.69,,71
Hungary,16,348,HUN,0,0,8.03,14.82,,1424
Iceland,16,352,ISL,0,0,9.95,15.63,,54
India,16,356,IND,0,0,0.26,0.26,,3689
Indonesia,16,360,IDN,0,0,0.6,0.61,,1716
"Iran, Islamic Republic of",16,364,IRN,0,0,0.78,0.83,,716
Iraq,16,368,IRQ,0,0,0.42,0.26,,111
Ireland,16,372,IRL,0,0,18.14,31.21,,1567
Israel,16,376,ISR,0,0,10.81,14.76,,1317
Italy,16,380,ITA,0,0,12.66,22.85,,13769
