Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,18,4,AFG,0,0,0.07,0.04,,16
Albania,18,8,ALB,0,0,0.64,0.94,,27
Algeria,18,12,DZA,0,0,0.15,0.15,,69
Angola,18,24,AGO,0,0,0,0,,0
Azerbaijan,18,31,AZE,0,0,0.23,0.26,,27
Argentina,18,32,ARG,0,0,0.37,0.54,,248
Australia,18,36,AUS,0,0,1.66,3.69,,961
Austria,18,40,AUT,0,0,0.55,1.32,,120
Bahamas,18,44,BHS,0,0,0,0,,0
Bahrain,18,48,BHR,0,0,0.76,0.34,,6
Bangladesh,18,50,BGD,0,0,0.01,0.01,,9
Armenia,18,51,ARM,0,0,0.47,0.77,,23
Barbados,18,52,BRB,0,0,0,0,,0
Belgium,18,56,BEL,0,0,1.12,2.86,,334
Bhutan,18,64,BTN,0,0,0,0,,0
Bolivia,18,68,BOL,0,0,0.11,0.1,,12
Bosnia Herzegovina,18,70,BIH,0,0,0.18,0.4,,13
Botswana,18,72,BWA,0,0,0,0,,0
Brazil,18,76,BRA,0,0,0.06,0.08,,167
Belize,18,84,BLZ,0,0,0,0,,0
Solomon Islands,18,90,SLB,0,0,0,0,,0
Brunei Darussalam,18,96,BRN,0,0,0,0,,0
Bulgaria,18,100,BGR,0,0,0.44,0.85,,58
Myanmar,18,104,MMR,0,0,0.02,0.02,,12
Burundi,18,108,BDI,0,0,0.07,0.04,,5
Belarus,18,112,BLR,0,0,0.25,0.48,,45
Cambodia,18,116,KHM,0,0,0.01,0.01,,2
Cameroon,18,120,CMR,0,0,0.05,0.03,,8
Canada,18,124,CAN,0,0,0.66,1.87,,719
Cape Verde,18,132,CPV,0,0,0,0,,0
Central African Republic,18,140,CAF,0,0,0,0,,0
Sri Lanka,18,144,LKA,0,0,0.02,0.03,,6
Chad,18,148,TCD,0,0,0.26,0.09,,16
Chile,18,152,CHL,0,0,0.25,0.42,,80
China,18,160,CHN,0,0,0.1,0.17,,2381
Colombia,18,170,COL,0,0,0.21,0.27,,139
Comoros,18,174,COM,0,0,0,0,,0
"Congo, Republic of",18,178,COG,0,0,0,0,,0
"Congo, Democratic Republic of",18,180,COD,0,0,0.05,0.03,,26
Costa Rica,18,188,CRI,0,0,0.05,0.08,,4
Croatia,18,191,HRV,0,0,0.99,2.54,,103
Cuba,18,192,CUB,0,0,0.07,0.12,,14
Cyprus,18,196,CYP,0,0,0.55,1.14,,14
Czechia,18,203,CZE,0,0,0.24,0.6,,64
Benin,18,204,BEN,0,0,0,0,,0
