Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,35,4,AFG,0,0,0.62,0.3,,123
Albania,35,8,ALB,0,0,1.49,2.58,,74
Algeria,35,12,DZA,0,0,1.71,1.7,,770
Angola,35,24,AGO,0,0,0.91,0.38,,133
Azerbaijan,35,31,AZE,0,0,1.18,1.42,,146
Argentina,35,32,ARG,0,0,1.65,2.3,,1059
Australia,35,36,AUS,0,0,4.14,8.63,,2250
Austria,35,40,AUT,0,0,2.36,5.93,,538
Bahamas,35,44,BHS,0,0,4.6,5.74,,23
Bahrain,35,48,BHR,0,0,1.18,0.84,,15
Bangladesh,35,50,BGD,0,0,0.5,0.46,,780
Armenia,35,51,ARM,0,0,0.78,1.21,,36
Barbados,35,52,BRB,0,0,6.13,11.46,,33
Belgium,35,56,BEL,0,0,3.72,8.68,,1013
Bhutan,35,64,BTN,0,0,0.32,0.25,,2
Bolivia,35,68,BOL,0,0,0.42,0.39,,47
Bosnia Herzegovina,35,70,BIH,0,0,1.18,2.62,,85
Botswana,35,72,BWA,0,0,1.14,0.82,,20
Brazil,35,76,BRA,0,0,1.92,2.67,,5757
Belize,35,84,BLZ,0,0,0,0,,0
Solomon Islands,35,90,SLB,0,0,1.17,0.83,,6
Brunei Darussalam,35,96,BRN,0,0,0.7,0.67,,3
Bulgaria,35,100,BGR,0,0,1.39,3.04,,208
Myanmar,35,104,MMR,0,0,0.45,0.45,,246
Burundi,35,108,BDI,0,0,0.83,0.36,,45
Belarus,35,112,BLR,0,0,2.12,4.08,,385
Cambodia,35,116,KHM,0,0,1.03,0.79,,135
Cameroon,35,120,CMR,0,0,0.78,0.38,,105
Canada,35,124,CAN,0,0,5.26,12.45,,4779
Cape Verde,35,132,CPV,0,0,1.3,1.23,,7
Central African Republic,35,140,CAF,0,0,1.17,0.56,,28
Sri Lanka,35,144,LKA,0,0,1.54,2.42,,523
Chad,35,148,TCD,0,0,0.49,0.22,,38
Chile,35,152,CHL,0,0,2.73,4.6,,885
China,35,160,CHN,0,0,1.21,2.15,,30300
