Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,4,4,AFG,0,0,0.42,0.31,,127
Albania,4,8,ALB,0,0,0.9,1.47,,42
Algeria,4,12,DZA,0,0,3.49,3.55,,1608
Angola,4,24,AGO,0,0,0.3,0.23,,81
Azerbaijan,4,31,AZE,0,0,0.49,0.54,,56
Argentina,4,32,ARG,0,0,0.26,0.33,,153
Australia,4,36,AUS,0,0,0.49,0.7,,182
Austria,4,40,AUT,0,0,0.31,0.53,,48
Bahamas,4,44,BHS,0,0,0,0,,0
Bahrain,4,48,BHR,0,0,0.53,0.39,,7
Bangladesh,4,50,BGD,0,0,0.61,0.58,,970
Armenia,4,51,ARM,0,0,0.33,0.44,,13
Barbados,4,52,BRB,0,0,0.61,0.69,,2
Belgium,4,56,BEL,0,0,0.43,0.6,,70
Bhutan,4,64,BTN,0,0,1.7,1.52,,12
Bolivia,4,68,BOL,0,0,0.04,0.03,,4
Bosnia Herzegovina,4,70,BIH,0,0,0.19,0.34,,11
Botswana,4,72,BWA,0,0,0.51,0.45,,11
Brazil,4,76,BRA,0,0,0.34,0.42,,909
Belize,4,84,BLZ,0,0,0,0,,0
Solomon Islands,4,90,SLB,0,0,0.4,0.28,,2
Brunei Darussalam,4,96,BRN,0,0,6.35,7.18,,32
Bulgaria,4,100,BGR,0,0,0.84,1.4,,96
Myanmar,4,104,MMR,0,0,3.46,3.8,,2097
Burundi,4,108,BDI,0,0,1.07,0.57,,72
Belarus,4,112,BLR,0,0,0.19,0.32,,30
Cambodia,4,116,KHM,0,0,2.1,1.81,,310
Cameroon,4,120,CMR,0,0,2.1,1.3,,364
Canada,4,124,CAN,0,0,0.62,0.97,,372
Cape Verde,4,132,CPV,0,0,0,0,,0
Central African Republic,4,140,CAF,0,0,1.39,0.8,,40
Sri Lanka,4,144,LKA,0,0,0.22,0.32,,69
Chad,4,148,TCD,0,0,0.74,0.28,,49
Chile,4,152,CHL,0,0,0.09,0.14,,27
China,4,160,CHN,0,0,2.36,3.61,,51010
Colombia,4,170,COL,0,0,0.28,0.34,,176
Comoros,4,174,COM,0,0,0,0,,0
"Congo, Republic of",4,178,COG,0,0,0.41,0.26,,15
"Congo, Democratic Republic of",4,180,COD,0,0,0.97,0.56,,534
Costa Rica,4,188,CRI,0,0,0.25,0.29,,15
Croatia,4,191,HRV,0,0,0.29,0.52,,21
Cuba,4,192,CUB,0,0,0.79,1.46,,165
Cyprus,4,196,CYP,0,0,0.32,0.41,,5
Czechia,4,203,CZE,0,0,0.29,0.48,,51
Benin,4,204,BEN,0,0,0.89,0.52,,67
Denmark,4,208,DNK,0,0,0.22,0.36,,21
Dominican Republic,4,214,DOM,0,0,0.49,0.5,,55
Ecuador,4,218,ECU,0,0,0.16,0.18,,33
El Salvador,4,222,SLV,0,0,0.06,0.08,,5
Equatorial Guinea,4,226,GNQ,0,0,0.81,0.53,,8
Ethiopia,4,231,ETH,0,0,0.98,0.71,,858
Eritrea,4,232,ERI,0,0,1.17,0.82,,30
Estonia,4,233,EST,0,0,0.14,0.3,,4
Fiji,4,242,FJI,0,0,0.29,0.33,,3
Finland,4,246,FIN,0,0,0.19,0.32,,18
France (metropolitan),4,250,FRA,0,0,0.37,0.51,,337
French Guyana,4,254,GUF,0,0,0.31,0.32,,1
French Polynesia,4,258,PYF,0,0,1.28,1.76,,5
Djibouti,4,262,DJI,0,0,0.69,0.59,,6
Gabon,4,266,GAB,0,0,0.63,0.47,,11
Georgia,4,268,GEO,0,0,0.56,0.88,,35
The Republic of the Gambia,4,270,GMB,0,0,0,0,,0
Gaza Strip and West Bank,4,275,PSE,0,0,0.62,0.45,,24
Germany,4,276,DEU,0,0,0.31,0.51,,426
Ghana,4,288,GHA,0,0,0.74,0.67,,217
Greece,4,300,GRC,0,0,0.96,1.83,,189
"France, Guadeloupe",4,312,GLP,0,0,0.14,0.25,,1
Guam,4,316,GUM,0,0,2.98,3.5,,6
Guatemala,4,320,GTM,0,0,0.1,0.08,,14
Guinea,4,324,GIN,0,0,0.1,0.06,,8
Guyana,4,328,GUY,0,0,0.12,0.13,,1
Haiti,4,332,HTI,0,0,0.35,0.29,,34
Honduras,4,340,HND,0,0,0.16,0.14,,14
Hungary,4,348,HUN,0,0,0.46,0.79,,76
Iceland,4,352,ISL,0,0,0,0,,0
India,4,356,IND,0,0,0.45,0.46,,6519
Indonesia,4,360,IDN,0,0,6.14,6.75,,18835
"Iran, Islamic Republic of",4,364,IRN,0,0,0.28,0.31,,263
Iraq,4,368,IRQ,0,0,0.58,0.42,,175
Ireland,4,372,IRL,0,0,0.36,0.64,,32
