Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,34,4,AFG,0,0,2.24,1.52,,618
Albania,34,8,ALB,0,0,2.3,3.45,,99
Algeria,34,12,DZA,0,0,4.86,4.91,,2226
Angola,34,24,AGO,0,0,2.8,2.26,,792
Azerbaijan,34,31,AZE,0,0,3.63,4.12,,424
Argentina,34,32,ARG,0,0,6.55,8.34,,3838
Australia,34,36,AUS,0,0,12.38,22.66,,5906
Austria,34,40,AUT,0,0,8.53,17.65,,1600
Bahamas,34,44,BHS,0,0,6.19,7.49,,30
Bahrain,34,48,BHR,0,0,7.15,5.1,,91
Bangladesh,34,50,BGD,0,0,1.96,1.84,,3096
Armenia,34,51,ARM,0,0,3.01,4.04,,120
Barbados,34,52,BRB,0,0,7.64,12.5,,36
Belgium,34,56,BEL,0,0,10.74,22.74,,2653
Bhutan,34,64,BTN,0,0,1.4,1.14,,9
Bolivia,34,68,BOL,0,0,2.5,2.46,,295
Bosnia Herzegovina,34,70,BIH,0,0,3.64,6.56,,213
Botswana,34,72,BWA,0,0,4.29,4.06,,99
Brazil,34,76,BRA,0,0,3.97,5.15,,11093
Belize,34,84,BLZ,0,0,2.24,1.94,,8
Solomon Islands,34,90,SLB,0,0,1.66,1.53,,11
Brunei Darussalam,34,96,BRN,0,0,9.2,9.88,,44
Bulgaria,34,100,BGR,0,0,3.97,7.19,,492
Myanmar,34,104,MMR,0,0,3.42,3.55,,1959
Burundi,34,108,BDI,0,0,4.53,2.99,,378
Belarus,34,112,BLR,0,0,6.4,10.85,,1023
Cambodia,34,116,KHM,0,0,4.29,3.72,,638
Cameroon,34,120,CMR,0,0,7.8,5.3,,1480
Canada,34,124,CAN,0,0,12.11,24.7,,9481
Cape Verde,34,132,CPV,0,0,2.31,2.11,,12
Central African Republic,34,140,CAF,0,0,4.63,2.69,,135
Sri Lanka,34,144,LKA,0,0,3.32,4.74,,1022
Chad,34,148,TCD,0,0,2.54,2,,349
Chile,34,152,CHL,0,0,5.33,8.15,,1569
China,34,160,CHN,0,0,3.53,5.73,,80829
Colombia,34,170,COL,0,0,6.02,7.5,,3864
Comoros,34,174,COM,0,0,4.24,3.42,,31
"Congo, Republic of",34,178,COG,0,0,1.2,0.86,,50
"Congo, Democratic Republic of",34,180,COD,0,0,3.13,2.04,,1939
Costa Rica,34,188,CRI,0,0,5.72,7.93,,411
Croatia,34,191,HRV,0,0,10.18,20.84,,846
Cuba,34,192,CUB,0,0,6.35,10.19,,1152
Cyprus,34,196,CYP,0,0,11.34,17.82,,218
Czechia,34,203,CZE,0,0,7.86,16.44,,1765
Benin,34,204,BEN,0,0,2.08,1.37,,175
Denmark,34,208,DNK,0,0,14,30.13,,1758
Dominican Republic,34,214,DOM,0,0,2.55,2.67,,295
Ecuador,34,218,ECU,0,0,7.43,8.08,,1463
El Salvador,34,222,SLV,0,0,2.5,2.81,,184
Equatorial Guinea,34,226,GNQ,0,0,5.08,3.74,,56
Ethiopia,34,231,ETH,0,0,4.11,2.95,,3568
Eritrea,34,232,ERI,0,0,4.94,3.58,,131
Estonia,34,233,EST,0,0,9.43,19.29,,255
Fiji,34,242,FJI,0,0,5.26,5.61,,51
Finland,34,246,FIN,0,0,11.37,27.04,,1502
France (metropolitan),34,250,FRA,0,0,11.3,25.88,,16972
French Guyana,34,254,GUF,0,0,7.68,7.32,,23
French Polynesia,34,258,PYF,0,0,6.89,9.15,,26
Djibouti,34,262,DJI,0,0,5.04,4.43,,45
Gabon,34,266,GAB,0,0,3.92,3.3,,77
Georgia,34,268,GEO,0,0,5,7.48,,297
The Republic of the Gambia,34,270,GMB,0,0,1.67,1.49,,38
Gaza Strip and West Bank,34,275,PSE,0,0,6.73,4.45,,238
Germany,34,276,DEU,0,0,8.95,22.63,,18980
Ghana,34,288,GHA,0,0,5.01,4.24,,1374
Greece,34,300,GRC,0,0,7.42,16.12,,1663
"France, Guadeloupe",34,312,GLP,0,0,5.65,10.76,,43
Guam,34,316,GUM,0,0,4.74,7,,12
Guatemala,34,320,GTM,0,0,2.48,1.94,,361
Guinea,34,324,GIN,0,0,2.61,2,,277
Guyana,34,328,GUY,0,0,5.89,5.92,,47
Haiti,34,332,HTI,0,0,4.37,3.84,,449
Honduras,34,340,HND,0,0,6.06,5.03,,514
Hungary,34,348,HUN,0,0,7.28,13.7,,1316
Iceland,34,352,ISL,0,0,10.18,19.11,,66
India,34,356,IND,0,0,2.78,2.82,,39736
Indonesia,34,360,IDN,0,0,5.49,5.79,,16175
"Iran, Islamic Republic of",34,364,IRN,0,0,3.98,4.25,,3655
Iraq,34,368,IRQ,0,0,6.59,4.58,,1930
Ireland,34,372,IRL,0,0,11.6,20.48,,1028
Israel,34,376,ISR,0,0,13.89,18.83,,1680
Italy,34,380,ITA,0,0,11.63,25.85,,15576
"Côte d'Ivoire",34,384,CIV,0,0,4.77,3.45,,958
Jamaica,34,388,JAM,0,0,6.89,7.97,,238
