Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,17,4,AFG,0,0,2.72,1.29,,525
Albania,17,8,ALB,0,0,5.28,11.06,,317
Algeria,17,12,DZA,0,0,2.99,3.1,,1407
Angola,17,24,AGO,0,0,2.28,1.49,,522
Azerbaijan,17,31,AZE,0,0,2.72,3.17,,327
Argentina,17,32,ARG,0,0,5.11,8.11,,3731
Australia,17,36,AUS,0,0,140.08,233.24,,60803
Austria,17,40,AUT,0,0,16.79,56.88,,5157
Bahamas,17,44,BHS,0,0,3.75,4.49,,18
Bahrain,17,48,BHR,0,0,0.69,0.56,,10
Bangladesh,17,50,BGD,0,0,0.74,0.69,,1163
Armenia,17,51,ARM,0,0,2.43,4.14,,123
Barbados,17,52,BRB,0,0,3.11,5.56,,16
Belgium,17,56,BEL,0,0,23.01,72.44,,8452
Bhutan,17,64,BTN,0,0,1.15,1.02,,8
Bolivia,17,68,BOL,0,0,5.04,6.4,,768
Bosnia Herzegovina,17,70,BIH,0,0,6.29,15.39,,500
Botswana,17,72,BWA,0,0,4.77,3.89,,95
Brazil,17,76,BRA,0,0,10.75,16.5,,35533
Belize,17,84,BLZ,0,0,9.26,8.25,,34
Solomon Islands,17,90,SLB,0,0,0.58,0.42,,3
Brunei Darussalam,17,96,BRN,0,0,5.06,5.16,,23
Bulgaria,17,100,BGR,0,0,6.49,19.39,,1327
Myanmar,17,104,MMR,0,0,2.82,2.82,,1560
Burundi,17,108,BDI,0,0,1.99,0.98,,124
Belarus,17,112,BLR,0,0,6.29,14.66,,1383
Cambodia,17,116,KHM,0,0,2.04,1.63,,279
Cameroon,17,120,CMR,0,0,1.92,1.09,,304
Canada,17,124,CAN,0,0,53.51,156.36,,60024
Cape Verde,17,132,CPV,0,0,2.55,2.11,,12
Central African Republic,17,140,CAF,0,0,1.23,0.68,,34
Sri Lanka,17,144,LKA,0,0,1.3,1.92,,414
Chad,17,148,TCD,0,0,0.31,0.25,,44
Chile,17,152,CHL,0,0,7.2,14.51,,2794
China,17,160,CHN,0,0,1.86,3.49,,49284
Colombia,17,170,COL,0,0,3.97,5.92,,3047
Comoros,17,174,COM,0,0,2.73,2.2,,20
"Congo, Republic of",17,178,COG,0,0,0.24,0.17,,10
"Congo, Democratic Republic of",17,180,COD,0,0,1.04,0.59,,563
Costa Rica,17,188,CRI,0,0,18.42,29.1,,1508
Croatia,17,191,HRV,0,0,7.36,31.95,,1297
Cuba,17,192,CUB,0,0,16.12,35.23,,3983
Cyprus,17,196,CYP,0,0,8.65,22.64,,277
Czechia,17,203,CZE,0,0,13.44,42.55,,4569
Benin,17,204,BEN,0,0,1.58,1.02,,131
Denmark,17,208,DNK,0,0,24.86,83.57,,4876
Dominican Republic,17,214,DOM,0,0,2.24,2.57,,284
Ecuador,17,218,ECU,0,0,5.64,7.04,,1275
El Salvador,17,222,SLV,0,0,2.22,3.04,,199
