Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,6,4,AFG,0,0,4.78,2.27,,925
Albania,6,8,ALB,0,0,1.32,2.69,,77
Algeria,6,12,DZA,0,0,0.61,0.63,,285
Angola,6,24,AGO,0,0,6.35,2.7,,944
Azerbaijan,6,31,AZE,0,0,7.98,9.39,,967
Argentina,6,32,ARG,0,0,3.12,4.66,,2142
Australia,6,36,AUS,0,0,3.23,6.73,,1755
Austria,6,40,AUT,0,0,2.53,5.45,,494
Bahamas,6,44,BHS,0,0,1.99,2.5,,10
Bahrain,6,48,BHR,0,0,1.2,0.67,,12
Bangladesh,6,50,BGD,0,0,15.95,15.03,,25232
Armenia,6,51,ARM,0,0,1.2,1.99,,59
Barbados,6,52,BRB,0,0,0.92,2.43,,7
Belgium,6,56,BEL,0,0,4.51,9.81,,1145
Bhutan,6,64,BTN,0,0,6.51,5.84,,46
Bolivia,6,68,BOL,0,0,1.4,1.39,,167
Bosnia Herzegovina,6,70,BIH,0,0,1.43,3.02,,98
Botswana,6,72,BWA,0,0,7.82,5.49,,134
Brazil,6,76,BRA,0,0,3.74,5.1,,10985
Belize,6,84,BLZ,0,0,0.97,0.73,,3
Solomon Islands,6,90,SLB,0,0,2.3,1.53,,11
Brunei Darussalam,6,96,BRN,0,0,1.36,1.35,,6
Bulgaria,6,100,BGR,0,0,1.58,3.3,,226
Myanmar,6,104,MMR,0,0,6.91,7.24,,4001
Burundi,6,108,BDI,0,0,8.75,3.63,,458
Belarus,6,112,BLR,0,0,3.48,6.19,,584
Cambodia,6,116,KHM,0,0,2.92,2.22,,382
Cameroon,6,120,CMR,0,0,1.27,0.59,,165
Canada,6,124,CAN,0,0,3.22,8.17,,3136
Cape Verde,6,132,CPV,0,0,3.76,3.35,,19
Central African Republic,6,140,CAF,0,0,1.34,0.66,,33
Sri Lanka,6,144,LKA,0,0,5.44,8.73,,1884
Chad,6,148,TCD,0,0,1.38,0.67,,117
Chile,6,152,CHL,0,0,2.2,4.38,,844
China,6,160,CHN,0,0,8.32,15.87,,224012
Colombia,6,170,COL,0,0,1.4,1.98,,1019
Comoros,6,174,COM,0,0,10.37,5.84,,53
"Congo, Republic of",6,178,COG,0,0,0.43,0.22,,13
"Congo, Democratic Republic of",6,180,COD,0,0,2.82,1.38,,1311
Costa Rica,6,188,CRI,0,0,0.81,1.37,,71
Croatia,6,191,HRV,0,0,2.32,5.05,,205
Cuba,6,192,CUB,0,0,4.35,8.63,,976
Cyprus,6,196,CYP,0,0,0.73,1.39,,17
Czechia,6,203,CZE,0,0,3.06,6.22,,668
Benin,6,204,BEN,0,0,3.26,1.72,,220
Denmark,6,208,DNK,0,0,4.3,10.44,,609
Dominican Republic,6,214,DOM,0,0,1.73,1.87,,207
Ecuador,6,218,ECU,0,0,0.87,1.06,,192
El Salvador,6,222,SLV,0,0,1.01,1.33,,87
Equatorial Guinea,6,226,GNQ,0,0,0.86,0.47,,7
Ethiopia,6,231,ETH,0,0,2.25,1.24,,1494
Eritrea,6,232,ERI,0,0,2.84,1.77,,65
Estonia,6,233,EST,0,0,3.46,7.04,,93
Fiji,6,242,FJI,0,0,2.02,1.87,,17
Finland,6,246,FIN,0,0,2.59,6.84,,380
France (metropolitan),6,250,FRA,0,0,3.57,7.54,,4942
French Guyana,6,254,GUF,0,0,1.82,1.59,,5
French Polynesia,6,258,PYF,0,0,3.03,4.22,,12
Djibouti,6,262,DJI,0,0,2.54,2.07,,21
Gabon,6,266,GAB,0,0,1.66,1.07,,25
Georgia,6,268,GEO,0,0,1.09,2.19,,87
The Republic of the Gambia,6,270,GMB,0,0,2.01,1.02,,26
Gaza Strip and West Bank,6,275,PSE,0,0,0.7,0.41,,22
Germany,6,276,DEU,0,0,3.53,8.71,,7310
Ghana,6,288,GHA,0,0,2.61,1.47,,476
Greece,6,300,GRC,0,0,0.93,2.44,,252
"France, Guadeloupe",6,312,GLP,0,0,3.77,7.5,,30
Guam,6,316,GUM,0,0,1.31,1.75,,3
Guatemala,6,320,GTM,0,0,1.01,0.81,,150
Guinea,6,324,GIN,0,0,0.55,0.28,,39
Guyana,6,328,GUY,0,0,0.79,0.88,,7
Haiti,6,332,HTI,0,0,2.17,1.76,,205
