Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,3,4,AFG,0,0,0.69,0.35,,143
Albania,3,8,ALB,0,0,0.4,0.8,,23
Algeria,3,12,DZA,0,0,0.19,0.2,,90
Angola,3,24,AGO,0,0,1.53,0.7,,245
Azerbaijan,3,31,AZE,0,0,0.32,0.37,,38
Argentina,3,32,ARG,0,0,0.75,0.95,,436
Australia,3,36,AUS,0,0,2.54,3.9,,1016
Austria,3,40,AUT,0,0,2,3.96,,359
Bahamas,3,44,BHS,0,0,0.45,0.5,,2
Bahrain,3,48,BHR,0,0,0.06,0.06,,1
Bangladesh,3,50,BGD,0,0,2.83,2.64,,4438
Armenia,3,51,ARM,0,0,0.12,0.2,,6
Barbados,3,52,BRB,0,0,1.28,2.43,,7
Belgium,3,56,BEL,0,0,2.36,4.51,,526
Bhutan,3,64,BTN,0,0,1.59,1.27,,10
Bolivia,3,68,BOL,0,0,0.74,0.69,,83
Bosnia Herzegovina,3,70,BIH,0,0,0.68,1.29,,42
Botswana,3,72,BWA,0,0,0.54,0.37,,9
Brazil,3,76,BRA,0,0,2.02,2.62,,5648
Belize,3,84,BLZ,0,0,0,0,,0
Solomon Islands,3,90,SLB,0,0,0.19,0.14,,1
Brunei Darussalam,3,96,BRN,0,0,0,0,,0
Bulgaria,3,100,BGR,0,0,0.9,1.68,,115
Myanmar,3,104,MMR,0,0,1.17,1.22,,673
Burundi,3,108,BDI,0,0,0.45,0.2,,25
Belarus,3,112,BLR,0,0,3.09,5.07,,478
Cambodia,3,116,KHM,0,0,0.79,0.71,,122
Cameroon,3,120,CMR,0,0,1.18,0.63,,177
Canada,3,124,CAN,0,0,2.17,3.85,,1479
Cape Verde,3,132,CPV,0,0,0.17,0.18,,1
Central African Republic,3,140,CAF,0,0,0.28,0.16,,8
Sri Lanka,3,144,LKA,0,0,1.49,2.17,,469
Chad,3,148,TCD,0,0,0.05,0.07,,12
Chile,3,152,CHL,0,0,0.41,0.64,,124
China,3,160,CHN,0,0,0.33,0.56,,7941
Colombia,3,170,COL,0,0,0.88,1.1,,569
Comoros,3,174,COM,0,0,0.33,0.22,,2
"Congo, Republic of",3,178,COG,0,0,0.11,0.07,,4
"Congo, Democratic Republic of",3,180,COD,0,0,0.22,0.11,,106
Costa Rica,3,188,CRI,0,0,0.48,0.69,,36
Croatia,3,191,HRV,0,0,2.06,3.92,,159
Cuba,3,192,CUB,0,0,3.37,6.24,,706
Cyprus,3,196,CYP,0,0,0.48,0.65,,8
Czechia,3,203,CZE,0,0,2.89,5.42,,582
