Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,13,4,AFG,0,0,1.91,0.91,,369
Albania,13,8,ALB,0,0,5.25,10.54,,302
Algeria,13,12,DZA,0,0,2.56,2.58,,1168
Angola,13,24,AGO,0,0,1.6,0.81,,283
Azerbaijan,13,31,AZE,0,0,2.98,3.52,,363
Argentina,13,32,ARG,0,0,7.9,12.07,,5554
Australia,13,36,AUS,0,0,6.96,15.3,,3988
Austria,13,40,AUT,0,0,9.36,23.81,,2159
Bahamas,13,44,BHS,0,0,3.13,3.99,,16
Bahrain,13,48,BHR,0,0,2.8,1.57,,28
Bangladesh,13,50,BGD,0,0,0.88,0.82,,1377
Armenia,13,51,ARM,0,0,9.25,15.75,,468
Barbados,13,52,BRB,0,0,6.11,13.54,,39
Belgium,13,56,BEL,0,0,7.52,20.04,,2338
Bhutan,13,64,BTN,0,0,1.98,1.78,,14
Bolivia,13,68,BOL,0,0,2.95,3.29,,395
Bosnia Herzegovina,13,70,BIH,0,0,7.08,15.45,,502
Botswana,13,72,BWA,0,0,0.75,0.57,,14
Brazil,13,76,BRA,0,0,4.73,6.81,,14670
Belize,13,84,BLZ,0,0,2.55,2.18,,9
Solomon Islands,13,90,SLB,0,0,1.74,0.97,,7
Brunei Darussalam,13,96,BRN,0,0,3.98,4.04,,18
Bulgaria,13,100,BGR,0,0,7.5,18.7,,1280
Myanmar,13,104,MMR,0,0,1.34,1.37,,754
Burundi,13,108,BDI,0,0,1.5,0.64,,81
Belarus,13,112,BLR,0,0,7.24,14.35,,1354
Cambodia,13,116,KHM,0,0,1.38,1.13,,194
Cameroon,13,120,CMR,0,0,1.38,0.67,,187
Canada,13,124,CAN,0,0,7.52,18.08,,6939
Cape Verde,13,132,CPV,0,0,1.22,0.88,,5
Central African Republic,13,140,CAF,0,0,1.24,0.58,,29
Sri Lanka,13,144,LKA,0,0,0.83,1.27,,275
Chad,13,148,TCD,0,0,2.04,0.91,,159
Chile,13,152,CHL,0,0,5.49,9.86,,1899
China,13,160,CHN,0,0,4.44,8.41,,118672
Colombia,13,170,COL,0,0,3.99,5.46,,2812
Comoros,13,174,COM,0,0,0.76,0.44,,4
"Congo, Republic of",13,178,COG,0,0,1.13,0.64,,37
"Congo, Democratic Republic of",13,180,COD,0,0,1.44,0.7,,667
Costa Rica,13,188,CRI,0,0,4.18,6.73,,349
Croatia,13,191,HRV,0,0,7.28,19.73,,801
Cuba,13,192,CUB,0,0,4.39,9.56,,1081
Cyprus,13,196,CYP,0,0,8.57,17.57,,215
Czechia,13,203,CZE,0,0,9.34,23.09,,2479
Benin,13,204,BEN,0,0,3.15,1.63,,208
Denmark,13,208,DNK,0,0,8.5,23.2,,1354
Dominican Republic,13,214,DOM,0,0,5.01,5.63,,622
Ecuador,13,218,ECU,0,0,3.65,4.27,,773
El Salvador,13,222,SLV,0,0,2.62,3.36,,220
Equatorial Guinea,13,226,GNQ,0,0,2.35,1.07,,16
Ethiopia,13,231,ETH,0,0,1.38,0.78,,944
Eritrea,13,232,ERI,0,0,1.22,0.76,,28
Estonia,13,233,EST,0,0,8.58,22.85,,302
Fiji,13,242,FJI,0,0,2.82,2.53,,23
Finland,13,246,FIN,0,0,8.92,26.95,,1497
France (metropolitan),13,250,FRA,0,0,9.4,24.24,,15895
French Guyana,13,254,GUF,0,0,7.62,6.68,,21
French Polynesia,13,258,PYF,0,0,4.57,6.69,,19
Djibouti,13,262,DJI,0,0,1.36,1.08,,11
Gabon,13,266,GAB,0,0,3.43,2.19,,51
Georgia,13,268,GEO,0,0,5.37,10.56,,419
The Republic of the Gambia,13,270,GMB,0,0,1.55,0.7,,18
Gaza Strip and West Bank,13,275,PSE,0,0,4.61,2.45,,131
Germany,13,276,DEU,0,0,8.7,26.07,,21869
Ghana,13,288,GHA,0,0,1.7,1.07,,348
Greece,13,300,GRC,0,0,7.9,22.34,,2305
"France, Guadeloupe",13,312,GLP,0,0,8.19,19.01,,76
Guam,13,316,GUM,0,0,4.25,7,,12
Guatemala,13,320,GTM,0,0,2.5,1.88,,350
Guinea,13,324,GIN,0,0,0.81,0.4,,55
Guyana,13,328,GUY,0,0,2.04,2.27,,18
Haiti,13,332,HTI,0,0,3.23,2.62,,306
Honduras,13,340,HND,0,0,3.69,2.86,,292
Hungary,13,348,HUN,0,0,10.37,25.18,,2419
Iceland,13,352,ISL,0,0,7.24,16.21,,56
India,13,356,IND,0,0,0.96,0.97,,13661
Indonesia,13,360,IDN,0,0,2,2.05,,5734
"Iran, Islamic Republic of",13,364,IRN,0,0,3.89,4.06,,3494
Iraq,13,368,IRQ,0,0,3.23,1.82,,766
Ireland,13,372,IRL,0,0,6.91,13.82,,694
Israel,13,376,ISR,0,0,8.18,13.28,,1185
Italy,13,380,ITA,0,0,7.98,26.07,,15710
"Côte d'Ivoire",13,384,CIV,0,0,2.32,1.12,,311
Jamaica,13,388,JAM,0,0,3.7,4.82,,144
Japan,13,392,JPN,0,0,9.75,37.92,,47627
Kazakhstan,13,398,KAZ,0,0,5.25,6.19,,1189
