Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,27,4,AFG,0,0,6.46,2.49,,521
Albania,27,8,ALB,0,0,12.22,28.73,,419
Algeria,27,12,DZA,0,0,15.45,15.34,,3514
Angola,27,24,AGO,0,0,47.94,15.1,,2618
Azerbaijan,27,31,AZE,0,0,10.81,10.97,,565
Argentina,27,32,ARG,0,0,44.65,57.16,,12836
Australia,27,36,AUS,0,0,77.2,140.32,,18213
Austria,27,40,AUT,0,0,61.01,132.57,,5934
Bahamas,27,44,BHS,0,0,89.05,102.21,,199
Bahrain,27,48,BHR,0,0,13.36,6.39,,74
Bangladesh,27,50,BGD,0,0,3.2,2.75,,2335
Armenia,27,51,ARM,0,0,37.24,54.59,,763
Barbados,27,52,BRB,0,0,100.45,188.38,,263
Belgium,27,56,BEL,0,0,81.68,181.7,,10523
Bhutan,27,64,BTN,0,0,1.13,1.19,,5
Bolivia,27,68,BOL,0,0,34.22,32.17,,1935
Bosnia Herzegovina,27,70,BIH,0,0,24.45,57.96,,922
Botswana,27,72,BWA,0,0,23.9,13.42,,159
Brazil,27,76,BRA,0,0,76.3,96.96,,102519
Belize,27,84,BLZ,0,0,39.51,32.23,,66
Solomon Islands,27,90,SLB,0,0,37.87,22.63,,83
Brunei Darussalam,27,96,BRN,0,0,21.41,18.63,,43
Bulgaria,27,100,BGR,0,0,38.19,93.96,,3122
Myanmar,27,104,MMR,0,0,4.23,3.4,,904
Burundi,27,108,BDI,0,0,38.03,13.11,,822
Belarus,27,112,BLR,0,0,68.21,113.13,,4972
Cambodia,27,116,KHM,0,0,5.16,2.97,,249
Cameroon,27,120,CMR,0,0,38.58,14.68,,2050
Canada,27,124,CAN,0,0,60.14,134.1,,25560
Cape Verde,27,132,CPV,0,0,43.62,27.02,,77
Central African Republic,27,140,CAF,0,0,31.34,10.33,,257
Sri Lanka,27,144,LKA,0,0,6.54,9.87,,1019
Chad,27,148,TCD,0,0,82.18,29.7,,2582
Chile,27,152,CHL,0,0,62.3,101.92,,9678
China,27,160,CHN,0,0,9.68,18.61,,134156
Colombia,27,170,COL,0,0,52.57,65.17,,16479
Comoros,27,174,COM,0,0,33.18,14.86,,68
"Congo, Republic of",27,178,COG,0,0,42.28,15.22,,441
"Congo, Democratic Republic of",27,180,COD,0,0,40.1,16.4,,7799
Costa Rica,27,188,CRI,0,0,45.55,69.4,,1796
