Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,9,4,AFG,0,0,2.43,1.25,,509
Albania,9,8,ALB,0,0,5.03,8.55,,245
Algeria,9,12,DZA,0,0,6.8,6.78,,3074
Angola,9,24,AGO,0,0,1.94,0.95,,332
Azerbaijan,9,31,AZE,0,0,4.94,5.96,,614
Argentina,9,32,ARG,0,0,4.74,6.51,,2997
Australia,9,36,AUS,0,0,10.85,19.21,,5008
Austria,9,40,AUT,0,0,7.3,15.79,,1432
Bahamas,9,44,BHS,0,0,5.12,6.24,,25
Bahrain,9,48,BHR,0,0,3.9,2.91,,52
Bangladesh,9,50,BGD,0,0,1.62,1.56,,2614
Armenia,9,51,ARM,0,0,4.98,8.45,,251
Barbados,9,52,BRB,0,0,7.5,14.58,,42
Belgium,9,56,BEL,0,0,8.39,18.46,,2154
Bhutan,9,64,BTN,0,0,2.32,2.16,,17
Bolivia,9,68,BOL,0,0,1.21,1.12,,134
Bosnia Herzegovina,9,70,BIH,0,0,12.61,26.71,,868
Botswana,9,72,BWA,0,0,1.58,1.27,,31
Brazil,9,76,BRA,0,0,7.88,10.97,,23618
Belize,9,84,BLZ,0,0,0,0,,0
Solomon Islands,9,90,SLB,0,0,2.9,1.66,,12
Brunei Darussalam,9,96,BRN,0,0,16.27,17.74,,79
Bulgaria,9,100,BGR,0,0,11,25.74,,1762
Myanmar,9,104,MMR,0,0,4.69,4.72,,2604
Burundi,9,108,BDI,0,0,2.82,1.22,,154
Belarus,9,112,BLR,0,0,13.09,25.74,,2428
Cambodia,9,116,KHM,0,0,5.27,4.13,,709
Cameroon,9,120,CMR,0,0,2.42,1.25,,348
Canada,9,124,CAN,0,0,9.87,19.12,,7338
Cape Verde,9,132,CPV,0,0,1.64,1.23,,7
Central African Republic,9,140,CAF,0,0,2.47,1.34,,67
Sri Lanka,9,144,LKA,0,0,4.04,6.03,,1300
Chad,9,148,TCD,0,0,1.24,0.6,,104
Chile,9,152,CHL,0,0,6.21,10.34,,1990
China,9,160,CHN,0,0,9.45,17.15,,242107
Colombia,9,170,COL,0,0,4.48,5.78,,2978
Comoros,9,174,COM,0,0,1.77,0.88,,8
"Congo, Republic of",9,178,COG,0,0,2.02,1.24,,72
"Congo, Democratic Republic of",9,180,COD,0,0,2.67,1.38,,1311
Costa Rica,9,188,CRI,0,0,4.55,6.64,,344
Croatia,9,191,HRV,0,0,16.11,38.43,,1560
Cuba,9,192,CUB,0,0,3.89,7.89,,892
Cyprus,9,196,CYP,0,0,6.76,12.75,,156
Czechia,9,203,CZE,0,0,11.7,25.95,,2786
Benin,9,204,BEN,0,0,2.22,1.22,,156
Denmark,9,208,DNK,0,0,13.71,32.24,,1881
Dominican Republic,9,214,DOM,0,0,1.82,1.95,,216
Ecuador,9,218,ECU,0,0,3.13,3.44,,624
El Salvador,9,222,SLV,0,0,1.99,2.17,,142
Equatorial Guinea,9,226,GNQ,0,0,1.46,0.87,,13
Ethiopia,9,231,ETH,0,0,3.67,2.25,,2719
Eritrea,9,232,ERI,0,0,3.17,2.13,,78
Estonia,9,233,EST,0,0,11.09,27.91,,369
Fiji,9,242,FJI,0,0,5.11,4.62,,42
Finland,9,246,FIN,0,0,9.83,25.17,,1398
France (metropolitan),9,250,FRA,0,0,10.94,25.33,,16613
French Guyana,9,254,GUF,0,0,3.7,3.5,,11
French Polynesia,9,258,PYF,0,0,4.9,7.04,,20
Djibouti,9,262,DJI,0,0,2.94,2.66,,27
Gabon,9,266,GAB,0,0,1.66,1.12,,26
Georgia,9,268,GEO,0,0,7.22,14.03,,557
The Republic of the Gambia,9,270,GMB,0,0,1.7,0.9,,23
Gaza Strip and West Bank,9,275,PSE,0,0,6.01,3.52,,188
Germany,9,276,DEU,0,0,9.93,26.15,,21935
Ghana,9,288,GHA,0,0,2.15,1.49,,483
Greece,9,300,GRC,0,0,3.89,10.66,,1100
"France, Guadeloupe",9,312,GLP,0,0,7.22,14.76,,59
Guam,9,316,GUM,0,0,5.79,8.16,,14
Guatemala,9,320,GTM,0,0,0.56,0.43,,80
Guinea,9,324,GIN,0,0,1.23,0.64,,89
Guyana,9,328,GUY,0,0,1.32,1.51,,12
Haiti,9,332,HTI,0,0,1.88,1.45,,169
Honduras,9,340,HND,0,0,2.14,1.7,,174
Hungary,9,348,HUN,0,0,17.2,36.3,,3487
Iceland,9,352,ISL,0,0,8.53,15.92,,55
India,9,356,IND,0,0,2.15,2.19,,30817
Indonesia,9,360,IDN,0,0,5.47,5.8,,16193
"Iran, Islamic Republic of",9,364,IRN,0,0,4.14,4.51,,3880
Iraq,9,368,IRQ,0,0,3.17,1.97,,830
Ireland,9,372,IRL,0,0,12.12,22.87,,1148
