Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,7,4,AFG,0,0,11.04,5.1,,2077
Albania,7,8,ALB,0,0,12.63,24.98,,716
Algeria,7,12,DZA,0,0,6.13,6.14,,2785
Angola,7,24,AGO,0,0,4.53,1.93,,676
Azerbaijan,7,31,AZE,0,0,16.56,19.57,,2016
Argentina,7,32,ARG,0,0,6.68,9.69,,4460
Australia,7,36,AUS,0,0,5.29,10.88,,2837
Austria,7,40,AUT,0,0,5.43,13.09,,1187
Bahamas,7,44,BHS,0,0,7.74,9.49,,38
Bahrain,7,48,BHR,0,0,3.34,2.13,,38
Bangladesh,7,50,BGD,0,0,5.45,4.98,,8365
Armenia,7,51,ARM,0,0,12.1,20.59,,612
Barbados,7,52,BRB,0,0,5,11.11,,32
Belgium,7,56,BEL,0,0,5.36,12.32,,1438
Bhutan,7,64,BTN,0,0,15.87,14.59,,115
Bolivia,7,68,BOL,0,0,8.74,9.11,,1092
Bosnia Herzegovina,7,70,BIH,0,0,9.61,21.14,,687
Botswana,7,72,BWA,0,0,1.29,0.98,,24
Brazil,7,76,BRA,0,0,7.55,10.69,,23021
Belize,7,84,BLZ,0,0,4.81,4.37,,18
Solomon Islands,7,90,SLB,0,0,2.44,1.39,,10
Brunei Darussalam,7,96,BRN,0,0,10.35,10.55,,47
Bulgaria,7,100,BGR,0,0,9.01,21.46,,1469
Myanmar,7,104,MMR,0,0,11.77,12.08,,6670
Burundi,7,108,BDI,0,0,5.34,2.25,,284
Belarus,7,112,BLR,0,0,15.28,29.73,,2804
Cambodia,7,116,KHM,0,0,4.08,3.27,,562
Cameroon,7,120,CMR,0,0,3.45,1.71,,477
Canada,7,124,CAN,0,0,4.65,10.71,,4113
Cape Verde,7,132,CPV,0,0,5.09,4.23,,24
Central African Republic,7,140,CAF,0,0,3.51,1.63,,82
Sri Lanka,7,144,LKA,0,0,2.55,3.97,,856
Chad,7,148,TCD,0,0,3,1.52,,264
Chile,7,152,CHL,0,0,14.18,25.74,,4955
China,7,160,CHN,0,0,13.72,25.41,,358672
Colombia,7,170,COL,0,0,12.9,17.35,,8938
Comoros,7,174,COM,0,0,2.1,1.1,,10
"Congo, Republic of",7,178,COG,0,0,3.39,1.9,,110
"Congo, Democratic Republic of",7,180,COD,0,0,3.85,1.87,,1783
Costa Rica,7,188,CRI,0,0,13.97,21.94,,1137
Croatia,7,191,HRV,0,0,9.38,24.27,,985
Cuba,7,192,CUB,0,0,5.64,12.47,,1410
Cyprus,7,196,CYP,0,0,6.07,12.02,,147
Czechia,7,203,CZE,0,0,4.81,11.57,,1242
Benin,7,204,BEN,0,0,5.92,3.18,,407
Denmark,7,208,DNK,0,0,5.34,12.53,,731
Dominican Republic,7,214,DOM,0,0,6.2,6.94,,767
Ecuador,7,218,ECU,0,0,12.75,14.86,,2692
El Salvador,7,222,SLV,0,0,8.24,10.58,,693
Equatorial Guinea,7,226,GNQ,0,0,2.67,1.47,,22
Ethiopia,7,231,ETH,0,0,3.34,1.98,,2394
Eritrea,7,232,ERI,0,0,3.02,1.94,,71
Estonia,7,233,EST,0,0,13.09,31.17,,412
Fiji,7,242,FJI,0,0,4.14,4.07,,37
Finland,7,246,FIN,0,0,3.99,10.51,,584
France (metropolitan),7,250,FRA,0,0,4.87,11.7,,7673
French Guyana,7,254,GUF,0,0,8.59,7.64,,24
French Polynesia,7,258,PYF,0,0,6.75,9.5,,27
Djibouti,7,262,DJI,0,0,2.88,2.36,,24
Gabon,7,266,GAB,0,0,2.42,1.72,,40
Georgia,7,268,GEO,0,0,9.71,19.12,,759
The Republic of the Gambia,7,270,GMB,0,0,2.83,1.37,,35
