Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,32,4,AFG,0,0,1,0.67,,275
Albania,32,8,ALB,0,0,1.11,1.57,,45
Algeria,32,12,DZA,0,0,5.4,5.55,,2519
Angola,32,24,AGO,0,0,0.73,0.31,,110
Azerbaijan,32,31,AZE,0,0,2.88,3.49,,359
Argentina,32,32,ARG,0,0,8.02,9.19,,4229
Australia,32,36,AUS,0,0,10.96,14.46,,3769
Austria,32,40,AUT,0,0,7.02,9.82,,890
Bahamas,32,44,BHS,0,0,4.38,5.24,,21
Bahrain,32,48,BHR,0,0,2.67,2.24,,40
Bangladesh,32,50,BGD,0,0,0.99,1,,1671
Armenia,32,51,ARM,0,0,3.76,6.06,,180
Barbados,32,52,BRB,0,0,3.43,6.25,,18
Belgium,32,56,BEL,0,0,6.89,9.37,,1093
Bhutan,32,64,BTN,0,0,0.84,0.76,,6
Bolivia,32,68,BOL,0,0,2.12,2.06,,247
Bosnia Herzegovina,32,70,BIH,0,0,2.86,4.37,,142
Botswana,32,72,BWA,0,0,0.47,0.37,,9
Brazil,32,76,BRA,0,0,11.78,14.57,,31385
Belize,32,84,BLZ,0,0,3.14,2.67,,11
Solomon Islands,32,90,SLB,0,0,8.3,5.96,,43
Brunei Darussalam,32,96,BRN,0,0,6.3,7.18,,32
Bulgaria,32,100,BGR,0,0,4.38,6.02,,412
Myanmar,32,104,MMR,0,0,2.85,3.11,,1716
Burundi,32,108,BDI,0,0,1.32,0.61,,77
Belarus,32,112,BLR,0,0,9.04,11.76,,1109
Cambodia,32,116,KHM,0,0,4.67,4.2,,721
Cameroon,32,120,CMR,0,0,0.75,0.42,,118
Canada,32,124,CAN,0,0,10.69,14.48,,5559
Cape Verde,32,132,CPV,0,0,0.6,0.53,,3
Central African Republic,32,140,CAF,0,0,1.28,0.6,,30
Sri Lanka,32,144,LKA,0,0,6.68,7.91,,1706
Chad,32,148,TCD,0,0,5.12,2.74,,477
Chile,32,152,CHL,0,0,4.52,5.75,,1106
China,32,160,CHN,0,0,24.64,33.02,,466118
Colombia,32,170,COL,0,0,8.05,9.48,,4885
Comoros,32,174,COM,0,0,0.54,0.33,,3
"Congo, Republic of",32,178,COG,0,0,0.45,0.24,,14
"Congo, Democratic Republic of",32,180,COD,0,0,0.85,0.42,,404
Costa Rica,32,188,CRI,0,0,13.79,16.92,,877
Croatia,32,191,HRV,0,0,14.03,19.17,,778
Cuba,32,192,CUB,0,0,4.3,6.22,,703
Cyprus,32,196,CYP,0,0,31.81,40.71,,498
Czechia,32,203,CZE,0,0,9.02,12.67,,1360
Benin,32,204,BEN,0,0,0.62,0.38,,48
Denmark,32,208,DNK,0,0,7.96,11.59,,676
Dominican Republic,32,214,DOM,0,0,2.33,2.51,,278
Ecuador,32,218,ECU,0,0,6.71,7.12,,1290
El Salvador,32,222,SLV,0,0,2.36,2.43,,159
Equatorial Guinea,32,226,GNQ,0,0,0.23,0.27,,4
Ethiopia,32,231,ETH,0,0,3.82,2.6,,3139
Eritrea,32,232,ERI,0,0,3.32,2.27,,83
Estonia,32,233,EST,0,0,4.05,6.88,,91
Fiji,32,242,FJI,0,0,8.73,8.8,,80
Finland,32,246,FIN,0,0,8.07,12.03,,668
France (metropolitan),32,250,FRA,0,0,10.96,14.67,,9618
French Guyana,32,254,GUF,0,0,4.22,4.14,,13
French Polynesia,32,258,PYF,0,0,16.85,21.47,,61
Djibouti,32,262,DJI,0,0,2.95,2.56,,26
Gabon,32,266,GAB,0,0,0.68,0.51,,12
Georgia,32,268,GEO,0,0,4.61,6.15,,244
The Republic of the Gambia,32,270,GMB,0,0,0.42,0.31,,8
Gaza Strip and West Bank,32,275,PSE,0,0,4.88,4.08,,218
Germany,32,276,DEU,0,0,5.64,7.79,,6537
Ghana,32,288,GHA,0,0,0.57,0.41,,132
Greece,32,300,GRC,0,0,5.67,9.94,,1025
"France, Guadeloupe",32,312,GLP,0,0,4.29,5.75,,23
Guam,32,316,GUM,0,0,6.54,7.58,,13
Guatemala,32,320,GTM,0,0,3.7,2.94,,546
Guinea,32,324,GIN,0,0,0.48,0.28,,39
Guyana,32,328,GUY,0,0,0.85,0.88,,7
Haiti,32,332,HTI,0,0,1.19,1.13,,132
Honduras,32,340,HND,0,0,4.76,4.29,,439
Hungary,32,348,HUN,0,0,16.27,19.09,,1834
Iceland,32,352,ISL,0,0,6.94,9.55,,33
India,32,356,IND,0,0,1.46,1.55,,21873
