Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,15,4,AFG,0,0,7.22,3.42,,1393
Albania,15,8,ALB,0,0,25.28,50.17,,1438
Algeria,15,12,DZA,0,0,11.32,11.11,,5040
Angola,15,24,AGO,0,0,2.4,0.96,,338
Azerbaijan,15,31,AZE,0,0,19.35,22.82,,2350
Argentina,15,32,ARG,0,0,19.87,28.29,,13016
Australia,15,36,AUS,0,0,24.08,51.5,,13426
Austria,15,40,AUT,0,0,27.16,59.67,,5410
Bahamas,15,44,BHS,0,0,8.78,11.24,,45
Bahrain,15,48,BHR,0,0,10.05,4.99,,89
Bangladesh,15,50,BGD,0,0,8.8,7.74,,13000
Armenia,15,51,ARM,0,0,28.95,48.05,,1428
Barbados,15,52,BRB,0,0,9.42,19.79,,57
Belgium,15,56,BEL,0,0,32.69,74.01,,8636
Bhutan,15,64,BTN,0,0,7.03,6.47,,51
Bolivia,15,68,BOL,0,0,8.48,9.7,,1163
Bosnia Herzegovina,15,70,BIH,0,0,36.06,74.97,,2436
Botswana,15,72,BWA,0,0,3.62,2.58,,63
Brazil,15,76,BRA,0,0,14.62,20.53,,44213
Belize,15,84,BLZ,0,0,8.79,6.79,,28
Solomon Islands,15,90,SLB,0,0,6.18,3.88,,28
Brunei Darussalam,15,96,BRN,0,0,24.03,24.25,,108
Bulgaria,15,100,BGR,0,0,27.13,57.94,,3966
Myanmar,15,104,MMR,0,0,16.07,16.06,,8868
Burundi,15,108,BDI,0,0,3.41,1.44,,182
Belarus,15,112,BLR,0,0,26.03,48.76,,4599
Cambodia,15,116,KHM,0,0,15.7,12.59,,2161
Cameroon,15,120,CMR,0,0,3.06,1.41,,393
Canada,15,124,CAN,0,0,32.39,81.16,,31157
Cape Verde,15,132,CPV,0,0,2.19,1.59,,9
Central African Republic,15,140,CAF,0,0,2.04,0.92,,46
Sri Lanka,15,144,LKA,0,0,6.66,10.33,,2229
Chad,15,148,TCD,0,0,1.99,0.91,,159
Chile,15,152,CHL,0,0,12.7,22.81,,4391
China,15,160,CHN,0,0,40.78,75.13,,1060584
Colombia,15,170,COL,0,0,10.08,13.97,,7196
Comoros,15,174,COM,0,0,1.79,0.99,,9
"Congo, Republic of",15,178,COG,0,0,1.37,0.69,,40
"Congo, Democratic Republic of",15,180,COD,0,0,2.17,1.05,,998
Costa Rica,15,188,CRI,0,0,6.75,10.17,,527
Croatia,15,191,HRV,0,0,37.05,89.89,,3649
Cuba,15,192,CUB,0,0,29.75,64.91,,7339
Cyprus,15,196,CYP,0,0,27.04,51.09,,625
Czechia,15,203,CZE,0,0,23.72,57.67,,6192
Benin,15,204,BEN,0,0,1.49,0.81,,104
Denmark,15,208,DNK,0,0,34.21,85.23,,4973
Dominican Republic,15,214,DOM,0,0,12.81,14.65,,1620
Ecuador,15,218,ECU,0,0,6.29,7.44,,1348
El Salvador,15,222,SLV,0,0,4.66,5.89,,386
Equatorial Guinea,15,226,GNQ,0,0,2.72,1.34,,20
Ethiopia,15,231,ETH,0,0,3.69,2.06,,2486
Eritrea,15,232,ERI,0,0,3.21,1.97,,72
Estonia,15,233,EST,0,0,25.84,61.28,,810
Fiji,15,242,FJI,0,0,6.79,6.6,,60
Finland,15,246,FIN,0,0,19.18,55.23,,3068
France (metropolitan),15,250,FRA,0,0,35.91,75.65,,49613
French Guyana,15,254,GUF,0,0,15.04,13.69,,43
French Polynesia,15,258,PYF,0,0,39.96,54.19,,154
Djibouti,15,262,DJI,0,0,3.08,2.56,,26
Gabon,15,266,GAB,0,0,3.11,1.93,,45
Georgia,15,268,GEO,0,0,21.98,39.61,,1572
The Republic of the Gambia,15,270,GMB,0,0,5,2.15,,55
Gaza Strip and West Bank,15,275,PSE,0,0,20.42,10.96,,586
Germany,15,276,DEU,0,0,28.13,73.94,,62025
Ghana,15,288,GHA,0,0,2.53,1.6,,519
Greece,15,300,GRC,0,0,31.34,83.2,,8583
"France, Guadeloupe",15,312,GLP,0,0,12.28,26.51,,106
Guam,15,316,GUM,0,0,31.52,48.97,,84
Guatemala,15,320,GTM,0,0,3.76,2.93,,545
Guinea,15,324,GIN,0,0,3.22,1.74,,241
Guyana,15,328,GUY,0,0,4.26,4.66,,37
Haiti,15,332,HTI,0,0,6.07,4.8,,561
Honduras,15,340,HND,0,0,6.68,5.07,,518
Hungary,15,348,HUN,0,0,47.57,103.17,,9911
Iceland,15,352,ISL,0,0,26.9,56.75,,196
India,15,356,IND,0,0,5.79,5.81,,81748
Indonesia,15,360,IDN,0,0,13.38,13.94,,38904
"Iran, Islamic Republic of",15,364,IRN,0,0,12.1,12.71,,10934
Iraq,15,368,IRQ,0,0,12.52,6.67,,2814
Ireland,15,372,IRL,0,0,31.39,61.47,,3086
Israel,15,376,ISR,0,0,22.6,33.69,,3006
Italy,15,380,ITA,0,0,24.64,72.69,,43808
"Côte d'Ivoire",15,384,CIV,0,0,2.45,1.22,,338
Jamaica,15,388,JAM,0,0,14,18.26,,545
Japan,15,392,JPN,0,0,30.47,108.87,,136723
Kazakhstan,15,398,KAZ,0,0,19.71,23.06,,4429
Jordan,15,400,JOR,0,0,14.34,10.17,,1048
Kenya,15,404,KEN,0,0,3.35,1.61,,903
"Korea, Democratic People Republic of",15,408,PRK,0,0,38.42,56.84,,14773
"Korea, Republic of",15,410,KOR,0,0,26.21,61.05,,31337
Kuwait,15,414,KWT,0,0,6.4,4.73,,207
Kyrgyzstan,15,417,KGZ,0,0,14.13,11.62,,782
"Lao People's Democratic Republic",15,418,LAO,0,0,17.55,12.85,,961
Lebanon,15,422,LBN,0,0,19.88,23.43,,1566
Lesotho,15,426,LSO,0,0,4.23,3.13,,68
Latvia,15,428,LVA,0,0,23.51,55.06,,1018
Liberia,15,430,LBR,0,0,2.68,1.66,,88
