Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,22,4,AFG,0,0,0.18,0.1,,20
Albania,22,8,ALB,0,0,0.62,1.21,,17
Algeria,22,12,DZA,0,0,0.21,0.22,,49
Angola,22,24,AGO,0,0,0.65,0.46,,82
Azerbaijan,22,31,AZE,0,0,0.03,0.04,,2
Argentina,22,32,ARG,0,0,0.32,0.45,,106
Australia,22,36,AUS,0,0,0.43,0.79,,104
Austria,22,40,AUT,0,0,0.33,0.83,,38
Bahamas,22,44,BHS,0,0,0.81,0.97,,2
Bahrain,22,48,BHR,0,0,0,0,,0
Bangladesh,22,50,BGD,0,0,0.31,0.29,,238
Armenia,22,51,ARM,0,0,0.28,0.51,,8
Barbados,22,52,BRB,0,0,0,0,,0
Belgium,22,56,BEL,0,0,0.44,0.9,,53
Bhutan,22,64,BTN,0,0,0,0,,0
Bolivia,22,68,BOL,0,0,0.49,0.47,,28
Bosnia Herzegovina,22,70,BIH,0,0,0.35,0.84,,14
Botswana,22,72,BWA,0,0,0.6,0.56,,7
Brazil,22,76,BRA,0,0,0.28,0.42,,462
Belize,22,84,BLZ,0,0,0,0,,0
Solomon Islands,22,90,SLB,0,0,0.35,0.28,,1
Brunei Darussalam,22,96,BRN,0,0,0,0,,0
Bulgaria,22,100,BGR,0,0,0.41,0.99,,35
Myanmar,22,104,MMR,0,0,0.21,0.24,,68
Burundi,22,108,BDI,0,0,0.43,0.22,,14
Belarus,22,112,BLR,0,0,0.24,0.48,,24
Cambodia,22,116,KHM,0,0,0.12,0.11,,10
Cameroon,22,120,CMR,0,0,0.59,0.34,,47
Canada,22,124,CAN,0,0,0.53,1.18,,228
Cape Verde,22,132,CPV,0,0,0,0,,0
Central African Republic,22,140,CAF,0,0,0.21,0.12,,3
Sri Lanka,22,144,LKA,0,0,0.35,0.5,,56
Chad,22,148,TCD,0,0,0.43,0.19,,17
Chile,22,152,CHL,0,0,0.32,0.58,,57
China,22,160,CHN,0,0,0.23,0.39,,2685
Colombia,22,170,COL,0,0,0.51,0.7,,183
Comoros,22,174,COM,0,0,0,0,,0
"Congo, Republic of",22,178,COG,0,0,0.29,0.17,,5
"Congo, Democratic Republic of",22,180,COD,0,0,0.45,0.25,,118
Costa Rica,22,188,CRI,0,0,0.24,0.39,,10
Croatia,22,191,HRV,0,0,0.36,0.95,,20
Cuba,22,192,CUB,0,0,0.55,1.16,,66
Cyprus,22,196,CYP,0,0,0,0,,0
Czechia,22,203,CZE,0,0,0.43,1.12,,61
Benin,22,204,BEN,0,0,0.39,0.2,,13
Denmark,22,208,DNK,0,0,0.3,0.75,,22
Dominican Republic,22,214,DOM,0,0,0.92,1.03,,57
Ecuador,22,218,ECU,0,0,0.28,0.33,,30
El Salvador,22,222,SLV,0,0,0.17,0.29,,10
Equatorial Guinea,22,226,GNQ,0,0,0.14,0.15,,1
Ethiopia,22,231,ETH,0,0,0.59,0.36,,220
Eritrea,22,232,ERI,0,0,0.47,0.27,,5
Estonia,22,233,EST,0,0,0.34,0.72,,5
Fiji,22,242,FJI,0,0,0.46,0.45,,2
Finland,22,246,FIN,0,0,0.33,0.82,,23
France (metropolitan),22,250,FRA,0,0,0.33,0.73,,246
French Guyana,22,254,GUF,0,0,0,0,,0
French Polynesia,22,258,PYF,0,0,0,0,,0
Djibouti,22,262,DJI,0,0,0.22,0.21,,1
Gabon,22,266,GAB,0,0,0.46,0.35,,4
Georgia,22,268,GEO,0,0,0.32,0.77,,16
The Republic of the Gambia,22,270,GMB,0,0,0,0,,0
Gaza Strip and West Bank,22,275,PSE,0,0,0.16,0.08,,2
Germany,22,276,DEU,0,0,0.44,1.4,,592
Ghana,22,288,GHA,0,0,0.15,0.14,,22
Greece,22,300,GRC,0,0,0.14,0.32,,17
"France, Guadeloupe",22,312,GLP,0,0,0,0,,0
Guam,22,316,GUM,0,0,0,0,,0
Guatemala,22,320,GTM,0,0,0.19,0.16,,15
Guinea,22,324,GIN,0,0,0.46,0.31,,22
Guyana,22,328,GUY,0,0,0,0,,0
Haiti,22,332,HTI,0,0,0.49,0.39,,23
Honduras,22,340,HND,0,0,0.45,0.37,,19
Hungary,22,348,HUN,0,0,0.52,1.41,,71
Iceland,22,352,ISL,0,0,0.27,0.58,,1
India,22,356,IND,0,0,0.7,0.74,,5000
Indonesia,22,360,IDN,0,0,0.3,0.33,,462
