Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,39,4,AFG,2,0,110.68,65.66,,13036
Albania,39,8,ALB,2,0,147.65,243.79,,3432
Algeria,39,12,DZA,2,0,152.22,157.44,,35326
Angola,39,24,AGO,2,0,137.33,78.68,,13923
Azerbaijan,39,31,AZE,2,0,131.77,167.03,,8602
Argentina,39,32,ARG,2,0,208.74,290.33,,68380
Australia,39,36,AUS,2,0,415.21,733.19,,95969
Austria,39,40,AUT,2,0,235.74,508.88,,23361
Bahamas,39,44,BHS,2,0,177.63,232.24,,478
Bahrain,39,48,BHR,2,0,137.35,116.33,,729
Bangladesh,39,50,BGD,2,0,89.51,87.05,,72334
Armenia,39,51,ARM,2,0,163.87,284.2,,4474
Barbados,39,52,BRB,2,0,190.66,365.19,,542
Belgium,39,56,BEL,2,0,306.62,637.86,,37487
Bhutan,39,64,BTN,2,0,84.47,76.56,,282
Bolivia,39,68,BOL,2,0,159.4,165.39,,9887
Bosnia Herzegovina,39,70,BIH,2,0,194.16,387.3,,6424
Botswana,39,72,BWA,2,0,119.38,109.54,,1376
Brazil,39,76,BRA,2,0,197.56,280.49,,307482
Belize,39,84,BLZ,2,0,118.17,106.53,,221
Solomon Islands,39,90,SLB,2,0,154.42,114.26,,405
Brunei Darussalam,39,96,BRN,2,0,215.97,246.53,,529
Bulgaria,39,100,BGR,2,0,203.24,434.34,,15297
Myanmar,39,104,MMR,2,0,129.82,146.03,,41781
Burundi,39,108,BDI,2,0,134.6,72.79,,4627
Belarus,39,112,BLR,2,0,223.63,426.16,,21469
Cambodia,39,116,KHM,2,0,129.96,120.96,,10624
Cameroon,39,120,CMR,2,0,139.9,83.01,,11578
Canada,39,124,CAN,2,0,331.84,716.27,,138438
Cape Verde,39,132,CPV,2,0,78.33,78.18,,221
Central African Republic,39,140,CAF,2,0,109.96,63.85,,1615
Sri Lanka,39,144,LKA,2,0,105.96,155.66,,17510
Chad,39,148,TCD,2,0,94.39,52.53,,4580
Chile,39,152,CHL,2,0,165.05,277.57,,27076
China,39,160,CHN,2,0,197.03,331.64,,2290797
Colombia,39,170,COL,2,0,175.28,234.1,,61396
Comoros,39,174,COM,2,0,122.01,84.95,,382
"Congo, Republic of",39,178,COG,2,0,82.28,53.65,,1556
"Congo, Democratic Republic of",39,180,COD,2,0,107.82,62.04,,29579
Costa Rica,39,188,CRI,2,0,173.54,251.18,,6517
Croatia,39,191,HRV,2,0,276.99,628.74,,13202
Cuba,39,192,CUB,2,0,199.11,400.31,,22796
Cyprus,39,196,CYP,2,0,300.05,511.35,,3128
