Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,30,4,AFG,2,0,0.81,0.41,,81
Albania,30,8,ALB,2,0,2.06,5.04,,71
Algeria,30,12,DZA,2,0,2.03,2.09,,470
Angola,30,24,AGO,2,0,2.92,1.59,,282
Azerbaijan,30,31,AZE,2,0,1.94,2.47,,127
Argentina,30,32,ARG,2,0,2.17,3.76,,886
Australia,30,36,AUS,2,0,3.19,7.82,,1023
Austria,30,40,AUT,2,0,3.32,9.37,,430
Bahamas,30,44,BHS,2,0,0.8,0.97,,2
Bahrain,30,48,BHR,2,0,2.57,1.6,,10
Bangladesh,30,50,BGD,2,0,0.36,0.32,,265
Armenia,30,51,ARM,2,0,1.91,3.62,,57
Barbados,30,52,BRB,2,0,0.74,2.7,,4
Belgium,30,56,BEL,2,0,5.95,15.99,,940
Bhutan,30,64,BTN,2,0,0,0,,0
Bolivia,30,68,BOL,2,0,0.8,0.69,,41
Bosnia Herzegovina,30,70,BIH,2,0,4.43,10.85,,180
Botswana,30,72,BWA,2,0,0.88,0.72,,9
Brazil,30,76,BRA,2,0,2.86,4.5,,4938
Belize,30,84,BLZ,2,0,0,0,,0
Solomon Islands,30,90,SLB,2,0,0.39,0.28,,1
Brunei Darussalam,30,96,BRN,2,0,4.65,5.13,,11
Bulgaria,30,100,BGR,2,0,5.03,12.78,,450
Myanmar,30,104,MMR,2,0,1.09,1.21,,346
Burundi,30,108,BDI,2,0,1.81,0.8,,51
Belarus,30,112,BLR,2,0,2.27,5.34,,269
Cambodia,30,116,KHM,2,0,0.76,0.65,,57
Cameroon,30,120,CMR,2,0,1.02,0.47,,65
Canada,30,124,CAN,2,0,7.93,20.6,,3982
Cape Verde,30,132,CPV,2,0,1.58,1.77,,5
Central African Republic,30,140,CAF,2,0,1,0.51,,13
Sri Lanka,30,144,LKA,2,0,0.7,1.24,,139
Chad,30,148,TCD,2,0,1.92,1.03,,90
Chile,30,152,CHL,2,0,2.71,5.33,,520
China,30,160,CHN,2,0,1.39,2.85,,19665
Colombia,30,170,COL,2,0,1.21,1.83,,479
Comoros,30,174,COM,2,0,4.19,2.45,,11
"Congo, Republic of",30,178,COG,2,0,0.62,0.38,,11
"Congo, Democratic Republic of",30,180,COD,2,0,1.11,0.56,,267
Costa Rica,30,188,CRI,2,0,1.52,2.78,,72
Croatia,30,191,HRV,2,0,6.35,16.81,,353
Cuba,30,192,CUB,2,0,2.6,6.37,,363
Cyprus,30,196,CYP,2,0,4.26,9.15,,56
Czechia,30,203,CZE,2,0,5.6,15.55,,847
Benin,30,204,BEN,2,0,0.3,0.17,,11
Denmark,30,208,DNK,2,0,8.59,22.69,,666
Dominican Republic,30,214,DOM,2,0,1.25,1.53,,85
Ecuador,30,218,ECU,2,0,1.37,1.77,,160
El Salvador,30,222,SLV,2,0,0.78,1.2,,42
Equatorial Guinea,30,226,GNQ,2,0,0.71,0.3,,2
Ethiopia,30,231,ETH,2,0,1.56,0.88,,530
Eritrea,30,232,ERI,2,0,1.49,0.99,,18
Estonia,30,233,EST,2,0,3.43,11.67,,81
Fiji,30,242,FJI,2,0,1.06,1.11,,5
Finland,30,246,FIN,2,0,2.86,9.38,,264
France (metropolitan),30,250,FRA,2,0,3.3,10.91,,3691
French Guyana,30,254,GUF,2,0,2.07,1.89,,3
French Polynesia,30,258,PYF,2,0,2.44,3.56,,5
Djibouti,30,262,DJI,2,0,1.06,0.83,,4
Gabon,30,266,GAB,2,0,1.45,0.87,,10
Georgia,30,268,GEO,2,0,1.51,3.85,,80
The Republic of the Gambia,30,270,GMB,2,0,0.58,0.31,,4
Gaza Strip and West Bank,30,275,PSE,2,0,1.81,1.02,,27
Germany,30,276,DEU,2,0,6.17,18.05,,7648
Ghana,30,288,GHA,2,0,2.47,1.64,,262
Greece,30,300,GRC,2,0,6.03,16.47,,865
"France, Guadeloupe",30,312,GLP,2,0,1.31,4.64,,10
Guam,30,316,GUM,2,0,0.41,1.18,,1
Guatemala,30,320,GTM,2,0,0.6,0.5,,47
Guinea,30,324,GIN,2,0,0.43,0.25,,18
Guyana,30,328,GUY,2,0,0.89,1.02,,4
Haiti,30,332,HTI,2,0,2.49,2.25,,133
Honduras,30,340,HND,2,0,0.98,0.84,,43
Hungary,30,348,HUN,2,0,7.44,19.48,,980
Iceland,30,352,ISL,2,0,4.68,9.89,,17
India,30,356,IND,2,0,0.68,0.72,,4880
Indonesia,30,360,IDN,2,0,0.74,0.84,,1169
"Iran, Islamic Republic of",30,364,IRN,2,0,1.99,2.11,,901
Iraq,30,368,IRQ,2,0,2.83,1.67,,348
Ireland,30,372,IRL,2,0,5.08,10.73,,271
Israel,30,376,ISR,2,0,4.7,8,,358
Italy,30,380,ITA,2,0,7.66,23.86,,7369
"Côte d'Ivoire",30,384,CIV,2,0,0.76,0.38,,52
Jamaica,30,388,JAM,2,0,2.35,3.52,,53
Japan,30,392,JPN,2,0,2.47,14.68,,9436
Kazakhstan,30,398,KAZ,2,0,1.07,1.5,,148
Jordan,30,400,JOR,2,0,1.89,1.4,,71
Kenya,30,404,KEN,2,0,1.51,0.74,,209
"Korea, Democratic People Republic of",30,408,PRK,2,0,2.01,3.66,,486
"Korea, Republic of",30,410,KOR,2,0,1.58,4.29,,1101
Kuwait,30,414,KWT,2,0,2.04,1.53,,26
Kyrgyzstan,30,417,KGZ,2,0,0.9,0.82,,28
"Lao People's Democratic Republic",30,418,LAO,2,0,0.7,0.56,,21
Lebanon,30,422,LBN,2,0,4.53,5.37,,178
Lesotho,30,426,LSO,2,0,1.67,1.54,,17
Latvia,30,428,LVA,2,0,4.28,13.26,,132
Liberia,30,430,LBR,2,0,0.6,0.38,,10
Libya,30,434,LBY,2,0,2,1.66,,58
Lithuania,30,440,LTU,2,0,1.94,6.92,,99
Luxembourg,30,442,LUX,2,0,4.4,11.03,,35
Madagascar,30,450,MDG,2,0,4.38,2.5,,365
Malawi,30,454,MWI,2,0,6.47,3.87,,396
Malaysia,30,458,MYS,2,0,1.08,1.25,,202
Maldives,30,462,MDV,2,0,0,0,,0
Mali,30,466,MLI,2,0,6.24,3.26,,349
Malta,30,470,MLT,2,0,4.17,13.11,,29
"France, Martinique",30,474,MTQ,2,0,1.96,8.4,,17
Mauritania,30,478,MRT,2,0,1.77,1.15,,28
Mauritius,30,480,MUS,2,0,1.44,2.78,,18
Mexico,30,484,MEX,2,0,1.23,1.54,,1033
Mongolia,30,496,MNG,2,0,0.6,0.58,,10
Moldova,30,498,MDA,2,0,1.69,3.73,,78
Montenegro,30,499,MNE,2,0,2.68,6.93,,22
Morocco,30,504,MAR,2,0,1.28,1.56,,296
