Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,41,4,AFG,2,0,5.15,2.75,,545
Albania,41,8,ALB,2,0,8.02,14.85,,209
Algeria,41,12,DZA,2,0,15.9,16.33,,3665
Angola,41,24,AGO,2,0,4.66,2.3,,407
Azerbaijan,41,31,AZE,2,0,12.95,16.85,,868
Argentina,41,32,ARG,2,0,19.36,30.7,,7230
Australia,41,36,AUS,2,0,31.69,62.21,,8143
Austria,41,40,AUT,2,0,17.45,41.89,,1923
Bahamas,41,44,BHS,2,0,14.55,19.43,,40
Bahrain,41,48,BHR,2,0,12.38,9.57,,60
Bangladesh,41,50,BGD,2,0,3.12,2.98,,2475
Armenia,41,51,ARM,2,0,19.78,39.32,,619
Barbados,41,52,BRB,2,0,19.8,47.17,,70
Belgium,41,56,BEL,2,0,25.02,61.9,,3638
Bhutan,41,64,BTN,2,0,3.23,2.71,,10
Bolivia,41,68,BOL,2,0,5.41,5.62,,336
Bosnia Herzegovina,41,70,BIH,2,0,20.36,46.66,,774
Botswana,41,72,BWA,2,0,4.08,3.74,,47
Brazil,41,76,BRA,2,0,17.79,27.32,,29954
Belize,41,84,BLZ,2,0,6.47,5.78,,12
Solomon Islands,41,90,SLB,2,0,5.74,3.67,,13
Brunei Darussalam,41,96,BRN,2,0,25.82,28.89,,62
Bulgaria,41,100,BGR,2,0,22.6,60.48,,2130
Myanmar,41,104,MMR,2,0,8.48,9.47,,2709
Burundi,41,108,BDI,2,0,5.83,2.75,,175
Belarus,41,112,BLR,2,0,26.32,61.02,,3074
Cambodia,41,116,KHM,2,0,11.52,10.41,,914
Cameroon,41,120,CMR,2,0,5.76,3.11,,434
Canada,41,124,CAN,2,0,24.1,55,,10630
Cape Verde,41,132,CPV,2,0,4.82,4.6,,13
Central African Republic,41,140,CAF,2,0,5.38,3.12,,79
Sri Lanka,41,144,LKA,2,0,7.91,12.4,,1395
Chad,41,148,TCD,2,0,1.22,0.83,,72
Chile,41,152,CHL,2,0,18.29,35.13,,3427
China,41,160,CHN,2,0,15.7,30.32,,209418
Colombia,41,170,COL,2,0,15.31,21.76,,5708
Comoros,41,174,COM,2,0,3.99,2.22,,10
"Congo, Republic of",41,178,COG,2,0,4.78,2.9,,84
"Congo, Democratic Republic of",41,180,COD,2,0,5.73,3.11,,1485
Costa Rica,41,188,CRI,2,0,15.4,24.13,,626
Croatia,41,191,HRV,2,0,29.44,80.58,,1692
Cuba,41,192,CUB,2,0,21.5,50.94,,2901
Cyprus,41,196,CYP,2,0,19.51,40.05,,245
Czechia,41,203,CZE,2,0,23.43,58.6,,3192
Benin,41,204,BEN,2,0,4.85,2.97,,190
Denmark,41,208,DNK,2,0,41.89,105.18,,3087
Dominican Republic,41,214,DOM,2,0,13.17,15.82,,876
Ecuador,41,218,ECU,2,0,12.55,15.06,,1364
El Salvador,41,222,SLV,2,0,8.16,11.35,,396
Equatorial Guinea,41,226,GNQ,2,0,4.03,2.41,,16
Ethiopia,41,231,ETH,2,0,8.42,5.31,,3204
Eritrea,41,232,ERI,2,0,6.26,4.49,,82
Estonia,41,233,EST,2,0,26.3,78.55,,545
Fiji,41,242,FJI,2,0,10.74,10.68,,48
Finland,41,246,FIN,2,0,23.61,67.42,,1897
France (metropolitan),41,250,FRA,2,0,27.4,72.94,,24684
French Guyana,41,254,GUF,2,0,11.35,10.72,,17
French Polynesia,41,258,PYF,2,0,9.57,14.25,,20
Djibouti,41,262,DJI,2,0,5.49,5.17,,25
Gabon,41,266,GAB,2,0,5.47,3.84,,44
Georgia,41,268,GEO,2,0,10.82,25.02,,520
The Republic of the Gambia,41,270,GMB,2,0,2.67,1.55,,20
Gaza Strip and West Bank,41,275,PSE,2,0,16.18,9.79,,258
Germany,41,276,DEU,2,0,20.51,69.26,,29347
Ghana,41,288,GHA,2,0,4.54,2.99,,478
Greece,41,300,GRC,2,0,21.5,66.89,,3513
"France, Guadeloupe",41,312,GLP,2,0,19.63,45.91,,99
Guam,41,316,GUM,2,0,13.76,22.33,,19
Guatemala,41,320,GTM,2,0,5.89,5.07,,478
Guinea,41,324,GIN,2,0,2.56,1.56,,111
Guyana,41,328,GUY,2,0,7.41,9.14,,36
Haiti,41,332,HTI,2,0,12.54,11.24,,665
Honduras,41,340,HND,2,0,6.78,5.67,,290
Hungary,41,348,HUN,2,0,30.36,79.44,,3996
Iceland,41,352,ISL,2,0,29.91,61.69,,106
India,41,356,IND,2,0,3.72,3.95,,26678
Indonesia,41,360,IDN,2,0,8.88,9.94,,13773
"Iran, Islamic Republic of",41,364,IRN,2,0,11.91,13.01,,5545
Iraq,41,368,IRQ,2,0,7.3,4.84,,1008
Ireland,41,372,IRL,2,0,26.14,53.16,,1343
Israel,41,376,ISR,2,0,21.29,34.95,,1564
Italy,41,380,ITA,2,0,26,82.76,,25559
"Côte d'Ivoire",41,384,CIV,2,0,6.75,3.53,,486
Jamaica,41,388,JAM,2,0,14.94,20.54,,309
Japan,41,392,JPN,2,0,28.54,101.6,,65321
Kazakhstan,41,398,KAZ,2,0,12.92,17.53,,1732
Jordan,41,400,JOR,2,0,16.2,12.7,,645
Kenya,41,404,KEN,2,0,10.24,5.65,,1599
"Korea, Democratic People Republic of",41,408,PRK,2,0,15.46,26.11,,3467
"Korea, Republic of",41,410,KOR,2,0,20.12,47.57,,12199
Kuwait,41,414,KWT,2,0,11.52,10.31,,175
