Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,12,4,AFG,2,0,1.09,0.51,,102
Albania,12,8,ALB,2,0,0.42,0.85,,12
Algeria,12,12,DZA,2,0,3.74,3.77,,846
Angola,12,24,AGO,2,0,0.24,0.11,,19
Azerbaijan,12,31,AZE,2,0,0.63,0.82,,42
Argentina,12,32,ARG,2,0,1.69,2.48,,585
Australia,12,36,AUS,2,0,0.76,1.8,,236
Austria,12,40,AUT,2,0,0.73,2.24,,103
Bahamas,12,44,BHS,2,0,1.45,1.94,,4
Bahrain,12,48,BHR,2,0,0.92,0.8,,5
Bangladesh,12,50,BGD,2,0,7.7,7.41,,6155
Armenia,12,51,ARM,2,0,1.28,2.54,,40
Barbados,12,52,BRB,2,0,0.68,1.35,,2
Belgium,12,56,BEL,2,0,0.35,0.99,,58
Bhutan,12,64,BTN,2,0,2.51,2.17,,8
Bolivia,12,68,BOL,2,0,8.36,10.02,,599
Bosnia Herzegovina,12,70,BIH,2,0,1.76,4.64,,77
Botswana,12,72,BWA,2,0,0,0,,0
Brazil,12,76,BRA,2,0,0.95,1.46,,1604
Belize,12,84,BLZ,2,0,0.73,0.48,,1
Solomon Islands,12,90,SLB,2,0,0.69,0.56,,2
Brunei Darussalam,12,96,BRN,2,0,0.9,0.93,,2
Bulgaria,12,100,BGR,2,0,0.47,1.48,,52
Myanmar,12,104,MMR,2,0,2.29,2.56,,732
Burundi,12,108,BDI,2,0,0.17,0.08,,5
Belarus,12,112,BLR,2,0,0.97,2.7,,136
Cambodia,12,116,KHM,2,0,1.09,0.94,,83
Cameroon,12,120,CMR,2,0,0.19,0.1,,14
Canada,12,124,CAN,2,0,0.69,1.73,,334
Cape Verde,12,132,CPV,2,0,0,0,,0
Central African Republic,12,140,CAF,2,0,0.45,0.24,,6
Sri Lanka,12,144,LKA,2,0,0.36,0.59,,66
Chad,12,148,TCD,2,0,0,0,,0
Chile,12,152,CHL,2,0,7.43,13.44,,1311
China,12,160,CHN,2,0,1.3,2.67,,18469
Colombia,12,170,COL,2,0,1.26,1.83,,481
Comoros,12,174,COM,2,0,0,0,,0
"Congo, Republic of",12,178,COG,2,0,0.15,0.07,,2
"Congo, Democratic Republic of",12,180,COD,2,0,0.23,0.11,,54
Costa Rica,12,188,CRI,2,0,0.97,1.66,,43
Croatia,12,191,HRV,2,0,1.63,5.62,,118
Cuba,12,192,CUB,2,0,0.44,0.91,,52
Cyprus,12,196,CYP,2,0,0.63,1.47,,9
Czechia,12,203,CZE,2,0,1.39,4.22,,230
Benin,12,204,BEN,2,0,0.39,0.31,,20
Denmark,12,208,DNK,2,0,0.69,1.87,,55
Dominican Republic,12,214,DOM,2,0,0.47,0.58,,32
Ecuador,12,218,ECU,2,0,1.29,1.55,,140
El Salvador,12,222,SLV,2,0,1.31,1.78,,62
Equatorial Guinea,12,226,GNQ,2,0,0.3,0.15,,1
Ethiopia,12,231,ETH,2,0,0.85,0.49,,293
Eritrea,12,232,ERI,2,0,1.17,0.77,,14
Estonia,12,233,EST,2,0,0.88,2.88,,20
Fiji,12,242,FJI,2,0,1.04,1.11,,5
Finland,12,246,FIN,2,0,0.66,1.99,,56
France (metropolitan),12,250,FRA,2,0,0.38,1.15,,389
French Guyana,12,254,GUF,2,0,0,0,,0
French Polynesia,12,258,PYF,2,0,2.35,3.56,,5
Djibouti,12,262,DJI,2,0,1.06,0.83,,4
Gabon,12,266,GAB,2,0,0.75,0.52,,6
Georgia,12,268,GEO,2,0,1.5,3.61,,75
The Republic of the Gambia,12,270,GMB,2,0,0,0,,0
Gaza Strip and West Bank,12,275,PSE,2,0,1.67,0.91,,24
Germany,12,276,DEU,2,0,0.71,2.7,,1144
Ghana,12,288,GHA,2,0,0.15,0.13,,20
Greece,12,300,GRC,2,0,0.27,0.99,,52
"France, Guadeloupe",12,312,GLP,2,0,1.75,4.64,,10
Guam,12,316,GUM,2,0,0,0,,0
Guatemala,12,320,GTM,2,0,0.4,0.33,,31
Guinea,12,324,GIN,2,0,0.1,0.08,,6
Guyana,12,328,GUY,2,0,0.71,0.76,,3
Haiti,12,332,HTI,2,0,1.29,1.12,,66
Honduras,12,340,HND,2,0,2.47,2.03,,104
Hungary,12,348,HUN,2,0,0.82,2.74,,138
Iceland,12,352,ISL,2,0,0.56,2.33,,4
India,12,356,IND,2,0,2.08,2.21,,14936
Indonesia,12,360,IDN,2,0,0.14,0.15,,210
"Iran, Islamic Republic of",12,364,IRN,2,0,0.56,0.59,,251
Iraq,12,368,IRQ,2,0,0.82,0.49,,102
Ireland,12,372,IRL,2,0,1.09,2.41,,61
Israel,12,376,ISR,2,0,0.73,1.23,,55
Italy,12,380,ITA,2,0,0.71,2.47,,763
"Côte d'Ivoire",12,384,CIV,2,0,0.94,0.56,,77
Jamaica,12,388,JAM,2,0,1.76,2.26,,34
Japan,12,392,JPN,2,0,1.88,9.84,,6327
Kazakhstan,12,398,KAZ,2,0,0.6,0.83,,82
Jordan,12,400,JOR,2,0,1.23,0.91,,46
Kenya,12,404,KEN,2,0,1.97,1.05,,298
"Korea, Democratic People Republic of",12,408,PRK,2,0,2.28,4.15,,551
"Korea, Republic of",12,410,KOR,2,0,2.36,6.47,,1660
Kuwait,12,414,KWT,2,0,1.18,0.88,,15
Kyrgyzstan,12,417,KGZ,2,0,1.27,1.15,,39
"Lao People's Democratic Republic",12,418,LAO,2,0,1.2,0.91,,34
Lebanon,12,422,LBN,2,0,0.79,1,,33
Lesotho,12,426,LSO,2,0,0,0,,0
Latvia,12,428,LVA,2,0,0.81,2.71,,27
Liberia,12,430,LBR,2,0,0.56,0.38,,10
Libya,12,434,LBY,2,0,3.25,3.12,,109
Lithuania,12,440,LTU,2,0,0.86,3.01,,43
Luxembourg,12,442,LUX,2,0,0,0,,0
Madagascar,12,450,MDG,2,0,0.15,0.08,,12
Malawi,12,454,MWI,2,0,0.08,0.05,,5
Malaysia,12,458,MYS,2,0,0.94,1.05,,170
Maldives,12,462,MDV,2,0,0,0,,0
Mali,12,466,MLI,2,0,0.29,0.14,,15
Malta,12,470,MLT,2,0,0.37,1.36,,3
"France, Martinique",12,474,MTQ,2,0,0.89,2.97,,6
Mauritania,12,478,MRT,2,0,0.71,0.49,,12
Mauritius,12,480,MUS,2,0,1.11,2.16,,14
Mexico,12,484,MEX,2,0,1.29,1.55,,1041
Mongolia,12,496,MNG,2,0,0.31,0.29,,5
Moldova,12,498,MDA,2,0,0.39,0.86,,18
Montenegro,12,499,MNE,2,0,1.02,2.52,,8
Morocco,12,504,MAR,2,0,1.73,2.07,,393
