Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,29,4,AFG,2,0,1.59,1.02,,202
Albania,29,8,ALB,2,0,2.07,3.41,,48
Algeria,29,12,DZA,2,0,1.39,1.38,,310
Angola,29,24,AGO,2,0,1.16,1.48,,262
Azerbaijan,29,31,AZE,2,0,1.67,2,,103
Argentina,29,32,ARG,2,0,4.45,6.36,,1499
Australia,29,36,AUS,2,0,5.15,9.13,,1195
Austria,29,40,AUT,2,0,5.12,11.35,,521
Bahamas,29,44,BHS,2,0,0.8,0.97,,2
Bahrain,29,48,BHR,2,0,1.5,1.28,,8
Bangladesh,29,50,BGD,2,0,0.76,0.69,,572
Armenia,29,51,ARM,2,0,2.95,5.34,,84
Barbados,29,52,BRB,2,0,1.66,2.7,,4
Belgium,29,56,BEL,2,0,5.25,11.25,,661
Bhutan,29,64,BTN,2,0,0,0,,0
Bolivia,29,68,BOL,2,0,2.63,3.2,,191
Bosnia Herzegovina,29,70,BIH,2,0,3.23,6.81,,113
Botswana,29,72,BWA,2,0,0.83,0.72,,9
Brazil,29,76,BRA,2,0,2.62,3.69,,4042
Belize,29,84,BLZ,2,0,1.2,0.96,,2
Solomon Islands,29,90,SLB,2,0,0.89,0.85,,3
Brunei Darussalam,29,96,BRN,2,0,3.3,3.73,,8
Bulgaria,29,100,BGR,2,0,3.88,7.98,,281
Myanmar,29,104,MMR,2,0,0.59,0.64,,183
Burundi,29,108,BDI,2,0,1.12,1.02,,65
Belarus,29,112,BLR,2,0,7.66,14.61,,736
Cambodia,29,116,KHM,2,0,0.59,0.56,,49
Cameroon,29,120,CMR,2,0,0.49,0.38,,53
Canada,29,124,CAN,2,0,6.8,13.36,,2583
Cape Verde,29,132,CPV,2,0,1.3,1.06,,3
Central African Republic,29,140,CAF,2,0,1,0.71,,18
Sri Lanka,29,144,LKA,2,0,0.59,0.88,,99
Chad,29,148,TCD,2,0,1.63,0.93,,81
Chile,29,152,CHL,2,0,4.78,7.62,,743
China,29,160,CHN,2,0,2.21,3.81,,26350
Colombia,29,170,COL,2,0,3.28,4.27,,1120
Comoros,29,174,COM,2,0,0.56,0.67,,3
"Congo, Republic of",29,178,COG,2,0,0.58,0.62,,18
"Congo, Democratic Republic of",29,180,COD,2,0,1.05,0.9,,429
Costa Rica,29,188,CRI,2,0,2.1,2.85,,74
Croatia,29,191,HRV,2,0,6.96,15.57,,327
Cuba,29,192,CUB,2,0,2.37,4.46,,254
Cyprus,29,196,CYP,2,0,2.98,5.56,,34
Czechia,29,203,CZE,2,0,8.17,19.74,,1075
Benin,29,204,BEN,2,0,0.81,0.55,,35
Denmark,29,208,DNK,2,0,7.33,14.89,,437
Dominican Republic,29,214,DOM,2,0,1.2,1.19,,66
Ecuador,29,218,ECU,2,0,2.38,2.59,,235
El Salvador,29,222,SLV,2,0,1.55,1.84,,64
Equatorial Guinea,29,226,GNQ,2,0,0.77,0.6,,4
Ethiopia,29,231,ETH,2,0,1.74,1.28,,772
Eritrea,29,232,ERI,2,0,1.82,1.37,,25
Estonia,29,233,EST,2,0,8.04,20.76,,144
Fiji,29,242,FJI,2,0,0.94,0.89,,4
Finland,29,246,FIN,2,0,6.09,15.53,,437
France (metropolitan),29,250,FRA,2,0,7.84,15.63,,5288
French Guyana,29,254,GUF,2,0,1.46,1.26,,2
French Polynesia,29,258,PYF,2,0,0.59,0.71,,1
Djibouti,29,262,DJI,2,0,1.69,1.45,,7
Gabon,29,266,GAB,2,0,1.57,1.22,,14
