Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,14,4,AFG,2,0,0.41,0.24,,47
Albania,14,8,ALB,2,0,0.83,1.7,,24
Algeria,14,12,DZA,2,0,0.3,0.3,,68
Angola,14,24,AGO,2,0,0.88,0.41,,72
Azerbaijan,14,31,AZE,2,0,0.95,1.24,,64
Argentina,14,32,ARG,2,0,0.54,0.82,,192
Australia,14,36,AUS,2,0,0.23,0.44,,57
Austria,14,40,AUT,2,0,0.47,1.02,,47
Bahamas,14,44,BHS,2,0,0,0,,0
Bahrain,14,48,BHR,2,0,0,0,,0
Bangladesh,14,50,BGD,2,0,0.97,0.91,,758
Armenia,14,51,ARM,2,0,0.46,0.95,,15
Barbados,14,52,BRB,2,0,0,0,,0
Belgium,14,56,BEL,2,0,0.63,1.21,,71
Bhutan,14,64,BTN,2,0,0.89,0.81,,3
Bolivia,14,68,BOL,2,0,0.58,0.59,,35
Bosnia Herzegovina,14,70,BIH,2,0,0.93,2.05,,34
Botswana,14,72,BWA,2,0,0.4,0.32,,4
Brazil,14,76,BRA,2,0,1.06,1.53,,1676
Belize,14,84,BLZ,2,0,0,0,,0
Solomon Islands,14,90,SLB,2,0,1.02,0.85,,3
Brunei Darussalam,14,96,BRN,2,0,0,0,,0
Bulgaria,14,100,BGR,2,0,0.61,1.19,,42
Myanmar,14,104,MMR,2,0,0.51,0.56,,161
Burundi,14,108,BDI,2,0,0.47,0.24,,15
Belarus,14,112,BLR,2,0,0.28,0.54,,27
Cambodia,14,116,KHM,2,0,0.23,0.2,,18
Cameroon,14,120,CMR,2,0,0.14,0.07,,10
Canada,14,124,CAN,2,0,0.32,0.67,,130
Cape Verde,14,132,CPV,2,0,0.32,0.35,,1
Central African Republic,14,140,CAF,2,0,0.17,0.08,,2
Sri Lanka,14,144,LKA,2,0,0.56,0.94,,106
Chad,14,148,TCD,2,0,0.28,0.25,,22
Chile,14,152,CHL,2,0,0.14,0.31,,30
China,14,160,CHN,2,0,0.17,0.33,,2292
Colombia,14,170,COL,2,0,0.41,0.58,,151
Comoros,14,174,COM,2,0,0,0,,0
"Congo, Republic of",14,178,COG,2,0,0.37,0.21,,6
"Congo, Democratic Republic of",14,180,COD,2,0,0.21,0.12,,56
Costa Rica,14,188,CRI,2,0,0.22,0.35,,9
Croatia,14,191,HRV,2,0,0.45,1,,21
Cuba,14,192,CUB,2,0,2.29,5.18,,295
Cyprus,14,196,CYP,2,0,0.32,0.49,,3
Czechia,14,203,CZE,2,0,0.38,0.94,,51
Benin,14,204,BEN,2,0,0.12,0.09,,6
Denmark,14,208,DNK,2,0,0.75,1.57,,46
Dominican Republic,14,214,DOM,2,0,1.16,1.35,,75
Ecuador,14,218,ECU,2,0,0.2,0.24,,22
El Salvador,14,222,SLV,2,0,0.24,0.34,,12
