Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,36,4,AFG,2,0,2.88,2.56,,509
Albania,36,8,ALB,2,0,5.34,7.39,,104
Algeria,36,12,DZA,2,0,3.27,3.32,,746
Angola,36,24,AGO,2,0,2.08,1.53,,271
Azerbaijan,36,31,AZE,2,0,4.24,4.08,,210
Argentina,36,32,ARG,2,0,4.27,5.55,,1307
Australia,36,36,AUS,2,0,7.76,13.42,,1757
Austria,36,40,AUT,2,0,6.25,11.55,,530
Bahamas,36,44,BHS,2,0,4.12,4.86,,10
Bahrain,36,48,BHR,2,0,4.18,3.51,,22
Bangladesh,36,50,BGD,2,0,1.44,1.43,,1189
Armenia,36,51,ARM,2,0,3.45,4.76,,75
Barbados,36,52,BRB,2,0,6.51,10.11,,15
Belgium,36,56,BEL,2,0,9.41,17.63,,1036
Bhutan,36,64,BTN,2,0,2.13,1.9,,7
Bolivia,36,68,BOL,2,0,3.66,4.03,,241
Bosnia Herzegovina,36,70,BIH,2,0,3.81,7.3,,121
Botswana,36,72,BWA,2,0,1.51,1.43,,18
Brazil,36,76,BRA,2,0,3.93,4.78,,5242
Belize,36,84,BLZ,2,0,2.78,2.41,,5
Solomon Islands,36,90,SLB,2,0,2.47,2.26,,8
Brunei Darussalam,36,96,BRN,2,0,5.65,5.59,,12
Bulgaria,36,100,BGR,2,0,4.61,8.29,,292
Myanmar,36,104,MMR,2,0,2.79,2.83,,809
Burundi,36,108,BDI,2,0,2.09,1.49,,95
Belarus,36,112,BLR,2,0,6.77,11.79,,594
Cambodia,36,116,KHM,2,0,4.37,4.17,,366
Cameroon,36,120,CMR,2,0,1.69,1.14,,159
Canada,36,124,CAN,2,0,9.28,17.66,,3413
Cape Verde,36,132,CPV,2,0,1.15,1.06,,3
Central African Republic,36,140,CAF,2,0,2.55,1.66,,42
Sri Lanka,36,144,LKA,2,0,2.91,3.5,,394
Chad,36,148,TCD,2,0,0.66,0.28,,24
Chile,36,152,CHL,2,0,5.61,7.15,,697
China,36,160,CHN,2,0,3.94,5.06,,34970
Colombia,36,170,COL,2,0,5.34,6.01,,1576
Comoros,36,174,COM,2,0,0.68,0.67,,3
"Congo, Republic of",36,178,COG,2,0,2.23,1.66,,48
"Congo, Democratic Republic of",36,180,COD,2,0,1.91,1.36,,647
Costa Rica,36,188,CRI,2,0,5.46,6.51,,169
Croatia,36,191,HRV,2,0,7.48,15.05,,316
Cuba,36,192,CUB,2,0,4.98,7.36,,419
Cyprus,36,196,CYP,2,0,8.79,16.51,,101
Czechia,36,203,CZE,2,0,5.97,13.51,,736
Benin,36,204,BEN,2,0,2.27,1.7,,109
Denmark,36,208,DNK,2,0,7.91,15.74,,462
Dominican Republic,36,214,DOM,2,0,4.48,4.86,,269
