Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,11,4,AFG,2,0,3.74,1.89,,376
Albania,11,8,ALB,2,0,2.36,5.11,,72
Algeria,11,12,DZA,2,0,1.43,1.48,,332
Angola,11,24,AGO,2,0,4.98,2.38,,421
Azerbaijan,11,31,AZE,2,0,5.21,6.83,,352
Argentina,11,32,ARG,2,0,2.45,4.1,,966
Australia,11,36,AUS,2,0,3.16,6.68,,875
Austria,11,40,AUT,2,0,2.37,6.49,,298
Bahamas,11,44,BHS,2,0,1.94,2.92,,6
Bahrain,11,48,BHR,2,0,2.38,1.91,,12
Bangladesh,11,50,BGD,2,0,1.12,1.03,,852
Armenia,11,51,ARM,2,0,7.2,14.55,,229
Barbados,11,52,BRB,2,0,1.62,4.72,,7
Belgium,11,56,BEL,2,0,2.5,7.3,,429
Bhutan,11,64,BTN,2,0,2.27,1.9,,7
Bolivia,11,68,BOL,2,0,7.38,8.15,,487
Bosnia Herzegovina,11,70,BIH,2,0,5.02,13.08,,217
Botswana,11,72,BWA,2,0,1.47,1.27,,16
Brazil,11,76,BRA,2,0,3.3,5.16,,5660
Belize,11,84,BLZ,2,0,5.03,4.82,,10
Solomon Islands,11,90,SLB,2,0,4.88,3.39,,12
Brunei Darussalam,11,96,BRN,2,0,4.98,5.13,,11
Bulgaria,11,100,BGR,2,0,2.8,7.87,,277
Myanmar,11,104,MMR,2,0,6.45,7.23,,2069
Burundi,11,108,BDI,2,0,4.51,2.19,,139
Belarus,11,112,BLR,2,0,1.6,3.75,,189
Cambodia,11,116,KHM,2,0,14.1,12.56,,1103
Cameroon,11,120,CMR,2,0,3.04,1.76,,245
Canada,11,124,CAN,2,0,3.78,9.08,,1754
Cape Verde,11,132,CPV,2,0,0.42,0.35,,1
Central African Republic,11,140,CAF,2,0,3.81,2.1,,53
Sri Lanka,11,144,LKA,2,0,0.66,1.08,,121
Chad,11,148,TCD,2,0,15.35,7.73,,674
Chile,11,152,CHL,2,0,3.71,7.48,,730
China,11,160,CHN,2,0,7.42,14.44,,99759
Colombia,11,170,COL,2,0,3.32,5.08,,1333
Comoros,11,174,COM,2,0,3.92,2.67,,12
"Congo, Republic of",11,178,COG,2,0,4.26,2.79,,81
"Congo, Democratic Republic of",11,180,COD,2,0,3.95,2.16,,1031
Costa Rica,11,188,CRI,2,0,3.95,7.09,,184
Croatia,11,191,HRV,2,0,2.75,8.52,,179
Cuba,11,192,CUB,2,0,3.54,8.22,,468
Cyprus,11,196,CYP,2,0,3.74,8.01,,49
Czechia,11,203,CZE,2,0,2.51,7.29,,397
Benin,11,204,BEN,2,0,5.05,3.13,,200
Denmark,11,208,DNK,2,0,2.77,8.14,,239
Dominican Republic,11,214,DOM,2,0,5.97,7.15,,396
