Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,18,4,AFG,2,0,0.05,0.03,,5
Albania,18,8,ALB,2,0,0.43,0.64,,9
Algeria,18,12,DZA,2,0,0.08,0.08,,19
Angola,18,24,AGO,2,0,0,0,,0
Azerbaijan,18,31,AZE,2,0,0.17,0.19,,10
Argentina,18,32,ARG,2,0,0.3,0.48,,112
Australia,18,36,AUS,2,0,0.61,1.41,,184
Austria,18,40,AUT,2,0,0.3,0.63,,29
Bahamas,18,44,BHS,2,0,0,0,,0
Bahrain,18,48,BHR,2,0,0,0,,0
Bangladesh,18,50,BGD,2,0,0.01,0.01,,6
Armenia,18,51,ARM,2,0,0.47,0.83,,13
Barbados,18,52,BRB,2,0,0,0,,0
Belgium,18,56,BEL,2,0,0.42,1.11,,65
Bhutan,18,64,BTN,2,0,0,0,,0
Bolivia,18,68,BOL,2,0,0.06,0.07,,4
Bosnia Herzegovina,18,70,BIH,2,0,0.07,0.18,,3
Botswana,18,72,BWA,2,0,0,0,,0
Brazil,18,76,BRA,2,0,0.04,0.06,,65
Belize,18,84,BLZ,2,0,0,0,,0
Solomon Islands,18,90,SLB,2,0,0,0,,0
Brunei Darussalam,18,96,BRN,2,0,0,0,,0
Bulgaria,18,100,BGR,2,0,0.29,0.6,,21
Myanmar,18,104,MMR,2,0,0.01,0.02,,5
Burundi,18,108,BDI,2,0,0.06,0.03,,2
Belarus,18,112,BLR,2,0,0.17,0.38,,19
Cambodia,18,116,KHM,2,0,0.01,0.01,,1
Cameroon,18,120,CMR,2,0,0,0,,0
Canada,18,124,CAN,2,0,0.32,0.79,,152
Cape Verde,18,132,CPV,2,0,0,0,,0
Central African Republic,18,140,CAF,2,0,0,0,,0
Sri Lanka,18,144,LKA,2,0,0.01,0.02,,2
Chad,18,148,TCD,2,0,0,0,,0
Chile,18,152,CHL,2,0,0.16,0.27,,26
China,18,160,CHN,2,0,0.09,0.16,,1093
Colombia,18,170,COL,2,0,0.14,0.19,,49
Comoros,18,174,COM,2,0,0,0,,0
"Congo, Republic of",18,178,COG,2,0,0,0,,0
"Congo, Democratic Republic of",18,180,COD,2,0,0.01,0,,2
Costa Rica,18,188,CRI,2,0,0.03,0.04,,1
Croatia,18,191,HRV,2,0,0.23,0.62,,13
Cuba,18,192,CUB,2,0,0.05,0.11,,6
Cyprus,18,196,CYP,2,0,0.28,0.65,,4
Czechia,18,203,CZE,2,0,0.15,0.33,,18
Benin,18,204,BEN,2,0,0,0,,0
Denmark,18,208,DNK,2,0,0.46,1.16,,34
Dominican Republic,18,214,DOM,2,0,0.02,0.02,,1
Ecuador,18,218,ECU,2,0,0.11,0.14,,13
El Salvador,18,222,SLV,2,0,0,0,,0
Equatorial Guinea,18,226,GNQ,2,0,0,0,,0
Ethiopia,18,231,ETH,2,0,0.01,0,,3
Eritrea,18,232,ERI,2,0,0,0,,0
Estonia,18,233,EST,2,0,0.08,0.29,,2
Fiji,18,242,FJI,2,0,0,0,,0
Finland,18,246,FIN,2,0,0.42,1.35,,38
France (metropolitan),18,250,FRA,2,0,0.39,1.43,,485
French Guyana,18,254,GUF,2,0,0,0,,0
French Polynesia,18,258,PYF,2,0,0,0,,0
Djibouti,18,262,DJI,2,0,0,0,,0
Gabon,18,266,GAB,2,0,0,0,,0
Georgia,18,268,GEO,2,0,0.1,0.24,,5
The Republic of the Gambia,18,270,GMB,2,0,0,0,,0
Gaza Strip and West Bank,18,275,PSE,2,0,0.06,0.04,,1
Germany,18,276,DEU,2,0,0.25,0.76,,323
Ghana,18,288,GHA,2,0,0,0,,0
Greece,18,300,GRC,2,0,0.2,0.55,,29
"France, Guadeloupe",18,312,GLP,2,0,0,0,,0
Guam,18,316,GUM,2,0,0,0,,0
Guatemala,18,320,GTM,2,0,0,0,,0
Guinea,18,324,GIN,2,0,0,0,,0
Guyana,18,328,GUY,2,0,0,0,,0
Haiti,18,332,HTI,2,0,0,0,,0
Honduras,18,340,HND,2,0,0.13,0.12,,6
Hungary,18,348,HUN,2,0,0.2,0.48,,24
Iceland,18,352,ISL,2,0,0,0,,0
India,18,356,IND,2,0,0.11,0.12,,793
Indonesia,18,360,IDN,2,0,0.03,0.03,,42
"Iran, Islamic Republic of",18,364,IRN,2,0,0.02,0.02,,8
