Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,35,4,AFG,2,0,0.57,0.29,,57
Albania,35,8,ALB,2,0,1.14,2.13,,30
Algeria,35,12,DZA,2,0,1.61,1.63,,365
Angola,35,24,AGO,2,0,1.12,0.47,,84
Azerbaijan,35,31,AZE,2,0,0.91,1.11,,57
Argentina,35,32,ARG,2,0,1.31,2.05,,483
Australia,35,36,AUS,2,0,3.79,8.11,,1062
Austria,35,40,AUT,2,0,1.98,5.55,,255
Bahamas,35,44,BHS,2,0,3.93,5.34,,11
Bahrain,35,48,BHR,2,0,1.88,1.6,,10
Bangladesh,35,50,BGD,2,0,0.37,0.34,,285
Armenia,35,51,ARM,2,0,0.59,1.02,,16
Barbados,35,52,BRB,2,0,6.17,12.13,,18
Belgium,35,56,BEL,2,0,3.28,8.07,,474
Bhutan,35,64,BTN,2,0,0,0,,0
Bolivia,35,68,BOL,2,0,0.28,0.27,,16
Bosnia Herzegovina,35,70,BIH,2,0,1.06,2.47,,41
Botswana,35,72,BWA,2,0,1,0.8,,10
Brazil,35,76,BRA,2,0,1.56,2.37,,2596
Belize,35,84,BLZ,2,0,0,0,,0
Solomon Islands,35,90,SLB,2,0,0.74,0.56,,2
Brunei Darussalam,35,96,BRN,2,0,0,0,,0
Bulgaria,35,100,BGR,2,0,1.26,2.98,,105
Myanmar,35,104,MMR,2,0,0.44,0.49,,139
Burundi,35,108,BDI,2,0,0.66,0.31,,20
Belarus,35,112,BLR,2,0,1.86,4.17,,210
Cambodia,35,116,KHM,2,0,1.02,0.92,,81
Cameroon,35,120,CMR,2,0,0.66,0.33,,46
Canada,35,124,CAN,2,0,4.2,10.34,,1999
Cape Verde,35,132,CPV,2,0,0.93,1.06,,3
Central African Republic,35,140,CAF,2,0,0.93,0.47,,12
Sri Lanka,35,144,LKA,2,0,1.31,2.14,,241
Chad,35,148,TCD,2,0,0.68,0.31,,27
Chile,35,152,CHL,2,0,2.18,3.94,,384
China,35,160,CHN,2,0,1.06,1.95,,13497
Colombia,35,170,COL,2,0,1.56,2.12,,556
Comoros,35,174,COM,2,0,0,0,,0
