Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,4,4,AFG,2,0,0.27,0.2,,40
Albania,4,8,ALB,2,0,0.48,0.85,,12
Algeria,4,12,DZA,2,0,2.15,2.22,,499
Angola,4,24,AGO,2,0,0.07,0.05,,8
Azerbaijan,4,31,AZE,2,0,0.32,0.37,,19
Argentina,4,32,ARG,2,0,0.13,0.18,,42
Australia,4,36,AUS,2,0,0.27,0.37,,48
Austria,4,40,AUT,2,0,0.15,0.26,,12
Bahamas,4,44,BHS,2,0,0,0,,0
Bahrain,4,48,BHR,2,0,0.51,0.32,,2
Bangladesh,4,50,BGD,2,0,0.34,0.34,,280
Armenia,4,51,ARM,2,0,0.13,0.19,,3
Barbados,4,52,BRB,2,0,0,0,,0
Belgium,4,56,BEL,2,0,0.21,0.27,,16
Bhutan,4,64,BTN,2,0,0.99,0.81,,3
Bolivia,4,68,BOL,2,0,0,0,,0
Bosnia Herzegovina,4,70,BIH,2,0,0.09,0.18,,3
Botswana,4,72,BWA,2,0,0.25,0.24,,3
Brazil,4,76,BRA,2,0,0.18,0.24,,263
Belize,4,84,BLZ,2,0,0,0,,0
Solomon Islands,4,90,SLB,2,0,0,0,,0
Brunei Darussalam,4,96,BRN,2,0,4,4.66,,10
Bulgaria,4,100,BGR,2,0,0.54,0.82,,29
Myanmar,4,104,MMR,2,0,2.14,2.44,,697
Burundi,4,108,BDI,2,0,0.84,0.44,,28
Belarus,4,112,BLR,2,0,0.06,0.14,,7
Cambodia,4,116,KHM,2,0,1.01,0.96,,84
Cameroon,4,120,CMR,2,0,1.57,0.98,,136
Canada,4,124,CAN,2,0,0.31,0.47,,90
Cape Verde,4,132,CPV,2,0,0,0,,0
Central African Republic,4,140,CAF,2,0,1.01,0.63,,16
Sri Lanka,4,144,LKA,2,0,0.08,0.15,,17
Chad,4,148,TCD,2,0,0.8,0.31,,27
Chile,4,152,CHL,2,0,0.08,0.14,,14
China,4,160,CHN,2,0,1.33,2.08,,14354
Colombia,4,170,COL,2,0,0.17,0.23,,60
Comoros,4,174,COM,2,0,0,0,,0
"Congo, Republic of",4,178,COG,2,0,0.36,0.24,,7
"Congo, Democratic Republic of",4,180,COD,2,0,0.71,0.43,,207
Costa Rica,4,188,CRI,2,0,0.04,0.08,,2
Croatia,4,191,HRV,2,0,0.08,0.24,,5
Cuba,4,192,CUB,2,0,0.32,0.54,,31
Cyprus,4,196,CYP,2,0,0.13,0.16,,1
Czechia,4,203,CZE,2,0,0.13,0.26,,14
Benin,4,204,BEN,2,0,0.76,0.48,,31
Denmark,4,208,DNK,2,0,0.12,0.2,,6
Dominican Republic,4,214,DOM,2,0,0.22,0.23,,13
Ecuador,4,218,ECU,2,0,0.13,0.18,,16
El Salvador,4,222,SLV,2,0,0.08,0.11,,4
Equatorial Guinea,4,226,GNQ,2,0,0,0,,0
Ethiopia,4,231,ETH,2,0,0.68,0.5,,299
Eritrea,4,232,ERI,2,0,0.86,0.66,,12
Estonia,4,233,EST,2,0,0.02,0.14,,1
Fiji,4,242,FJI,2,0,0,0,,0
Finland,4,246,FIN,2,0,0.14,0.21,,6
France (metropolitan),4,250,FRA,2,0,0.21,0.28,,95
French Guyana,4,254,GUF,2,0,0,0,,0
French Polynesia,4,258,PYF,2,0,0.47,0.71,,1
Djibouti,4,262,DJI,2,0,0,0,,0
Gabon,4,266,GAB,2,0,0.52,0.35,,4
Georgia,4,268,GEO,2,0,0.4,0.63,,13
The Republic of the Gambia,4,270,GMB,2,0,0,0,,0
Gaza Strip and West Bank,4,275,PSE,2,0,0.14,0.11,,3
Germany,4,276,DEU,2,0,0.17,0.3,,126
Ghana,4,288,GHA,2,0,0.46,0.43,,69
Greece,4,300,GRC,2,0,0.35,0.76,,40
"France, Guadeloupe",4,312,GLP,2,0,0,0,,0
Guam,4,316,GUM,2,0,0,0,,0
Guatemala,4,320,GTM,2,0,0.06,0.05,,5
Guinea,4,324,GIN,2,0,0.03,0.03,,2
Guyana,4,328,GUY,2,0,0.23,0.25,,1
Haiti,4,332,HTI,2,0,0.1,0.08,,5
Honduras,4,340,HND,2,0,0.12,0.12,,6
Hungary,4,348,HUN,2,0,0.25,0.42,,21
Iceland,4,352,ISL,2,0,0,0,,0
India,4,356,IND,2,0,0.31,0.33,,2244
Indonesia,4,360,IDN,2,0,2.79,3.13,,4338
"Iran, Islamic Republic of",4,364,IRN,2,0,0.21,0.22,,95
Iraq,4,368,IRQ,2,0,0.25,0.18,,38
Ireland,4,372,IRL,2,0,0.1,0.16,,4
Israel,4,376,ISR,2,0,0.28,0.36,,16
Italy,4,380,ITA,2,0,0.31,0.48,,148
"Côte d'Ivoire",4,384,CIV,2,0,0.42,0.37,,51
Jamaica,4,388,JAM,2,0,0.55,0.73,,11
Japan,4,392,JPN,2,0,0.17,0.34,,220
