Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,34,4,AFG,2,0,1.79,1.26,,251
Albania,34,8,ALB,2,0,1.96,2.7,,38
Algeria,34,12,DZA,2,0,4.06,4.16,,933
Angola,34,24,AGO,2,0,2.06,1.68,,298
Azerbaijan,34,31,AZE,2,0,3,3.67,,189
Argentina,34,32,ARG,2,0,5.58,7.72,,1819
Australia,34,36,AUS,2,0,10.21,19.47,,2549
Austria,34,40,AUT,2,0,7.24,15.79,,725
Bahamas,34,44,BHS,2,0,5.13,6.32,,13
Bahrain,34,48,BHR,2,0,5.59,4.31,,27
Bangladesh,34,50,BGD,2,0,1.29,1.22,,1010
Armenia,34,51,ARM,2,0,2.26,3.3,,52
Barbados,34,52,BRB,2,0,11.05,17.52,,26
Belgium,34,56,BEL,2,0,8.76,19.72,,1159
Bhutan,34,64,BTN,2,0,1.95,1.63,,6
Bolivia,34,68,BOL,2,0,2.45,2.53,,151
Bosnia Herzegovina,34,70,BIH,2,0,3.41,6.03,,100
Botswana,34,72,BWA,2,0,3.7,3.74,,47
Brazil,34,76,BRA,2,0,3.19,4.5,,4931
Belize,34,84,BLZ,2,0,1.71,1.45,,3
Solomon Islands,34,90,SLB,2,0,0.58,0.56,,2
Brunei Darussalam,34,96,BRN,2,0,8.3,9.32,,20
Bulgaria,34,100,BGR,2,0,3.14,6.28,,221
Myanmar,34,104,MMR,2,0,2.82,3.15,,901
Burundi,34,108,BDI,2,0,4.18,2.77,,176
Belarus,34,112,BLR,2,0,5.37,10.28,,518
Cambodia,34,116,KHM,2,0,3.74,3.51,,308
Cameroon,34,120,CMR,2,0,7.72,5.25,,732
Canada,34,124,CAN,2,0,10.38,22.11,,4273
Cape Verde,34,132,CPV,2,0,2.4,2.12,,6
Central African Republic,34,140,CAF,2,0,3.44,2.13,,54
Sri Lanka,34,144,LKA,2,0,2.4,3.72,,419
Chad,34,148,TCD,2,0,0.81,0.56,,49
Chile,34,152,CHL,2,0,4.04,6.66,,650
China,34,160,CHN,2,0,3.02,5.12,,35351
Colombia,34,170,COL,2,0,4.65,6.23,,1635
Comoros,34,174,COM,2,0,3.98,3.34,,15
"Congo, Republic of",34,178,COG,2,0,0.88,0.69,,20
"Congo, Democratic Republic of",34,180,COD,2,0,2.67,1.81,,861
Costa Rica,34,188,CRI,2,0,3.98,6.21,,161
Croatia,34,191,HRV,2,0,8.61,19.38,,407
Cuba,34,192,CUB,2,0,6.34,10.43,,594
Cyprus,34,196,CYP,2,0,9.72,16.51,,101
Czechia,34,203,CZE,2,0,6.95,15.83,,862
Benin,34,204,BEN,2,0,1.98,1.3,,83
Denmark,34,208,DNK,2,0,11.51,26.34,,773
Dominican Republic,34,214,DOM,2,0,2.28,2.44,,135
Ecuador,34,218,ECU,2,0,6.73,7.71,,698
El Salvador,34,222,SLV,2,0,2.23,2.64,,92
Equatorial Guinea,34,226,GNQ,2,0,4.91,3.61,,24
Ethiopia,34,231,ETH,2,0,3.19,2.3,,1390
Eritrea,34,232,ERI,2,0,3.26,2.46,,45
Estonia,34,233,EST,2,0,7.41,19.03,,132
Fiji,34,242,FJI,2,0,4.25,4.67,,21
Finland,34,246,FIN,2,0,9.53,24.59,,692
France (metropolitan),34,250,FRA,2,0,8.52,21.44,,7255
French Guyana,34,254,GUF,2,0,7.06,6.93,,11
French Polynesia,34,258,PYF,2,0,5.35,7.12,,10
Djibouti,34,262,DJI,2,0,2.91,2.69,,13
Gabon,34,266,GAB,2,0,3.73,3.14,,36
Georgia,34,268,GEO,2,0,3.91,6.78,,141
The Republic of the Gambia,34,270,GMB,2,0,0.93,0.93,,12
Gaza Strip and West Bank,34,275,PSE,2,0,6.56,4.36,,115
Germany,34,276,DEU,2,0,6.35,20.07,,8505
Ghana,34,288,GHA,2,0,4.23,3.68,,588
Greece,34,300,GRC,2,0,4.85,12.26,,644
"France, Guadeloupe",34,312,GLP,2,0,3.99,8.81,,19
Guam,34,316,GUM,2,0,3.45,5.88,,5
Guatemala,34,320,GTM,2,0,2.13,1.75,,165
Guinea,34,324,GIN,2,0,2.27,1.84,,131
Guyana,34,328,GUY,2,0,4.3,4.31,,17
Haiti,34,332,HTI,2,0,3.07,2.82,,167
Honduras,34,340,HND,2,0,5.7,5.09,,260
Hungary,34,348,HUN,2,0,6.02,12.9,,649
Iceland,34,352,ISL,2,0,9.37,17.46,,30
India,34,356,IND,2,0,2.06,2.17,,14675
Indonesia,34,360,IDN,2,0,3.9,4.27,,5917
"Iran, Islamic Republic of",34,364,IRN,2,0,2.81,3.02,,1286
Iraq,34,368,IRQ,2,0,6.58,4.77,,994
Ireland,34,372,IRL,2,0,9.89,17.85,,451
Israel,34,376,ISR,2,0,10.64,15.48,,693
Italy,34,380,ITA,2,0,9.44,22.2,,6857
"Côte d'Ivoire",34,384,CIV,2,0,4.41,3.18,,438
Jamaica,34,388,JAM,2,0,5.11,6.11,,92
Japan,34,392,JPN,2,0,6.26,25.78,,16572
Kazakhstan,34,398,KAZ,2,0,2,2.46,,243
Jordan,34,400,JOR,2,0,5.74,4.66,,237
Kenya,34,404,KEN,2,0,4.43,2.88,,814
"Korea, Democratic People Republic of",34,408,PRK,2,0,1.74,2.58,,343
"Korea, Republic of",34,410,KOR,2,0,4.66,8.72,,2237
Kuwait,34,414,KWT,2,0,6.84,6.19,,105
Kyrgyzstan,34,417,KGZ,2,0,1.16,1.12,,38
"Lao People's Democratic Republic",34,418,LAO,2,0,3.62,3.14,,117
Lebanon,34,422,LBN,2,0,7.81,8.96,,297
Lesotho,34,426,LSO,2,0,1.68,1.64,,18
Latvia,34,428,LVA,2,0,5.25,11.95,,119
Liberia,34,430,LBR,2,0,3.11,2.5,,66
Libya,34,434,LBY,2,0,4.58,4.3,,150
Lithuania,34,440,LTU,2,0,4.66,10.77,,154
Luxembourg,34,442,LUX,2,0,5.79,11.03,,35
Madagascar,34,450,MDG,2,0,3.55,2.89,,422
Malawi,34,454,MWI,2,0,5.57,5.39,,551
Malaysia,34,458,MYS,2,0,5.2,5.74,,926
Maldives,34,462,MDV,2,0,2.81,2.46,,5
Mali,34,466,MLI,2,0,1.85,1.33,,142
Malta,34,470,MLT,2,0,11.04,23.96,,53
"France, Martinique",34,474,MTQ,2,0,4.22,9.88,,20
Mauritania,34,478,MRT,2,0,2.18,1.68,,41
Mauritius,34,480,MUS,2,0,1.39,2.32,,15
Mexico,34,484,MEX,2,0,4.93,5.69,,3827
Mongolia,34,496,MNG,2,0,1.6,1.52,,26
Moldova,34,498,MDA,2,0,4.39,6.64,,139
