Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,17,4,AFG,2,0,2.71,1.36,,270
Albania,17,8,ALB,2,0,4.14,8.95,,126
Algeria,17,12,DZA,2,0,2.41,2.59,,581
Angola,17,24,AGO,2,0,1.68,1.07,,189
Azerbaijan,17,31,AZE,2,0,1.78,2.16,,111
Argentina,17,32,ARG,2,0,3.33,6.05,,1425
Australia,17,36,AUS,2,0,111.44,194.05,,25400
Austria,17,40,AUT,2,0,12.24,49.62,,2278
Bahamas,17,44,BHS,2,0,1.92,2.92,,6
Bahrain,17,48,BHR,2,0,0.31,0.32,,2
Bangladesh,17,50,BGD,2,0,0.55,0.54,,449
Armenia,17,51,ARM,2,0,1.94,3.87,,61
Barbados,17,52,BRB,2,0,1.45,4.04,,6
Belgium,17,56,BEL,2,0,18.76,62.55,,3676
Bhutan,17,64,BTN,2,0,0.58,0.54,,2
Bolivia,17,68,BOL,2,0,4.8,6.81,,407
Bosnia Herzegovina,17,70,BIH,2,0,4.97,14.11,,234
Botswana,17,72,BWA,2,0,4.09,3.74,,47
Brazil,17,76,BRA,2,0,7.04,12.72,,13946
Belize,17,84,BLZ,2,0,7.88,7.23,,15
Solomon Islands,17,90,SLB,2,0,0.36,0.28,,1
Brunei Darussalam,17,96,BRN,2,0,4.35,4.66,,10
Bulgaria,17,100,BGR,2,0,5.26,17.72,,624
Myanmar,17,104,MMR,2,0,2.39,2.65,,757
Burundi,17,108,BDI,2,0,2.14,1.12,,71
Belarus,17,112,BLR,2,0,5.09,15.3,,771
Cambodia,17,116,KHM,2,0,1.6,1.45,,127
Cameroon,17,120,CMR,2,0,1.72,1.03,,143
Canada,17,124,CAN,2,0,42.03,131.68,,25450
Cape Verde,17,132,CPV,2,0,1.5,1.77,,5
Central African Republic,17,140,CAF,2,0,1.12,0.71,,18
Sri Lanka,17,144,LKA,2,0,0.85,1.53,,172
Chad,17,148,TCD,2,0,0.28,0.24,,21
Chile,17,152,CHL,2,0,4.49,10.46,,1020
China,17,160,CHN,2,0,1.83,3.71,,25656
Colombia,17,170,COL,2,0,2.95,4.9,,1285
