Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,6,4,AFG,2,0,3.95,2.03,,403
Albania,6,8,ALB,2,0,0.75,1.49,,21
Algeria,6,12,DZA,2,0,0.58,0.62,,139
Angola,6,24,AGO,2,0,3.71,1.48,,262
Azerbaijan,6,31,AZE,2,0,7.34,9.61,,495
Argentina,6,32,ARG,2,0,1.71,3.01,,709
Australia,6,36,AUS,2,0,1.46,3.57,,467
Austria,6,40,AUT,2,0,0.96,2.31,,106
Bahamas,6,44,BHS,2,0,0.79,0.97,,2
Bahrain,6,48,BHR,2,0,1.26,0.8,,5
Bangladesh,6,50,BGD,2,0,11.16,10.41,,8654
Armenia,6,51,ARM,2,0,0.64,1.27,,20
Barbados,6,52,BRB,2,0,0.61,2.02,,3
Belgium,6,56,BEL,2,0,2.12,5.14,,302
Bhutan,6,64,BTN,2,0,5.92,5.16,,19
Bolivia,6,68,BOL,2,0,0.79,0.77,,46
Bosnia Herzegovina,6,70,BIH,2,0,0.47,1.27,,21
Botswana,6,72,BWA,2,0,4.21,3.34,,42
Brazil,6,76,BRA,2,0,1.27,1.98,,2173
Belize,6,84,BLZ,2,0,0,0,,0
Solomon Islands,6,90,SLB,2,0,2.24,1.41,,5
Brunei Darussalam,6,96,BRN,2,0,0.46,0.47,,1
Bulgaria,6,100,BGR,2,0,0.55,1.19,,42
Myanmar,6,104,MMR,2,0,3.24,3.64,,1042
Burundi,6,108,BDI,2,0,6.11,2.72,,173
Belarus,6,112,BLR,2,0,0.51,1.09,,55
Cambodia,6,116,KHM,2,0,1.32,1.15,,101
Cameroon,6,120,CMR,2,0,1.2,0.6,,84
Canada,6,124,CAN,2,0,1.47,4.41,,853
Cape Verde,6,132,CPV,2,0,1.38,1.41,,4
Central African Republic,6,140,CAF,2,0,1.16,0.63,,16
Sri Lanka,6,144,LKA,2,0,3.81,6.8,,765
Chad,6,148,TCD,2,0,1.71,0.87,,76
Chile,6,152,CHL,2,0,1.31,3.11,,303
China,6,160,CHN,2,0,3.78,8.19,,56540
Colombia,6,170,COL,2,0,0.79,1.25,,327
Comoros,6,174,COM,2,0,8.51,5.11,,23
"Congo, Republic of",6,178,COG,2,0,0.3,0.17,,5
"Congo, Democratic Republic of",6,180,COD,2,0,1.98,1.02,,486
Costa Rica,6,188,CRI,2,0,0.34,0.66,,17
Croatia,6,191,HRV,2,0,0.57,1.57,,33
Cuba,6,192,CUB,2,0,1.31,3,,171
Cyprus,6,196,CYP,2,0,0.25,0.49,,3
Czechia,6,203,CZE,2,0,0.91,2.13,,116
Benin,6,204,BEN,2,0,2.94,1.69,,108
Denmark,6,208,DNK,2,0,2.18,5.52,,162
Dominican Republic,6,214,DOM,2,0,1.37,1.53,,85
Ecuador,6,218,ECU,2,0,0.35,0.47,,43
El Salvador,6,222,SLV,2,0,0.66,1.03,,36
Equatorial Guinea,6,226,GNQ,2,0,0.43,0.3,,2
Ethiopia,6,231,ETH,2,0,2.61,1.53,,925
Eritrea,6,232,ERI,2,0,3.07,2.08,,38
Estonia,6,233,EST,2,0,0.9,2.45,,17
Fiji,6,242,FJI,2,0,1.69,1.56,,7
Finland,6,246,FIN,2,0,1.19,3.87,,109
France (metropolitan),6,250,FRA,2,0,1.57,3.67,,1242
French Guyana,6,254,GUF,2,0,1.36,1.26,,2
French Polynesia,6,258,PYF,2,0,0.56,0.71,,1
Djibouti,6,262,DJI,2,0,2.61,2.27,,11
Gabon,6,266,GAB,2,0,1.1,0.79,,9
Georgia,6,268,GEO,2,0,0.48,1.35,,28
The Republic of the Gambia,6,270,GMB,2,0,1.37,0.7,,9
Gaza Strip and West Bank,6,275,PSE,2,0,0.52,0.34,,9
Germany,6,276,DEU,2,0,1.56,3.99,,1689
Ghana,6,288,GHA,2,0,3.16,1.72,,275
Greece,6,300,GRC,2,0,0.25,0.91,,48
"France, Guadeloupe",6,312,GLP,2,0,1.01,2.32,,5
Guam,6,316,GUM,2,0,0,0,,0
Guatemala,6,320,GTM,2,0,0.71,0.64,,60
