Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,25,4,AFG,2,0,4.2,2.58,,512
Albania,25,8,ALB,2,0,8.75,13.78,,194
Algeria,25,12,DZA,2,0,5.04,5.11,,1147
Angola,25,24,AGO,2,0,2.86,2.35,,415
Azerbaijan,25,31,AZE,2,0,5.94,7.57,,390
Argentina,25,32,ARG,2,0,6.83,9.3,,2191
Australia,25,36,AUS,2,0,7.84,13.74,,1799
Austria,25,40,AUT,2,0,7.67,16.23,,745
Bahamas,25,44,BHS,2,0,9.25,12.15,,25
Bahrain,25,48,BHR,2,0,5.11,4.63,,29
Bangladesh,25,50,BGD,2,0,3.3,3.42,,2846
Armenia,25,51,ARM,2,0,4.99,8.26,,130
Barbados,25,52,BRB,2,0,7.32,15.5,,23
Belgium,25,56,BEL,2,0,6.89,14.12,,830
Bhutan,25,64,BTN,2,0,5.64,5.43,,20
Bolivia,25,68,BOL,2,0,3.08,2.83,,169
Bosnia Herzegovina,25,70,BIH,2,0,9.83,17.6,,292
Botswana,25,72,BWA,2,0,2.83,2.47,,31
Brazil,25,76,BRA,2,0,5.1,7.03,,7710
Belize,25,84,BLZ,2,0,0.69,0.96,,2
Solomon Islands,25,90,SLB,2,0,6.79,5.36,,19
Brunei Darussalam,25,96,BRN,2,0,13.16,15.38,,33
Bulgaria,25,100,BGR,2,0,9.97,19.19,,676
Myanmar,25,104,MMR,2,0,5.61,6.34,,1813
Burundi,25,108,BDI,2,0,4.82,2.6,,165
Belarus,25,112,BLR,2,0,9.2,14.81,,746
Cambodia,25,116,KHM,2,0,5.58,5.35,,470
Cameroon,25,120,CMR,2,0,5.85,3.51,,490
Canada,25,124,CAN,2,0,9.22,17.06,,3297
Cape Verde,25,132,CPV,2,0,3.85,3.89,,11
Central African Republic,25,140,CAF,2,0,5.77,3.4,,86
Sri Lanka,25,144,LKA,2,0,8.16,11.55,,1299
Chad,25,148,TCD,2,0,3.61,2.2,,192
Chile,25,152,CHL,2,0,6.32,9.55,,932
China,25,160,CHN,2,0,5.68,8.84,,61060
Colombia,25,170,COL,2,0,6.67,8.59,,2253
Comoros,25,174,COM,2,0,2.49,1.78,,8
"Congo, Republic of",25,178,COG,2,0,3.47,2.34,,68
"Congo, Democratic Republic of",25,180,COD,2,0,4.13,2.33,,1113
Costa Rica,25,188,CRI,2,0,4.3,5.78,,150
Croatia,25,191,HRV,2,0,10.69,22.67,,476
Cuba,25,192,CUB,2,0,5.27,8.59,,489
Cyprus,25,196,CYP,2,0,10.61,19.45,,119
Czechia,25,203,CZE,2,0,8.03,16.89,,920
Benin,25,204,BEN,2,0,2.75,1.66,,106
Denmark,25,208,DNK,2,0,7.22,15.03,,441
Dominican Republic,25,214,DOM,2,0,2.65,3.02,,167
Ecuador,25,218,ECU,2,0,5.12,5.6,,507
El Salvador,25,222,SLV,2,0,4.29,5.22,,182
Equatorial Guinea,25,226,GNQ,2,0,6.3,3.61,,24
Ethiopia,25,231,ETH,2,0,6.8,4.47,,2696
Eritrea,25,232,ERI,2,0,7.16,5.04,,92
Estonia,25,233,EST,2,0,9.39,19.46,,135
Fiji,25,242,FJI,2,0,11.1,11.58,,52
Finland,25,246,FIN,2,0,7.37,16.24,,457
France (metropolitan),25,250,FRA,2,0,7.11,16.83,,5696
French Guyana,25,254,GUF,2,0,8.09,7.56,,12
French Polynesia,25,258,PYF,2,0,6.4,8.55,,12
Djibouti,25,262,DJI,2,0,6.51,6,,29
Gabon,25,266,GAB,2,0,7.79,5.67,,65
Georgia,25,268,GEO,2,0,10.61,18.76,,390
The Republic of the Gambia,25,270,GMB,2,0,2.23,1.47,,19
Gaza Strip and West Bank,25,275,PSE,2,0,4.22,2.81,,74
Germany,25,276,DEU,2,0,6.97,17.81,,7547
Ghana,25,288,GHA,2,0,10.1,7.51,,1200
Greece,25,300,GRC,2,0,8.92,18.72,,983
