Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,13,4,AFG,2,0,1.59,0.8,,158
Albania,13,8,ALB,2,0,3.52,7.74,,109
Algeria,13,12,DZA,2,0,2.06,2.12,,475
Angola,13,24,AGO,2,0,1.14,0.48,,85
Azerbaijan,13,31,AZE,2,0,2.42,3.13,,161
Argentina,13,32,ARG,2,0,6.75,12.1,,2850
Australia,13,36,AUS,2,0,6.73,15.89,,2080
Austria,13,40,AUT,2,0,8.27,23.29,,1069
Bahamas,13,44,BHS,2,0,2.29,3.4,,7
Bahrain,13,48,BHR,2,0,3.04,2.23,,14
Bangladesh,13,50,BGD,2,0,0.74,0.7,,579
Armenia,13,51,ARM,2,0,6.52,13.4,,211
Barbados,13,52,BRB,2,0,4.65,10.78,,16
Belgium,13,56,BEL,2,0,6.62,19.65,,1155
Bhutan,13,64,BTN,2,0,0.96,0.81,,3
Bolivia,13,68,BOL,2,0,2.8,3.5,,209
Bosnia Herzegovina,13,70,BIH,2,0,5.99,14.23,,236
Botswana,13,72,BWA,2,0,0.63,0.56,,7
Brazil,13,76,BRA,2,0,4.05,6.54,,7166
Belize,13,84,BLZ,2,0,3.35,2.89,,6
Solomon Islands,13,90,SLB,2,0,0.9,0.56,,2
Brunei Darussalam,13,96,BRN,2,0,4.43,4.66,,10
Bulgaria,13,100,BGR,2,0,5.87,16.92,,596
Myanmar,13,104,MMR,2,0,1.07,1.21,,345
Burundi,13,108,BDI,2,0,1.48,0.66,,42
Belarus,13,112,BLR,2,0,4.74,11.69,,589
Cambodia,13,116,KHM,2,0,1.09,1.01,,89
Cameroon,13,120,CMR,2,0,0.72,0.37,,51
Canada,13,124,CAN,2,0,6.78,17.46,,3374
Cape Verde,13,132,CPV,2,0,0.5,0.35,,1
Central African Republic,13,140,CAF,2,0,0.9,0.47,,12
Sri Lanka,13,144,LKA,2,0,0.62,1.02,,115
Chad,13,148,TCD,2,0,2.14,1.09,,95
Chile,13,152,CHL,2,0,5.25,10.53,,1027
China,13,160,CHN,2,0,3.63,7.46,,51549
Colombia,13,170,COL,2,0,3.7,5.59,,1467
Comoros,13,174,COM,2,0,0.74,0.44,,2
"Congo, Republic of",13,178,COG,2,0,1.01,0.59,,17
"Congo, Democratic Republic of",13,180,COD,2,0,1.34,0.68,,324
Costa Rica,13,188,CRI,2,0,3.86,6.98,,181
Croatia,13,191,HRV,2,0,6.15,19.38,,407
Cuba,13,192,CUB,2,0,3.78,9.06,,516
Cyprus,13,196,CYP,2,0,7.1,17.49,,107
Czechia,13,203,CZE,2,0,8.37,23.28,,1268
Benin,13,204,BEN,2,0,2.55,1.47,,94
Denmark,13,208,DNK,2,0,7.94,24.19,,710
Dominican Republic,13,214,DOM,2,0,4.3,5.2,,288
Ecuador,13,218,ECU,2,0,3.84,4.89,,443
El Salvador,13,222,SLV,2,0,2.18,3.07,,107
Equatorial Guinea,13,226,GNQ,2,0,1.85,0.9,,6
Ethiopia,13,231,ETH,2,0,1.3,0.78,,472
Eritrea,13,232,ERI,2,0,1.11,0.77,,14
Estonia,13,233,EST,2,0,7.64,25.22,,175
Fiji,13,242,FJI,2,0,2.09,2,,9
Finland,13,246,FIN,2,0,8.05,27.54,,775
France (metropolitan),13,250,FRA,2,0,7.78,23.59,,7984
French Guyana,13,254,GUF,2,0,5.5,5.04,,8
French Polynesia,13,258,PYF,2,0,1.69,2.85,,4
Djibouti,13,262,DJI,2,0,1.24,1.03,,5
Gabon,13,266,GAB,2,0,3.55,2.36,,27
Georgia,13,268,GEO,2,0,4.88,11.6,,241
The Republic of the Gambia,13,270,GMB,2,0,1.8,0.85,,11
Gaza Strip and West Bank,13,275,PSE,2,0,3.46,1.94,,51
Germany,13,276,DEU,2,0,7.57,25.72,,10899
Ghana,13,288,GHA,2,0,1.62,1.15,,183
Greece,13,300,GRC,2,0,6.28,20.56,,1080
"France, Guadeloupe",13,312,GLP,2,0,7.38,18.08,,39
Guam,13,316,GUM,2,0,2.92,5.88,,5
Guatemala,13,320,GTM,2,0,2.23,1.86,,175
Guinea,13,324,GIN,2,0,0.66,0.36,,26
Guyana,13,328,GUY,2,0,1.68,2.03,,8
Haiti,13,332,HTI,2,0,2.85,2.59,,153
Honduras,13,340,HND,2,0,3.11,2.58,,132
Hungary,13,348,HUN,2,0,8.76,25.49,,1282
Iceland,13,352,ISL,2,0,6.04,14.55,,25
India,13,356,IND,2,0,0.7,0.73,,4949
Indonesia,13,360,IDN,2,0,1.71,1.86,,2578
"Iran, Islamic Republic of",13,364,IRN,2,0,2.9,3.06,,1305
Iraq,13,368,IRQ,2,0,2.05,1.26,,262
Ireland,13,372,IRL,2,0,6.05,12.78,,323
Israel,13,376,ISR,2,0,6.88,12.76,,571
Italy,13,380,ITA,2,0,7.04,26.59,,8211
"Côte d'Ivoire",13,384,CIV,2,0,2.39,1.09,,150
Jamaica,13,388,JAM,2,0,3.29,4.52,,68
Japan,13,392,JPN,2,0,7.15,37.36,,24018
Kazakhstan,13,398,KAZ,2,0,4.37,6.01,,594
Jordan,13,400,JOR,2,0,2.95,2.2,,112
Kenya,13,404,KEN,2,0,3.53,1.78,,502
"Korea, Democratic People Republic of",13,408,PRK,2,0,3.9,7.1,,943
"Korea, Republic of",13,410,KOR,2,0,6.91,17.79,,4561
Kuwait,13,414,KWT,2,0,3.09,2.18,,37
Kyrgyzstan,13,417,KGZ,2,0,4.08,3.82,,130
"Lao People's Democratic Republic",13,418,LAO,2,0,1.17,0.94,,35
Lebanon,13,422,LBN,2,0,3.15,3.71,,123
Lesotho,13,426,LSO,2,0,0.69,0.64,,7
Latvia,13,428,LVA,2,0,7.4,24.6,,245
Liberia,13,430,LBR,2,0,1.44,0.83,,22
Libya,13,434,LBY,2,0,3.25,2.95,,103
Lithuania,13,440,LTU,2,0,6.47,22.94,,328
Luxembourg,13,442,LUX,2,0,4.93,11.35,,36
Madagascar,13,450,MDG,2,0,1.07,0.6,,87
Malawi,13,454,MWI,2,0,0.63,0.36,,37
Malaysia,13,458,MYS,2,0,2.56,2.9,,469
Maldives,13,462,MDV,2,0,0.72,0.49,,1
Mali,13,466,MLI,2,0,2.21,1.03,,110
Malta,13,470,MLT,2,0,7.41,24.41,,54
"France, Martinique",13,474,MTQ,2,0,5.1,17.3,,35
Mauritania,13,478,MRT,2,0,1.2,0.74,,18
Mauritius,13,480,MUS,2,0,4.07,6.65,,43
Mexico,13,484,MEX,2,0,3.62,4.47,,3007
Mongolia,13,496,MNG,2,0,4.81,4.37,,75
Moldova,13,498,MDA,2,0,6.14,12.51,,262
Montenegro,13,499,MNE,2,0,4.68,10.71,,34
Morocco,13,504,MAR,2,0,2.22,2.63,,500
Mozambique,13,508,MOZ,2,0,0.61,0.34,,58
Oman,13,512,OMN,2,0,1.3,0.82,,15
Namibia,13,516,NAM,2,0,0.79,0.52,,7
Nepal,13,524,NPL,2,0,1.49,1.32,,214
The Netherlands,13,528,NLD,2,0,7.61,19.92,,1719
New Caledonia,13,540,NCL,2,0,4.87,7.59,,11
Vanuatu,13,548,VUT,2,0,0,0,,0
New Zealand,13,554,NZL,2,0,5.43,13.01,,324
Nicaragua,13,558,NIC,2,0,3.51,3.55,,122
Niger,13,562,NER,2,0,1.44,0.69,,89
Nigeria,13,566,NGA,2,0,1.16,0.56,,599
Norway,13,578,NOR,2,0,7.14,21.53,,586
Pakistan,13,586,PAK,2,0,0.36,0.26,,294
Panama,13,591,PAN,2,0,2.7,4.05,,90
Papua New Guinea,13,598,PNG,2,0,1.03,0.64,,29
Paraguay,13,600,PRY,2,0,4.27,4.62,,166
