Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,2,4,AFG,2,0,0.22,0.13,,26
Albania,2,8,ALB,2,0,0.15,0.36,,5
Algeria,2,12,DZA,2,0,0.23,0.25,,55
Angola,2,24,AGO,2,0,1.11,0.52,,92
Azerbaijan,2,31,AZE,2,0,0.71,0.95,,49
Argentina,2,32,ARG,2,0,0.31,0.49,,115
Australia,2,36,AUS,2,0,0.78,1.22,,160
Austria,2,40,AUT,2,0,0.38,0.89,,41
Bahamas,2,44,BHS,2,0,0.36,0.49,,1
Bahrain,2,48,BHR,2,0,0,0,,0
Bangladesh,2,50,BGD,2,0,0.37,0.36,,300
Armenia,2,51,ARM,2,0,0.32,0.57,,9
Barbados,2,52,BRB,2,0,0.38,0.67,,1
Belgium,2,56,BEL,2,0,0.51,0.92,,54
Bhutan,2,64,BTN,2,0,0,0,,0
Bolivia,2,68,BOL,2,0,0.55,0.54,,32
Bosnia Herzegovina,2,70,BIH,2,0,0.51,1.09,,18
Botswana,2,72,BWA,2,0,0.24,0.24,,3
Brazil,2,76,BRA,2,0,0.42,0.62,,676
Belize,2,84,BLZ,2,0,0,0,,0
Solomon Islands,2,90,SLB,2,0,1.13,1.13,,4
Brunei Darussalam,2,96,BRN,2,0,0.51,0.47,,1
Bulgaria,2,100,BGR,2,0,0.29,0.8,,28
Myanmar,2,104,MMR,2,0,0.28,0.31,,88
Burundi,2,108,BDI,2,0,0.28,0.13,,8
Belarus,2,112,BLR,2,0,0.66,1.11,,56
Cambodia,2,116,KHM,2,0,0.35,0.35,,31
Cameroon,2,120,CMR,2,0,1.09,0.61,,85
Canada,2,124,CAN,2,0,0.75,1.3,,252
Cape Verde,2,132,CPV,2,0,0.26,0.35,,1
Central African Republic,2,140,CAF,2,0,0.49,0.28,,7
Sri Lanka,2,144,LKA,2,0,0.54,0.69,,78
Chad,2,148,TCD,2,0,0.12,0.11,,10
Chile,2,152,CHL,2,0,0.21,0.4,,39
China,2,160,CHN,2,0,0.42,0.64,,4426
Colombia,2,170,COL,2,0,0.5,0.71,,187
Comoros,2,174,COM,2,0,0,0,,0
"Congo, Republic of",2,178,COG,2,0,0.15,0.07,,2
"Congo, Democratic Republic of",2,180,COD,2,0,0.26,0.15,,70
Costa Rica,2,188,CRI,2,0,0.5,0.73,,19
Croatia,2,191,HRV,2,0,0.57,1.33,,28
Cuba,2,192,CUB,2,0,0.43,1.07,,61
Cyprus,2,196,CYP,2,0,0.48,0.82,,5
Czechia,2,203,CZE,2,0,0.57,1.27,,69
Benin,2,204,BEN,2,0,0.88,0.55,,35
Denmark,2,208,DNK,2,0,0.67,1.19,,35
Dominican Republic,2,214,DOM,2,0,0.51,0.58,,32
Ecuador,2,218,ECU,2,0,0.27,0.39,,35
El Salvador,2,222,SLV,2,0,0.47,0.54,,19
Equatorial Guinea,2,226,GNQ,2,0,0.11,0.15,,1
Ethiopia,2,231,ETH,2,0,0.64,0.45,,269
Eritrea,2,232,ERI,2,0,0.52,0.38,,7
Estonia,2,233,EST,2,0,0.72,1.44,,10
Fiji,2,242,FJI,2,0,1,1.11,,5
Finland,2,246,FIN,2,0,0.61,1.35,,38
France (metropolitan),2,250,FRA,2,0,0.5,0.86,,291
French Guyana,2,254,GUF,2,0,0,0,,0
French Polynesia,2,258,PYF,2,0,0.47,0.71,,1
Djibouti,2,262,DJI,2,0,0,0,,0
Gabon,2,266,GAB,2,0,0.64,0.44,,5
Georgia,2,268,GEO,2,0,0.19,0.58,,12
The Republic of the Gambia,2,270,GMB,2,0,0.14,0.08,,1
Gaza Strip and West Bank,2,275,PSE,2,0,0.33,0.23,,6
Germany,2,276,DEU,2,0,0.43,0.91,,386
Ghana,2,288,GHA,2,0,0.78,0.55,,88
Greece,2,300,GRC,2,0,0.23,0.89,,47
"France, Guadeloupe",2,312,GLP,2,0,0,0,,0
Guam,2,316,GUM,2,0,0,0,,0
