Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,7,4,AFG,2,0,8.23,4.05,,805
Albania,7,8,ALB,2,0,8.1,17.55,,247
Algeria,7,12,DZA,2,0,4.73,4.87,,1092
Angola,7,24,AGO,2,0,5.02,2.1,,372
Azerbaijan,7,31,AZE,2,0,8.79,11.46,,590
Argentina,7,32,ARG,2,0,4.1,6.75,,1590
Australia,7,36,AUS,2,0,3.68,8.28,,1084
Austria,7,40,AUT,2,0,3.96,10.35,,475
Bahamas,7,44,BHS,2,0,5.43,7.29,,15
Bahrain,7,48,BHR,2,0,3.03,2.55,,16
Bangladesh,7,50,BGD,2,0,3.43,3.27,,2715
Armenia,7,51,ARM,2,0,7.92,15.88,,250
Barbados,7,52,BRB,2,0,2.84,6.74,,10
Belgium,7,56,BEL,2,0,3.59,8.8,,517
Bhutan,7,64,BTN,2,0,11.07,10.05,,37
Bolivia,7,68,BOL,2,0,7.51,8.08,,483
Bosnia Herzegovina,7,70,BIH,2,0,6.41,15.01,,249
Botswana,7,72,BWA,2,0,0.81,0.72,,9
Brazil,7,76,BRA,2,0,4.91,7.59,,8321
Belize,7,84,BLZ,2,0,3.81,3.37,,7
Solomon Islands,7,90,SLB,2,0,2.49,1.41,,5
Brunei Darussalam,7,96,BRN,2,0,9.48,10.25,,22
Bulgaria,7,100,BGR,2,0,6.31,16.44,,579
Myanmar,7,104,MMR,2,0,9,10.2,,2917
Burundi,7,108,BDI,2,0,4.12,1.9,,121
Belarus,7,112,BLR,2,0,9.4,21.42,,1079
Cambodia,7,116,KHM,2,0,3.15,2.86,,251
Cameroon,7,120,CMR,2,0,3.53,1.84,,256
Canada,7,124,CAN,2,0,3,7.21,,1394
Cape Verde,7,132,CPV,2,0,2.27,2.48,,7
Central African Republic,7,140,CAF,2,0,3.46,1.86,,47
Sri Lanka,7,144,LKA,2,0,1.6,2.64,,297
Chad,7,148,TCD,2,0,2.51,1.32,,115
Chile,7,152,CHL,2,0,7.98,16.45,,1605
China,7,160,CHN,2,0,8.29,16.23,,112122
Colombia,7,170,COL,2,0,9.05,13.35,,3501
Comoros,7,174,COM,2,0,1.63,0.89,,4
"Congo, Republic of",7,178,COG,2,0,3.12,1.86,,54
"Congo, Democratic Republic of",7,180,COD,2,0,3.4,1.77,,843
Costa Rica,7,188,CRI,2,0,9.12,14.57,,378
Croatia,7,191,HRV,2,0,6.4,19.53,,410
Cuba,7,192,CUB,2,0,3.97,9.59,,546
Cyprus,7,196,CYP,2,0,4.14,8.34,,51
Czechia,7,203,CZE,2,0,3.55,9.29,,506
Benin,7,204,BEN,2,0,3.62,2.14,,137
Denmark,7,208,DNK,2,0,3.52,8.65,,254
Dominican Republic,7,214,DOM,2,0,5.34,6.36,,352
Ecuador,7,218,ECU,2,0,10.02,12.55,,1137
El Salvador,7,222,SLV,2,0,7.04,9.83,,343
Equatorial Guinea,7,226,GNQ,2,0,2.79,1.51,,10
Ethiopia,7,231,ETH,2,0,3.33,2.06,,1242
Eritrea,7,232,ERI,2,0,3.19,2.24,,41
Estonia,7,233,EST,2,0,10.09,28.54,,198
Fiji,7,242,FJI,2,0,3.31,3.34,,15
Finland,7,246,FIN,2,0,3.11,8.71,,245
France (metropolitan),7,250,FRA,2,0,2.71,7.81,,2644
French Guyana,7,254,GUF,2,0,5.5,5.04,,8
French Polynesia,7,258,PYF,2,0,5.42,7.84,,11
Djibouti,7,262,DJI,2,0,2.91,2.48,,12
Gabon,7,266,GAB,2,0,1.48,1.05,,12
Georgia,7,268,GEO,2,0,6.49,15.3,,318
The Republic of the Gambia,7,270,GMB,2,0,2.57,1.24,,16
Gaza Strip and West Bank,7,275,PSE,2,0,3.68,2.32,,61
Germany,7,276,DEU,2,0,4.32,13.55,,5741
Ghana,7,288,GHA,2,0,4.13,2.71,,433
Greece,7,300,GRC,2,0,4.12,13.27,,697
"France, Guadeloupe",7,312,GLP,2,0,8.32,25.04,,54
Guam,7,316,GUM,2,0,5.17,8.23,,7
Guatemala,7,320,GTM,2,0,12.87,11.05,,1041
Guinea,7,324,GIN,2,0,3.51,2.02,,144
Guyana,7,328,GUY,2,0,3.99,4.31,,17
Haiti,7,332,HTI,2,0,6.24,6.04,,357
Honduras,7,340,HND,2,0,5.08,4.3,,220
Hungary,7,348,HUN,2,0,5.02,14.57,,733
Iceland,7,352,ISL,2,0,3.17,7.57,,13
India,7,356,IND,2,0,3,3.19,,21551
Indonesia,7,360,IDN,2,0,0.53,0.59,,812
"Iran, Islamic Republic of",7,364,IRN,2,0,14.33,14.98,,6387
Iraq,7,368,IRQ,2,0,4.2,2.79,,581
