Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,32,4,AFG,2,0,1.46,1.01,,200
Albania,32,8,ALB,2,0,1.44,1.99,,28
Algeria,32,12,DZA,2,0,8.95,9.31,,2089
Angola,32,24,AGO,2,0,0.8,0.39,,69
Azerbaijan,32,31,AZE,2,0,3.84,4.89,,252
Argentina,32,32,ARG,2,0,13.16,15.22,,3584
Australia,32,36,AUS,2,0,16.59,21.45,,2808
Austria,32,40,AUT,2,0,10.12,13.68,,628
Bahamas,32,44,BHS,2,0,3.29,4.37,,9
Bahrain,32,48,BHR,2,0,5.15,4.79,,30
Bangladesh,32,50,BGD,2,0,1.33,1.36,,1133
Armenia,32,51,ARM,2,0,4.52,8.19,,129
Barbados,32,52,BRB,2,0,6.03,10.78,,16
Belgium,32,56,BEL,2,0,10.25,13.34,,784
Bhutan,32,64,BTN,2,0,1.5,1.36,,5
Bolivia,32,68,BOL,2,0,3.33,3.2,,191
Bosnia Herzegovina,32,70,BIH,2,0,4.5,6.69,,111
Botswana,32,72,BWA,2,0,0.84,0.72,,9
Brazil,32,76,BRA,2,0,18.64,23.35,,25601
Belize,32,84,BLZ,2,0,5.58,4.82,,10
Solomon Islands,32,90,SLB,2,0,14.18,10.72,,38
Brunei Darussalam,32,96,BRN,2,0,10.52,12.12,,26
Bulgaria,32,100,BGR,2,0,7.26,9.48,,334
Myanmar,32,104,MMR,2,0,4.11,4.64,,1328
Burundi,32,108,BDI,2,0,1.79,0.93,,59
Belarus,32,112,BLR,2,0,13.78,17.67,,890
Cambodia,32,116,KHM,2,0,7.02,6.85,,602
Cameroon,32,120,CMR,2,0,1.13,0.7,,98
Canada,32,124,CAN,2,0,15.08,19.82,,3830
Cape Verde,32,132,CPV,2,0,1.14,1.06,,3
Central African Republic,32,140,CAF,2,0,1.65,0.87,,22
Sri Lanka,32,144,LKA,2,0,10.53,12.45,,1400
Chad,32,148,TCD,2,0,8.48,4.68,,408
Chile,32,152,CHL,2,0,7.47,9.45,,922
China,32,160,CHN,2,0,36.51,49.4,,341211
Colombia,32,170,COL,2,0,12.72,15.36,,4029
Comoros,32,174,COM,2,0,1.07,0.67,,3
"Congo, Republic of",32,178,COG,2,0,0.26,0.17,,5
"Congo, Democratic Republic of",32,180,COD,2,0,0.94,0.51,,242
Costa Rica,32,188,CRI,2,0,23.54,28.98,,752
Croatia,32,191,HRV,2,0,22.35,29.67,,623
Cuba,32,192,CUB,2,0,7.29,10.22,,582
Cyprus,32,196,CYP,2,0,51.57,65.55,,401
Czechia,32,203,CZE,2,0,14.42,19.42,,1058
Benin,32,204,BEN,2,0,1.12,0.73,,47
Denmark,32,208,DNK,2,0,11.06,15.67,,460
Dominican Republic,32,214,DOM,2,0,3.2,3.5,,194
Ecuador,32,218,ECU,2,0,11.05,11.94,,1081
El Salvador,32,222,SLV,2,0,3.07,3.44,,120
Equatorial Guinea,32,226,GNQ,2,0,0.59,0.6,,4
Ethiopia,32,231,ETH,2,0,5.44,3.9,,2352
Eritrea,32,232,ERI,2,0,4.75,3.45,,63
Estonia,32,233,EST,2,0,5.67,9.95,,69
Fiji,32,242,FJI,2,0,14.47,15.14,,68
Finland,32,246,FIN,2,0,12.33,17.81,,501
France (metropolitan),32,250,FRA,2,0,16.54,21.37,,7232
French Guyana,32,254,GUF,2,0,8.29,8.19,,13
French Polynesia,32,258,PYF,2,0,28.63,36.33,,51
Djibouti,32,262,DJI,2,0,4.73,4.34,,21
Gabon,32,266,GAB,2,0,1.2,0.96,,11
Georgia,32,268,GEO,2,0,7.79,10.2,,212
The Republic of the Gambia,32,270,GMB,2,0,0.64,0.47,,6
Gaza Strip and West Bank,32,275,PSE,2,0,7.52,6.49,,171
Germany,32,276,DEU,2,0,8.59,11.42,,4838
Ghana,32,288,GHA,2,0,0.65,0.44,,71
Greece,32,300,GRC,2,0,8.03,14.24,,748
"France, Guadeloupe",32,312,GLP,2,0,6.93,9.27,,20
Guam,32,316,GUM,2,0,13.19,15.28,,13
Guatemala,32,320,GTM,2,0,5.08,4.2,,396
Guinea,32,324,GIN,2,0,0.53,0.35,,25
Guyana,32,328,GUY,2,0,0.91,1.02,,4
Haiti,32,332,HTI,2,0,1.14,1.13,,67
Honduras,32,340,HND,2,0,8.14,7.61,,389
Hungary,32,348,HUN,2,0,25.76,28.93,,1455
Iceland,32,352,ISL,2,0,10.91,13.97,,24
India,32,356,IND,2,0,2.15,2.34,,15843
Indonesia,32,360,IDN,2,0,6.22,6.95,,9641
"Iran, Islamic Republic of",32,364,IRN,2,0,6.12,7.08,,3017
Iraq,32,368,IRQ,2,0,6.95,5.96,,1241
Ireland,32,372,IRL,2,0,8.13,10.69,,270
Israel,32,376,ISR,2,0,17.81,19.37,,867
Italy,32,380,ITA,2,0,13.91,21.31,,6581
"Côte d'Ivoire",32,384,CIV,2,0,1.3,0.79,,109
Jamaica,32,388,JAM,2,0,4.88,6.05,,91
Japan,32,392,JPN,2,0,9.8,18.73,,12041
Kazakhstan,32,398,KAZ,2,0,4.35,5.16,,510
Jordan,32,400,JOR,2,0,9.36,8.7,,442
Kenya,32,404,KEN,2,0,2.22,1.3,,369
"Korea, Democratic People Republic of",32,408,PRK,2,0,5.17,6.54,,868
"Korea, Republic of",32,410,KOR,2,0,39.51,57.35,,14707
Kuwait,32,414,KWT,2,0,9.9,11.37,,193
Kyrgyzstan,32,417,KGZ,2,0,2.71,2.65,,90
"Lao People's Democratic Republic",32,418,LAO,2,0,7.78,7.41,,276
Lebanon,32,422,LBN,2,0,7.51,8.54,,283
Lesotho,32,426,LSO,2,0,0.57,0.45,,5
Latvia,32,428,LVA,2,0,12.75,19.48,,194
Liberia,32,430,LBR,2,0,0.93,0.64,,17
Libya,32,434,LBY,2,0,4.94,4.96,,173
Lithuania,32,440,LTU,2,0,13.86,19.37,,277
Luxembourg,32,442,LUX,2,0,12.31,14.81,,47
Madagascar,32,450,MDG,2,0,1.39,0.94,,137
Malawi,32,454,MWI,2,0,1.93,1.04,,106
Malaysia,32,458,MYS,2,0,3.27,3.72,,600
Maldives,32,462,MDV,2,0,5.35,5.91,,12
Mali,32,466,MLI,2,0,2.85,1.48,,158
Malta,32,470,MLT,2,0,18.28,23.96,,53
"France, Martinique",32,474,MTQ,2,0,9.7,14.83,,30
Mauritania,32,478,MRT,2,0,1.09,0.78,,19
Mauritius,32,480,MUS,2,0,2.15,2.94,,19
