Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
15,"Trachea, bronchus and lung",004,Afghanistan,AFG,2,0,3.64
15,"Trachea, bronchus and lung",008,Albania,ALB,2,0,10.27
15,"Trachea, bronchus and lung",012,Algeria,DZA,2,0,3.21
15,"Trachea, bronchus and lung",024,Angola,AGO,2,0,1.6
15,"Trachea, bronchus and lung",031,Azerbaijan,AZE,2,0,5.16
15,"Trachea, bronchus and lung",032,Argentina,ARG,2,0,12.06
15,"Trachea, bronchus and lung",036,Australia,AUS,2,0,21.49
15,"Trachea, bronchus and lung",040,Austria,AUT,2,0,23.86
15,"Trachea, bronchus and lung",044,Bahamas,BHS,2,0,5.32
15,"Trachea, bronchus and lung",048,Bahrain,BHR,2,0,5.33
15,"Trachea, bronchus and lung",050,Bangladesh,BGD,2,0,4
15,"Trachea, bronchus and lung",051,Armenia,ARM,2,0,9.08
15,"Trachea, bronchus and lung",052,Barbados,BRB,2,0,6.02
15,"Trachea, bronchus and lung",056,Belgium,BEL,2,0,24.37
15,"Trachea, bronchus and lung",064,Bhutan,BTN,2,0,7.6
15,"Trachea, bronchus and lung",068,Bolivia,BOL,2,0,5.97
15,"Trachea, bronchus and lung",070,Bosnia Herzegovina,BIH,2,0,15.67
15,"Trachea, bronchus and lung",072,Botswana,BWA,2,0,1.65
15,"Trachea, bronchus and lung",076,Brazil,BRA,2,0,11.74
15,"Trachea, bronchus and lung",084,Belize,BLZ,2,0,3.97
15,"Trachea, bronchus and lung",090,Solomon Islands,SLB,2,0,3.15
15,"Trachea, bronchus and lung",096,Brunei Darussalam,BRN,2,0,22.57
15,"Trachea, bronchus and lung",100,Bulgaria,BGR,2,0,13.27
15,"Trachea, bronchus and lung",104,Myanmar,MMR,2,0,12.19
15,"Trachea, bronchus and lung",108,Burundi,BDI,2,0,2.84
15,"Trachea, bronchus and lung",112,Belarus,BLR,2,0,5.48
15,"Trachea, bronchus and lung",116,Cambodia,KHM,2,0,9.92
15,"Trachea, bronchus and lung",120,Cameroon,CMR,2,0,1.94
15,"Trachea, bronchus and lung",124,Canada,CAN,2,0,30.35
15,"Trachea, bronchus and lung",132,Cape Verde,CPV,2,0,2.47
15,"Trachea, bronchus and lung",140,Central African Republic,CAF,2,0,1.46
15,"Trachea, bronchus and lung",144,Sri Lanka,LKA,2,0,3.13
15,"Trachea, bronchus and lung",148,Chad,TCD,2,0,0.64
15,"Trachea, bronchus and lung",152,Chile,CHL,2,0,9.23
15,"Trachea, bronchus and lung",156,China,CHN,2,0,30.34
15,"Trachea, bronchus and lung",170,Colombia,COL,2,0,7.61
15,"Trachea, bronchus and lung",174,Comoros,COM,2,0,1.08
15,"Trachea, bronchus and lung",178,"Congo, Republic of",COG,2,0,0.8
15,"Trachea, bronchus and lung",180,"Congo, Democratic Republic of",COD,2,0,1.64
15,"Trachea, bronchus and lung",188,Costa Rica,CRI,2,0,4.07
15,"Trachea, bronchus and lung",191,Croatia,HRV,2,0,21.62
15,"Trachea, bronchus and lung",192,Cuba,CUB,2,0,22.35
15,"Trachea, bronchus and lung",196,Cyprus,CYP,2,0,14.61
15,"Trachea, bronchus and lung",203,Czechia,CZE,2,0,17.57
15,"Trachea, bronchus and lung",204,Benin,BEN,2,0,1.13
15,"Trachea, bronchus and lung",208,Denmark,DNK,2,0,34.4
15,"Trachea, bronchus and lung",214,Dominican Republic,DOM,2,0,10.82
15,"Trachea, bronchus and lung",218,Ecuador,ECU,2,0,6.04
15,"Trachea, bronchus and lung",222,El Salvador,SLV,2,0,4.28
15,"Trachea, bronchus and lung",226,Equatorial Guinea,GNQ,2,0,2.47
15,"Trachea, bronchus and lung",231,Ethiopia,ETH,2,0,3.52
15,"Trachea, bronchus and lung",232,Eritrea,ERI,2,0,2.75
15,"Trachea, bronchus and lung",233,Estonia,EST,2,0,12.62
15,"Trachea, bronchus and lung",242,Fiji,FJI,2,0,4.85
15,"Trachea, bronchus and lung",246,Finland,FIN,2,0,14.15
15,"Trachea, bronchus and lung",250,France (metropolitan),FRA,2,0,24.73
15,"Trachea, bronchus and lung",254,French Guyana,GUF,2,0,7.46
15,"Trachea, bronchus and lung",258,French Polynesia,PYF,2,0,22.59
15,"Trachea, bronchus and lung",262,Djibouti,DJI,2,0,2.47
15,"Trachea, bronchus and lung",266,Gabon,GAB,2,0,2.67
15,"Trachea, bronchus and lung",268,Georgia,GEO,2,0,4.43
15,"Trachea, bronchus and lung",270,The Republic of the Gambia,GMB,2,0,0.87
15,"Trachea, bronchus and lung",275,Gaza Strip and West Bank,PSE,2,0,6.59
