Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,39,4,AFG,1,0,103.6,53.77,,11239
Albania,39,8,ALB,1,0,176.87,314.48,,4587
Algeria,39,12,DZA,1,0,130.63,128.26,,29387
Angola,39,24,AGO,1,0,132.33,61.64,,10684
Azerbaijan,39,31,AZE,1,0,181.24,192.25,,9901
Argentina,39,32,ARG,1,0,231.79,289.61,,65040
Australia,39,36,AUS,1,0,514.3,896.51,,116363
Austria,39,40,AUT,1,0,287.62,610.38,,27321
Bahamas,39,44,BHS,1,0,214.38,245,,477
Bahrain,39,48,BHR,1,0,105.47,56.51,,654
Bangladesh,39,50,BGD,1,0,120.83,111.95,,94922
Armenia,39,51,ARM,1,0,257.5,361.01,,5046
Barbados,39,52,BRB,1,0,224.54,414.02,,578
Belgium,39,56,BEL,1,0,350.82,753.63,,43645
Bhutan,39,64,BTN,1,0,90.46,84.84,,356
Bolivia,39,68,BOL,1,0,129.56,127.89,,7692
Bosnia Herzegovina,39,70,BIH,1,0,251.7,492.94,,7841
Botswana,39,72,BWA,1,0,114.12,79.41,,941
Brazil,39,76,BRA,1,0,240.09,302.38,,319711
Belize,39,84,BLZ,1,0,110.14,91.82,,188
Solomon Islands,39,90,SLB,1,0,114.78,76.08,,279
Brunei Darussalam,39,96,BRN,1,0,171.68,171.54,,396
Bulgaria,39,100,BGR,1,0,253.92,527.13,,17515
Myanmar,39,104,MMR,1,0,147.15,134.59,,35822
Burundi,39,108,BDI,1,0,123.49,53.76,,3370
Belarus,39,112,BLR,1,0,360.45,567.3,,24933
Cambodia,39,116,KHM,1,0,152.93,109.37,,9171
Cameroon,39,120,CMR,1,0,113.29,57.19,,7986
Canada,39,124,CAN,1,0,365.85,806.15,,153660
Cape Verde,39,132,CPV,1,0,108.62,75.09,,214
Central African Republic,39,140,CAF,1,0,96.65,43.22,,1075
Sri Lanka,39,144,LKA,1,0,110.6,152.35,,15733
Chad,39,148,TCD,1,0,147.39,64.47,,5605
Chile,39,152,CHL,1,0,221.67,345.42,,32800
China,39,160,CHN,1,0,209.61,351.44,,2533906
Colombia,39,170,COL,1,0,183.28,222.35,,56224
Comoros,39,174,COM,1,0,92.94,51.78,,237
"Congo, Republic of",39,178,COG,1,0,84.21,40.41,,1171
"Congo, Democratic Republic of",39,180,COD,1,0,100.1,48.43,,23033
Costa Rica,39,188,CRI,1,0,185.46,263.08,,6808
Croatia,39,191,HRV,1,0,367.33,796.47,,15607
Cuba,39,192,CUB,1,0,247.37,479.27,,26892
Cyprus,39,196,CYP,1,0,289.87,501.9,,3070
Czechia,39,203,CZE,1,0,317.52,662.28,,35033
Benin,39,204,BEN,1,0,108.18,54.28,,3468
Denmark,39,208,DNK,1,0,393.96,890.58,,25826
Dominican Republic,39,214,DOM,1,0,186.69,194.56,,10735
Ecuador,39,218,ECU,1,0,143.28,153.37,,13890
El Salvador,39,222,SLV,1,0,126.5,137.3,,4205
Equatorial Guinea,39,226,GNQ,1,0,93.74,49.24,,410
Ethiopia,39,231,ETH,1,0,75.78,45.85,,27713
Eritrea,39,232,ERI,1,0,78.68,49.57,,910
Estonia,39,233,EST,1,0,356.43,670.91,,4214
Fiji,39,242,FJI,1,0,150.27,142.1,,654
Finland,39,246,FIN,1,0,294.85,719.98,,19737
France (metropolitan),39,250,FRA,1,0,386.38,829.62,,263339
French Guyana,39,254,GUF,1,0,250.52,219.25,,341
