Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,10,4,AFG,1,0,0.58,0.32,,67
Albania,10,8,ALB,1,0,0.28,0.48,,7
Algeria,10,12,DZA,1,0,0.36,0.36,,83
Angola,10,24,AGO,1,0,0.32,0.13,,22
Azerbaijan,10,31,AZE,1,0,1.19,1.32,,68
Argentina,10,32,ARG,1,0,0.41,0.46,,104
Australia,10,36,AUS,1,0,1.19,2.02,,262
Austria,10,40,AUT,1,0,0.74,1.47,,66
Bahamas,10,44,BHS,1,0,1.92,2.05,,4
Bahrain,10,48,BHR,1,0,0.39,0.26,,3
Bangladesh,10,50,BGD,1,0,0.32,0.3,,257
Armenia,10,51,ARM,1,0,0.3,0.43,,6
Barbados,10,52,BRB,1,0,0.97,1.43,,2
Belgium,10,56,BEL,1,0,0.85,1.67,,97
Bhutan,10,64,BTN,1,0,0,0,,0
Bolivia,10,68,BOL,1,0,0.05,0.07,,4
Bosnia Herzegovina,10,70,BIH,1,0,0.17,0.31,,5
Botswana,10,72,BWA,1,0,0.4,0.34,,4
Brazil,10,76,BRA,1,0,0.8,1.02,,1075
Belize,10,84,BLZ,1,0,0,0,,0
Solomon Islands,10,90,SLB,1,0,0,0,,0
Brunei Darussalam,10,96,BRN,1,0,0,0,,0
Bulgaria,10,100,BGR,1,0,0.46,0.9,,30
Myanmar,10,104,MMR,1,0,0.43,0.37,,99
Burundi,10,108,BDI,1,0,1.15,0.46,,29
Belarus,10,112,BLR,1,0,0.66,1.05,,46
Cambodia,10,116,KHM,1,0,0.38,0.29,,24
Cameroon,10,120,CMR,1,0,0.68,0.36,,50
Canada,10,124,CAN,1,0,0.74,1.39,,265
Cape Verde,10,132,CPV,1,0,0.51,0.35,,1
Central African Republic,10,140,CAF,1,0,0.49,0.28,,7
Sri Lanka,10,144,LKA,1,0,0.55,0.79,,82
Chad,10,148,TCD,1,0,0.28,0.1,,9
Chile,10,152,CHL,1,0,0.39,0.55,,52
China,10,160,CHN,1,0,0.25,0.43,,3087
Colombia,10,170,COL,1,0,0.49,0.59,,150
Comoros,10,174,COM,1,0,0,0,,0
"Congo, Republic of",10,178,COG,1,0,0.83,0.48,,14
"Congo, Democratic Republic of",10,180,COD,1,0,0.96,0.49,,234
Costa Rica,10,188,CRI,1,0,0.21,0.31,,8
Croatia,10,191,HRV,1,0,0.53,1.02,,20
Cuba,10,192,CUB,1,0,0.33,0.64,,36
Cyprus,10,196,CYP,1,0,0.4,0.65,,4
Czechia,10,203,CZE,1,0,1,2.02,,107
Benin,10,204,BEN,1,0,0.99,0.56,,36
