Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,30,4,AFG,1,0,4.07,1.81,,378
Albania,30,8,ALB,1,0,14.88,28.45,,415
Algeria,30,12,DZA,1,0,12.44,12.09,,2770
Angola,30,24,AGO,1,0,3.03,1.21,,209
Azerbaijan,30,31,AZE,1,0,9.71,10.31,,531
Argentina,30,32,ARG,1,0,9.36,12.59,,2827
Australia,30,36,AUS,1,0,11.95,26.43,,3431
Austria,30,40,AUT,1,0,13.96,34.07,,1525
Bahamas,30,44,BHS,1,0,1.55,2.05,,4
Bahrain,30,48,BHR,1,0,11.2,4.75,,55
Bangladesh,30,50,BGD,1,0,1.78,1.61,,1368
Armenia,30,51,ARM,1,0,14.79,22.25,,311
Barbados,30,52,BRB,1,0,2.68,5.73,,8
Belgium,30,56,BEL,1,0,20.8,49.75,,2881
Bhutan,30,64,BTN,1,0,0.93,0.95,,4
Bolivia,30,68,BOL,1,0,1.35,1.36,,82
Bosnia Herzegovina,30,70,BIH,1,0,14.81,30.8,,490
Botswana,30,72,BWA,1,0,0.71,0.42,,5
Brazil,30,76,BRA,1,0,8.71,11.43,,12090
Belize,30,84,BLZ,1,0,0,0,,0
Solomon Islands,30,90,SLB,1,0,2.42,1.36,,5
Brunei Darussalam,30,96,BRN,1,0,3.97,3.9,,9
Bulgaria,30,100,BGR,1,0,17.89,38.52,,1280
Myanmar,30,104,MMR,1,0,2.91,2.5,,666
Burundi,30,108,BDI,1,0,2.36,0.91,,57
Belarus,30,112,BLR,1,0,16.8,27.19,,1195
Cambodia,30,116,KHM,1,0,3.66,2.37,,199
Cameroon,30,120,CMR,1,0,1.89,0.82,,115
Canada,30,124,CAN,1,0,24.24,58.39,,11129
Cape Verde,30,132,CPV,1,0,4.24,2.46,,7
Central African Republic,30,140,CAF,1,0,2.02,0.92,,23
Sri Lanka,30,144,LKA,1,0,3.56,5.25,,542
Chad,30,148,TCD,1,0,4.46,2.44,,212
Chile,30,152,CHL,1,0,7.21,11.74,,1115
China,30,160,CHN,1,0,5.67,10.15,,73218
Colombia,30,170,COL,1,0,4.79,6.15,,1556
Comoros,30,174,COM,1,0,5.57,2.84,,13
"Congo, Republic of",30,178,COG,1,0,0.67,0.35,,10
"Congo, Democratic Republic of",30,180,COD,1,0,2.15,0.98,,465
Costa Rica,30,188,CRI,1,0,5.38,8.04,,208
Croatia,30,191,HRV,1,0,18.72,43.89,,860
Cuba,30,192,CUB,1,0,9.14,19.59,,1099
Cyprus,30,196,CYP,1,0,23.68,43,,263
Czechia,30,203,CZE,1,0,19.12,43.44,,2298
