Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,31,4,AFG,1,0,4.51,3.13,,655
Albania,31,8,ALB,1,0,9.8,13.3,,194
Algeria,31,12,DZA,1,0,4.8,4.74,,1085
Angola,31,24,AGO,1,0,3.25,2.69,,467
Azerbaijan,31,31,AZE,1,0,7.06,7.9,,407
Argentina,31,32,ARG,1,0,4.19,4.72,,1059
Australia,31,36,AUS,1,0,6.69,9.65,,1253
Austria,31,40,AUT,1,0,6.21,9.32,,417
Bahamas,31,44,BHS,1,0,1.72,2.05,,4
Bahrain,31,48,BHR,1,0,2.08,1.64,,19
Bangladesh,31,50,BGD,1,0,1.01,0.99,,837
Armenia,31,51,ARM,1,0,7.64,9.23,,129
Barbados,31,52,BRB,1,0,0.86,1.43,,2
Belgium,31,56,BEL,1,0,5.9,8.65,,501
Bhutan,31,64,BTN,1,0,2.08,2.14,,9
Bolivia,31,68,BOL,1,0,2.25,2.09,,126
Bosnia Herzegovina,31,70,BIH,1,0,7.8,12.82,,204
Botswana,31,72,BWA,1,0,0.59,0.59,,7
Brazil,31,76,BRA,1,0,5.17,6.04,,6381
Belize,31,84,BLZ,1,0,1.26,0.98,,2
Solomon Islands,31,90,SLB,1,0,0.36,0.27,,1
Brunei Darussalam,31,96,BRN,1,0,1.31,1.73,,4
Bulgaria,31,100,BGR,1,0,7.95,13.06,,434
Myanmar,31,104,MMR,1,0,2.28,2.05,,546
Burundi,31,108,BDI,1,0,1.16,0.73,,46
Belarus,31,112,BLR,1,0,5.16,6.58,,289
Cambodia,31,116,KHM,1,0,3.5,2.87,,241
Cameroon,31,120,CMR,1,0,0.54,0.4,,56
Canada,31,124,CAN,1,0,6.31,9.53,,1816
Cape Verde,31,132,CPV,1,0,0,0,,0
Central African Republic,31,140,CAF,1,0,0.8,0.56,,14
Sri Lanka,31,144,LKA,1,0,2.25,2.79,,288
Chad,31,148,TCD,1,0,0.65,0.25,,22
Chile,31,152,CHL,1,0,3.35,3.99,,379
China,31,160,CHN,1,0,4.13,5.88,,42398
Colombia,31,170,COL,1,0,4.09,4.53,,1146
Comoros,31,174,COM,1,0,0,0,,0
"Congo, Republic of",31,178,COG,1,0,0.3,0.24,,7
"Congo, Democratic Republic of",31,180,COD,1,0,0.64,0.42,,202
Costa Rica,31,188,CRI,1,0,4.45,5.14,,133
Croatia,31,191,HRV,1,0,7.82,12.71,,249
Cuba,31,192,CUB,1,0,5.6,8.5,,477
Cyprus,31,196,CYP,1,0,7.5,10.46,,64
Czechia,31,203,CZE,1,0,5.81,9.4,,497
Benin,31,204,BEN,1,0,1.22,0.78,,50
Denmark,31,208,DNK,1,0,6.66,12.21,,354
Dominican Republic,31,214,DOM,1,0,3.88,4.06,,224
Ecuador,31,218,ECU,1,0,3.78,3.86,,350
El Salvador,31,222,SLV,1,0,4.62,4.8,,147
Equatorial Guinea,31,226,GNQ,1,0,0.46,0.48,,4
Ethiopia,31,231,ETH,1,0,0.99,0.72,,434
Eritrea,31,232,ERI,1,0,1.2,0.93,,17
Estonia,31,233,EST,1,0,6.99,9.71,,61
Fiji,31,242,FJI,1,0,0.23,0.22,,1
Finland,31,246,FIN,1,0,5.78,9.23,,253
France (metropolitan),31,250,FRA,1,0,7.9,12.39,,3934
French Guyana,31,254,GUF,1,0,1.41,1.29,,2
French Polynesia,31,258,PYF,1,0,2.61,3.48,,5
Djibouti,31,262,DJI,1,0,0.5,0.56,,3
Gabon,31,266,GAB,1,0,1.02,0.76,,9
Georgia,31,268,GEO,1,0,8.49,11.59,,219
The Republic of the Gambia,31,270,GMB,1,0,0.42,0.24,,3
Gaza Strip and West Bank,31,275,PSE,1,0,4.19,3.32,,90
Germany,31,276,DEU,1,0,6.15,10.81,,4487
Ghana,31,288,GHA,1,0,1.36,1.18,,193
Greece,31,300,GRC,1,0,7.82,14.49,,734
"France, Guadeloupe",31,312,GLP,1,0,2.19,4.34,,8
Guam,31,316,GUM,1,0,0,0,,0
Guatemala,31,320,GTM,1,0,1.64,1.24,,114
Guinea,31,324,GIN,1,0,3.56,1.28,,86
