Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,41,4,AFG,1,0,6.06,2.96,,618
Albania,41,8,ALB,1,0,12.49,21.46,,313
Algeria,41,12,DZA,1,0,18.22,17.82,,4082
Angola,41,24,AGO,1,0,4.44,2.3,,398
Azerbaijan,41,31,AZE,1,0,15.73,16.95,,873
Argentina,41,32,ARG,1,0,30.45,38.44,,8633
Australia,41,36,AUS,1,0,37.76,68.92,,8945
Austria,41,40,AUT,1,0,26.87,58.44,,2616
Bahamas,41,44,BHS,1,0,25.43,28.76,,56
Bahrain,41,48,BHR,1,0,14.75,8.38,,97
Bangladesh,41,50,BGD,1,0,4.03,3.83,,3248
Armenia,41,51,ARM,1,0,25.03,36.34,,508
Barbados,41,52,BRB,1,0,30.16,55.87,,78
Belgium,41,56,BEL,1,0,33.97,74.44,,4311
Bhutan,41,64,BTN,1,0,4.96,4.77,,20
Bolivia,41,68,BOL,1,0,6.69,6.07,,365
Bosnia Herzegovina,41,70,BIH,1,0,33.45,67.96,,1081
Botswana,41,72,BWA,1,0,5.02,3.54,,42
Brazil,41,76,BRA,1,0,22.4,28.53,,30164
Belize,41,84,BLZ,1,0,5.46,4.4,,9
Solomon Islands,41,90,SLB,1,0,3.36,1.64,,6
Brunei Darussalam,41,96,BRN,1,0,37.7,39.42,,91
Bulgaria,41,100,BGR,1,0,40.16,88.96,,2956
Myanmar,41,104,MMR,1,0,11.81,10.68,,2843
Burundi,41,108,BDI,1,0,7.18,2.94,,184
Belarus,41,112,BLR,1,0,43.39,70.22,,3086
Cambodia,41,116,KHM,1,0,14.18,9.68,,812
Cameroon,41,120,CMR,1,0,6.85,3.45,,482
Canada,41,124,CAN,1,0,33.44,68.7,,13095
Cape Verde,41,132,CPV,1,0,6.59,5.26,,15
Central African Republic,41,140,CAF,1,0,5.99,2.98,,74
Sri Lanka,41,144,LKA,1,0,7.81,11.09,,1145
Chad,41,148,TCD,1,0,3.38,1.79,,156
Chile,41,152,CHL,1,0,22.59,35.29,,3351
China,41,160,CHN,1,0,24.74,42.67,,307688
Colombia,41,170,COL,1,0,17.8,21.57,,5455
Comoros,41,174,COM,1,0,3.32,1.53,,7
"Congo, Republic of",41,178,COG,1,0,4.73,2.9,,84
"Congo, Democratic Republic of",41,180,COD,1,0,6.29,3.1,,1476
Costa Rica,41,188,CRI,1,0,13.21,19.13,,495
Croatia,41,191,HRV,1,0,55.94,127.48,,2498
Cuba,41,192,CUB,1,0,18.14,37.64,,2112
Cyprus,41,196,CYP,1,0,29.38,52.81,,323
Czechia,41,203,CZE,1,0,39,82.73,,4376
Benin,41,204,BEN,1,0,9.67,4.82,,308
Denmark,41,208,DNK,1,0,55.07,130.73,,3791
Dominican Republic,41,214,DOM,1,0,16.18,16.42,,906
Ecuador,41,218,ECU,1,0,12.14,12.89,,1167
El Salvador,41,222,SLV,1,0,9.31,9.66,,296
Equatorial Guinea,41,226,GNQ,1,0,7.13,3.96,,33
Ethiopia,41,231,ETH,1,0,9.83,5.54,,3347
Eritrea,41,232,ERI,1,0,7.66,4.74,,87
Estonia,41,233,EST,1,0,40.75,84.22,,529
Fiji,41,242,FJI,1,0,12.31,10.43,,48
Finland,41,246,FIN,1,0,30.58,77.44,,2123
France (metropolitan),41,250,FRA,1,0,37.57,84.91,,26952
French Guyana,41,254,GUF,1,0,21.8,18.65,,29
French Polynesia,41,258,PYF,1,0,14.39,19.48,,28
Djibouti,41,262,DJI,1,0,7.28,6.2,,33
Gabon,41,266,GAB,1,0,8.15,5.48,,65
Georgia,41,268,GEO,1,0,19.71,32.01,,605
The Republic of the Gambia,41,270,GMB,1,0,2.54,1.34,,17
Gaza Strip and West Bank,41,275,PSE,1,0,20.64,10.88,,295
Germany,41,276,DEU,1,0,31.23,79.97,,33197
Ghana,41,288,GHA,1,0,4.88,3.09,,508
Greece,41,300,GRC,1,0,32.89,85.81,,4346
"France, Guadeloupe",41,312,GLP,1,0,26.74,54.85,,101
Guam,41,316,GUM,1,0,18.36,25.45,,22
Guatemala,41,320,GTM,1,0,6.51,4.54,,416
Guinea,41,324,GIN,1,0,3.05,1.34,,90
Guyana,41,328,GUY,1,0,10.3,10.75,,43
Haiti,41,332,HTI,1,0,10.02,7.6,,438
Honduras,41,340,HND,1,0,7.48,5.48,,280
Hungary,41,348,HUN,1,0,62.39,122.61,,5611
Iceland,41,352,ISL,1,0,32.16,62.8,,109
India,41,356,IND,1,0,6.08,5.93,,43360
Indonesia,41,360,IDN,1,0,15.68,15.59,,21903
"Iran, Islamic Republic of",41,364,IRN,1,0,15.86,16.95,,7354
Iraq,41,368,IRQ,1,0,10.81,6.15,,1312
Ireland,41,372,IRL,1,0,38.85,71.3,,1778
Israel,41,376,ISR,1,0,28.61,37.69,,1676
Italy,41,380,ITA,1,0,35.97,99.48,,29225
"Côte d'Ivoire",41,384,CIV,1,0,7.57,4.09,,571
Jamaica,41,388,JAM,1,0,25.8,32.7,,484
Japan,41,392,JPN,1,0,45.45,131.22,,80435
Kazakhstan,41,398,KAZ,1,0,19.59,19.11,,1782
Jordan,41,400,JOR,1,0,16.99,12.05,,629
Kenya,41,404,KEN,1,0,12.3,5.34,,1492
"Korea, Democratic People Republic of",41,408,PRK,1,0,23.79,29.58,,3761
"Korea, Republic of",41,410,KOR,1,0,33.81,67.59,,17361
Kuwait,41,414,KWT,1,0,11.1,9.73,,261
Kyrgyzstan,41,417,KGZ,1,0,9.99,6.61,,220
"Lao People's Democratic Republic",41,418,LAO,1,0,15.92,11.1,,417
Lebanon,41,422,LBN,1,0,16,18.43,,621
Lesotho,41,426,LSO,1,0,7.79,4.74,,51
Latvia,41,428,LVA,1,0,31.12,64.71,,552
Liberia,41,430,LBR,1,0,5,2.77,,74
Libya,41,434,LBY,1,0,16.81,12.73,,452
Lithuania,41,440,LTU,1,0,29.31,62.52,,770
Luxembourg,41,442,LUX,1,0,28.05,54.44,,177
Madagascar,41,450,MDG,1,0,5.3,2.86,,416
Malawi,41,454,MWI,1,0,5.73,2.48,,247
Malaysia,41,458,MYS,1,0,21.44,22.73,,3873
Maldives,41,462,MDV,1,0,15.63,10.66,,36
Mali,41,466,MLI,1,0,8.78,3.91,,421
Malta,41,470,MLT,1,0,30.95,72.25,,161
"France, Martinique",41,474,MTQ,1,0,24.89,61.72,,106
Mauritania,41,478,MRT,1,0,7.03,3.9,,96
Mauritius,41,480,MUS,1,0,19.98,32.01,,201
Mexico,41,484,MEX,1,0,12.32,12.99,,8359
Mongolia,41,496,MNG,1,0,8.76,6.8,,113
Moldova,41,498,MDA,1,0,39.16,56.63,,1087
Montenegro,41,499,MNE,1,0,28.58,50.87,,158
Morocco,41,504,MAR,1,0,13.38,14.67,,2752
Mozambique,41,508,MOZ,1,0,3.01,1.43,,230
Oman,41,512,OMN,1,0,13.36,9.33,,327
Namibia,41,516,NAM,1,0,10.42,5.87,,75
Nepal,41,524,NPL,1,0,5.68,4.92,,691
The Netherlands,41,528,NLD,1,0,50.13,117.59,,10090
New Caledonia,41,540,NCL,1,0,27.52,36.29,,53
Vanuatu,41,548,VUT,1,0,6.18,3.68,,6
New Zealand,41,554,NZL,1,0,46.12,93.68,,2255
Nicaragua,41,558,NIC,1,0,10.65,8.59,,287
Niger,41,562,NER,1,0,6.76,3.31,,435
Nigeria,41,566,NGA,1,0,8.63,4.1,,4507
Norway,41,578,NOR,1,0,47.23,100.79,,2811
Pakistan,41,586,PAK,1,0,6.31,4.72,,5579
Panama,41,591,PAN,1,0,15.11,17.49,,389
Papua New Guinea,41,598,PNG,1,0,15.2,8.28,,393
Paraguay,41,600,PRY,1,0,23.31,21.67,,804
Peru,41,604,PER,1,0,10.89,13.44,,2248
Philippines,41,608,PHL,1,0,25.56,20.17,,11386
Poland,41,616,POL,1,0,42.02,85.43,,15619
Portugal,41,620,PRT,1,0,50.79,126.89,,6092
Guinea-Bissau,41,624,GNB,1,0,4.46,2.18,,22
Timor-Leste,41,626,TLS,1,0,9.76,6.07,,42
Puerto Rico,41,630,PRI,1,0,35.05,72.69,,974
Qatar,41,634,QAT,1,0,7.29,5.43,,121
"France, La Réunion",41,638,REU,1,0,24.09,39.83,,175
Romania,41,642,ROU,1,0,44.08,87.07,,8056
Russian Federation,41,643,RUS,1,0,36.47,58.05,,39239
Rwanda,41,646,RWA,1,0,5.27,3.05,,204
Saint Lucia,41,662,LCA,1,0,15.41,23.04,,21
Sao Tome and Principe,41,678,STP,1,0,7.26,3.51,,4
Saudi Arabia,41,682,SAU,1,0,12.96,12.23,,2532
Senegal,41,686,SEN,1,0,6.73,3.34,,288
Serbia,41,688,SRB,1,0,41.31,80.41,,3407
Sierra Leone,41,694,SLE,1,0,0.35,0.17,,7
Singapore,41,702,SGP,1,0,39.41,74.84,,2328
Slovakia,41,703,SVK,1,0,49.59,93.38,,2483
Viet Nam,41,704,VNM,1,0,17.54,19.09,,9433
Slovenia,41,705,SVN,1,0,40.27,92.32,,956
Somalia,41,706,SOM,1,0,9.71,4.53,,380
South Africa,41,710,ZAF,1,0,16.97,12.95,,3873
Zimbabwe,41,716,ZWE,1,0,10.79,4.64,,340
Spain,41,724,ESP,1,0,44.72,104.02,,23892
South Sudan,41,728,SSD,1,0,6.16,3.42,,199
Sudan,41,729,SDN,1,0,5.66,3.66,,840
Suriname,41,740,SUR,1,0,19.15,18.68,,56
Eswatini,41,748,SWZ,1,0,4.19,2.4,,14
Sweden,41,752,SWE,1,0,33.83,78.81,,4037
Switzerland,41,756,CHE,1,0,29.16,66.37,,2891
Syrian Arab Republic,41,760,SYR,1,0,10.1,7.28,,705
Tajikistan,41,762,TJK,1,0,7.66,4.59,,230
Thailand,41,764,THA,1,0,17.7,30,,10216
Togo,41,768,TGO,1,0,10.1,5.16,,223
Trinidad and Tobago,41,780,TTO,1,0,21.12,31.71,,220
United Arab Emirates,41,784,ARE,1,0,11.26,4.99,,346
Tunisia,41,788,TUN,1,0,12.91,15.72,,939
Türkiye,41,792,TUR,1,0,23.93,27.62,,11664
Turkmenistan,41,795,TKM,1,0,6.75,5.31,,162
Uganda,41,800,UGA,1,0,9.25,3.29,,787
Ukraine,41,804,UKR,1,0,31.22,52.09,,10429
North Macedonia,41,807,MKD,1,0,29.59,50.92,,530
Egypt,41,818,EGY,1,0,6.6,5.48,,2939
United Kingdom,41,826,GBR,1,0,35.08,78.5,,26593
"Tanzania, United Republic of",41,834,TZA,1,0,6.89,3.26,,1031
United States of America,41,840,USA,1,0,30.06,50.81,,84172
Burkina Faso,41,854,BFA,1,0,2,1.3,,144
Uruguay,41,858,URY,1,0,36.89,60.4,,1021
Uzbekistan,41,860,UZB,1,0,9.99,8.27,,1419
Venezuela,41,862,VEN,1,0,21.79,23.55,,3389
Samoa,41,882,WSM,1,0,33.88,25.79,,27
Yemen,41,887,YEM,1,0,9.48,5.3,,832
Zambia,41,894,ZMB,1,0,6.56,2.47,,238
