Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,33,4,AFG,1,0,0.89,0.75,,157
Albania,33,8,ALB,1,0,2.21,2.67,,39
Algeria,33,12,DZA,1,0,2.21,2.23,,510
Angola,33,24,AGO,1,0,0.16,0.19,,33
Azerbaijan,33,31,AZE,1,0,2.23,2.31,,119
Argentina,33,32,ARG,1,0,2.25,2.47,,555
Australia,33,36,AUS,1,0,2.91,3.37,,438
Austria,33,40,AUT,1,0,1.83,2.1,,94
Bahamas,33,44,BHS,1,0,1.41,1.54,,3
Bahrain,33,48,BHR,1,0,0.71,0.78,,9
Bangladesh,33,50,BGD,1,0,0.43,0.43,,366
Armenia,33,51,ARM,1,0,1.97,2.07,,29
Barbados,33,52,BRB,1,0,0,0,,0
Belgium,33,56,BEL,1,0,3.37,3.76,,218
Bhutan,33,64,BTN,1,0,0,0,,0
Bolivia,33,68,BOL,1,0,1.78,1.73,,104
Bosnia Herzegovina,33,70,BIH,1,0,2.63,3.14,,50
Botswana,33,72,BWA,1,0,1.34,1.35,,16
Brazil,33,76,BRA,1,0,1.25,1.42,,1501
Belize,33,84,BLZ,1,0,1.18,1.47,,3
Solomon Islands,33,90,SLB,1,0,0.69,0.82,,3
Brunei Darussalam,33,96,BRN,1,0,1.58,1.73,,4
Bulgaria,33,100,BGR,1,0,1.41,1.41,,47
Myanmar,33,104,MMR,1,0,0.34,0.33,,88
Burundi,33,108,BDI,1,0,1.14,0.75,,47
Belarus,33,112,BLR,1,0,2.29,2.5,,110
Cambodia,33,116,KHM,1,0,0.58,0.54,,45
Cameroon,33,120,CMR,1,0,0.71,0.52,,72
Canada,33,124,CAN,1,0,2.95,3.4,,648
Cape Verde,33,132,CPV,1,0,0,0,,0
Central African Republic,33,140,CAF,1,0,0.66,0.52,,13
Sri Lanka,33,144,LKA,1,0,1.15,1.31,,135
Chad,33,148,TCD,1,0,0.34,0.35,,30
Chile,33,152,CHL,1,0,1.52,1.74,,165
China,33,160,CHN,1,0,0.28,0.37,,2664
Colombia,33,170,COL,1,0,1.31,1.46,,370
Comoros,33,174,COM,1,0,0.17,0.22,,1
"Congo, Republic of",33,178,COG,1,0,0.1,0.1,,3
"Congo, Democratic Republic of",33,180,COD,1,0,0.53,0.38,,183
Costa Rica,33,188,CRI,1,0,1.85,2.05,,53
Croatia,33,191,HRV,1,0,1.88,2.04,,40
Cuba,33,192,CUB,1,0,2.65,3.14,,176
Cyprus,33,196,CYP,1,0,3.04,3.6,,22
Czechia,33,203,CZE,1,0,2.55,3.21,,170
Benin,33,204,BEN,1,0,0.68,0.38,,24
Denmark,33,208,DNK,1,0,2.94,3.59,,104
Dominican Republic,33,214,DOM,1,0,2.14,2.25,,124
Ecuador,33,218,ECU,1,0,1.22,1.27,,115
El Salvador,33,222,SLV,1,0,1.01,1.14,,35
Equatorial Guinea,33,226,GNQ,1,0,0.34,0.36,,3
Ethiopia,33,231,ETH,1,0,0.9,0.91,,553
Eritrea,33,232,ERI,1,0,1.05,0.93,,17
Estonia,33,233,EST,1,0,2.42,2.87,,18
Fiji,33,242,FJI,1,0,1.61,1.74,,8
Finland,33,246,FIN,1,0,2.99,3.72,,102
France (metropolitan),33,250,FRA,1,0,3.66,3.82,,1213
French Guyana,33,254,GUF,1,0,0.74,0.64,,1
French Polynesia,33,258,PYF,1,0,0,0,,0
Djibouti,33,262,DJI,1,0,0.53,0.56,,3
Gabon,33,266,GAB,1,0,0.35,0.34,,4
Georgia,33,268,GEO,1,0,2.96,3.39,,64
The Republic of the Gambia,33,270,GMB,1,0,0.32,0.39,,5
Gaza Strip and West Bank,33,275,PSE,1,0,1.98,1.96,,53
Germany,33,276,DEU,1,0,3.03,3.94,,1637
Ghana,33,288,GHA,1,0,0.72,0.6,,99
Greece,33,300,GRC,1,0,1.69,2.37,,120
"France, Guadeloupe",33,312,GLP,1,0,0.55,0.54,,1
Guam,33,316,GUM,1,0,0,0,,0
Guatemala,33,320,GTM,1,0,1.29,1.11,,102
Guinea,33,324,GIN,1,0,0.76,0.64,,43
Guyana,33,328,GUY,1,0,0,0,,0
Haiti,33,332,HTI,1,0,0.98,0.82,,47
Honduras,33,340,HND,1,0,2.18,2.13,,109
Hungary,33,348,HUN,1,0,2.24,2.49,,114
Iceland,33,352,ISL,1,0,2.02,2.3,,4
India,33,356,IND,1,0,0.8,0.8,,5880
Indonesia,33,360,IDN,1,0,0.62,0.65,,912
"Iran, Islamic Republic of",33,364,IRN,1,0,2.64,2.73,,1185
Iraq,33,368,IRQ,1,0,2.63,2.23,,476
Ireland,33,372,IRL,1,0,3.57,4.29,,107
Israel,33,376,ISR,1,0,2.97,3.06,,136
Italy,33,380,ITA,1,0,3.89,4.16,,1223
"Côte d'Ivoire",33,384,CIV,1,0,0.66,0.57,,79
Jamaica,33,388,JAM,1,0,0.5,0.54,,8
Japan,33,392,JPN,1,0,1.26,2.18,,1338
Kazakhstan,33,398,KAZ,1,0,1.09,1.09,,102
Jordan,33,400,JOR,1,0,2.3,2.3,,120
Kenya,33,404,KEN,1,0,0.98,0.91,,253
"Korea, Democratic People Republic of",33,408,PRK,1,0,0.49,0.52,,66
"Korea, Republic of",33,410,KOR,1,0,0.61,0.78,,201
Kuwait,33,414,KWT,1,0,2.11,2.16,,58
Kyrgyzstan,33,417,KGZ,1,0,0.94,0.87,,29
"Lao People's Democratic Republic",33,418,LAO,1,0,0.29,0.29,,11
Lebanon,33,422,LBN,1,0,3.28,3.59,,121
Lesotho,33,426,LSO,1,0,0.37,0.37,,4
Latvia,33,428,LVA,1,0,3.15,3.28,,28
Liberia,33,430,LBR,1,0,0.58,0.56,,15
Libya,33,434,LBY,1,0,1.94,1.89,,67
