Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,14,4,AFG,1,0,2.03,0.94,,197
Albania,14,8,ALB,1,0,5.92,9.87,,144
Algeria,14,12,DZA,1,0,4.07,3.9,,893
Angola,14,24,AGO,1,0,3.71,1.44,,249
Azerbaijan,14,31,AZE,1,0,5.68,6.41,,330
Argentina,14,32,ARG,1,0,3.94,4.78,,1074
Australia,14,36,AUS,1,0,2.12,3.94,,512
Austria,14,40,AUT,1,0,3.29,6.46,,289
Bahamas,14,44,BHS,1,0,4.16,4.62,,9
Bahrain,14,48,BHR,1,0,2.35,1.12,,13
Bangladesh,14,50,BGD,1,0,6.7,6.15,,5217
Armenia,14,51,ARM,1,0,6.43,8.8,,123
Barbados,14,52,BRB,1,0,2.83,6.45,,9
Belgium,14,56,BEL,1,0,3.35,6.77,,392
Bhutan,14,64,BTN,1,0,2.79,2.62,,11
Bolivia,14,68,BOL,1,0,2.01,1.88,,113
Bosnia Herzegovina,14,70,BIH,1,0,7.85,14.71,,234
Botswana,14,72,BWA,1,0,4.59,2.7,,32
Brazil,14,76,BRA,1,0,5.45,6.8,,7191
Belize,14,84,BLZ,1,0,3.6,3.42,,7
Solomon Islands,14,90,SLB,1,0,1.66,1.09,,4
Brunei Darussalam,14,96,BRN,1,0,0.32,0.43,,1
Bulgaria,14,100,BGR,1,0,6,11.74,,390
Myanmar,14,104,MMR,1,0,4.54,4.23,,1125
Burundi,14,108,BDI,1,0,1.99,0.75,,47
Belarus,14,112,BLR,1,0,9.82,15.43,,678
Cambodia,14,116,KHM,1,0,2.74,1.81,,152
Cameroon,14,120,CMR,1,0,0.44,0.2,,28
Canada,14,124,CAN,1,0,2.15,4.52,,862
Cape Verde,14,132,CPV,1,0,2.45,1.75,,5
Central African Republic,14,140,CAF,1,0,1.05,0.44,,11
Sri Lanka,14,144,LKA,1,0,4.76,6.71,,693
Chad,14,148,TCD,1,0,0.51,0.39,,34
Chile,14,152,CHL,1,0,1.4,2.26,,215
China,14,160,CHN,1,0,2.19,3.77,,27169
Colombia,14,170,COL,1,0,2.59,3.18,,803
