Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,1,4,AFG,1,0,6.31,3.31,,691
Albania,1,8,ALB,1,0,2.36,4.39,,64
Algeria,1,12,DZA,1,0,1.01,1,,228
Angola,1,24,AGO,1,0,3.54,1.62,,281
Azerbaijan,1,31,AZE,1,0,2.87,2.83,,146
Argentina,1,32,ARG,1,0,3,3.55,,798
Australia,1,36,AUS,1,0,8.37,13.84,,1796
Austria,1,40,AUT,1,0,4.99,9.49,,425
Bahamas,1,44,BHS,1,0,2.54,3.08,,6
Bahrain,1,48,BHR,1,0,2.38,1.81,,21
Bangladesh,1,50,BGD,1,0,13.61,12.72,,10785
Armenia,1,51,ARM,1,0,3.16,4.15,,58
Barbados,1,52,BRB,1,0,2.78,5.73,,8
Belgium,1,56,BEL,1,0,6.57,12.43,,720
Bhutan,1,64,BTN,1,0,4.29,4.05,,17
Bolivia,1,68,BOL,1,0,0.75,0.7,,42
Bosnia Herzegovina,1,70,BIH,1,0,4,7.54,,120
Botswana,1,72,BWA,1,0,8.01,5.15,,61
Brazil,1,76,BRA,1,0,6.3,7.82,,8269
Belize,1,84,BLZ,1,0,0,0,,0
Solomon Islands,1,90,SLB,1,0,3.39,2.18,,8
Brunei Darussalam,1,96,BRN,1,0,0,0,,0
Bulgaria,1,100,BGR,1,0,4.58,8.67,,288
Myanmar,1,104,MMR,1,0,6.58,6.21,,1654
Burundi,1,108,BDI,1,0,2.9,1.13,,71
Belarus,1,112,BLR,1,0,11.15,17.09,,751
Cambodia,1,116,KHM,1,0,4.33,3.02,,253
Cameroon,1,120,CMR,1,0,2.2,1.08,,151
Canada,1,124,CAN,1,0,6.04,11.7,,2230
Cape Verde,1,132,CPV,1,0,6.2,4.56,,13
Central African Republic,1,140,CAF,1,0,1.65,0.8,,20
Sri Lanka,1,144,LKA,1,0,14.04,19.27,,1990
Chad,1,148,TCD,1,0,0.78,0.38,,33
Chile,1,152,CHL,1,0,1.59,2.33,,221
China,1,160,CHN,1,0,2.02,3.35,,24169
Colombia,1,170,COL,1,0,1.31,1.57,,396
Comoros,1,174,COM,1,0,3.12,1.53,,7
"Congo, Republic of",1,178,COG,1,0,0.66,0.38,,11
"Congo, Democratic Republic of",1,180,COD,1,0,1.37,0.65,,311
Costa Rica,1,188,CRI,1,0,1.82,2.51,,65
Croatia,1,191,HRV,1,0,5.48,10.82,,212
Cuba,1,192,CUB,1,0,8,14.12,,792
Cyprus,1,196,CYP,1,0,2.98,4.58,,28
Czechia,1,203,CZE,1,0,6.05,11.38,,602
Benin,1,204,BEN,1,0,1.03,0.56,,36
Denmark,1,208,DNK,1,0,5.26,10.14,,294
Dominican Republic,1,214,DOM,1,0,1.66,1.72,,95
Ecuador,1,218,ECU,1,0,1.26,1.33,,120
El Salvador,1,222,SLV,1,0,1.25,1.4,,43
