Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,11,4,AFG,1,0,5.53,2.51,,524
Albania,11,8,ALB,1,0,4.17,7.47,,109
Algeria,11,12,DZA,1,0,1.89,1.85,,423
Angola,11,24,AGO,1,0,8.35,4.13,,716
Azerbaijan,11,31,AZE,1,0,5.7,6.08,,313
Argentina,11,32,ARG,1,0,5.37,6.85,,1538
Australia,11,36,AUS,1,0,11.39,18.94,,2458
Austria,11,40,AUT,1,0,7.64,17.29,,774
Bahamas,11,44,BHS,1,0,6.95,7.7,,15
Bahrain,11,48,BHR,1,0,3.04,1.81,,21
Bangladesh,11,50,BGD,1,0,3.07,2.8,,2376
Armenia,11,51,ARM,1,0,15.54,22.18,,310
Barbados,11,52,BRB,1,0,3.2,5.73,,8
Belgium,11,56,BEL,1,0,7.23,15.56,,901
Bhutan,11,64,BTN,1,0,6.43,6.2,,26
Bolivia,11,68,BOL,1,0,6.15,6.6,,397
Bosnia Herzegovina,11,70,BIH,1,0,8.4,17.29,,275
Botswana,11,72,BWA,1,0,1.66,1.1,,13
Brazil,11,76,BRA,1,0,5.92,7.51,,7939
Belize,11,84,BLZ,1,0,8.92,6.84,,14
Solomon Islands,11,90,SLB,1,0,17.26,10.91,,40
Brunei Darussalam,11,96,BRN,1,0,12.48,12.56,,29
Bulgaria,11,100,BGR,1,0,6.32,13.12,,436
Myanmar,11,104,MMR,1,0,16.23,15.04,,4003
Burundi,11,108,BDI,1,0,7.31,3.32,,208
Belarus,11,112,BLR,1,0,6.06,9.51,,418
Cambodia,11,116,KHM,1,0,39.4,28.55,,2394
Cameroon,11,120,CMR,1,0,8.83,5.21,,727
Canada,11,124,CAN,1,0,8.08,16.89,,3220
Cape Verde,11,132,CPV,1,0,1.68,1.75,,5
Central African Republic,11,140,CAF,1,0,9.32,4.74,,118
Sri Lanka,11,144,LKA,1,0,1.89,2.72,,281
Chad,11,148,TCD,1,0,22.97,11.11,,966
Chile,11,152,CHL,1,0,5.86,9.4,,893
China,11,160,CHN,1,0,22.72,37.16,,267898
Colombia,11,170,COL,1,0,4.02,4.97,,1258
Comoros,11,174,COM,1,0,6.01,4.37,,20
"Congo, Republic of",11,178,COG,1,0,9.8,6.45,,187
"Congo, Democratic Republic of",11,180,COD,1,0,8.46,4.54,,2160
Costa Rica,11,188,CRI,1,0,6.25,9.31,,241
Croatia,11,191,HRV,1,0,8.28,18.98,,372
Cuba,11,192,CUB,1,0,4.72,9.37,,526
Cyprus,11,196,CYP,1,0,7.68,13.24,,81
Czechia,11,203,CZE,1,0,5.51,12.4,,656
Benin,11,204,BEN,1,0,11.72,6.61,,422
Denmark,11,208,DNK,1,0,6.54,14.93,,433
Dominican Republic,11,214,DOM,1,0,7.68,8.21,,453
Ecuador,11,218,ECU,1,0,5.33,5.83,,528
El Salvador,11,222,SLV,1,0,5.97,6.82,,209
Equatorial Guinea,11,226,GNQ,1,0,9.37,6.97,,58
Ethiopia,11,231,ETH,1,0,5.14,2.72,,1647
Eritrea,11,232,ERI,1,0,5.36,3.05,,56
Estonia,11,233,EST,1,0,7.26,13.53,,85
Fiji,11,242,FJI,1,0,14.6,13.69,,63
Finland,11,246,FIN,1,0,6,16.56,,454
France (metropolitan),11,250,FRA,1,0,12.65,27.46,,8715
French Guyana,11,254,GUF,1,0,7.72,7.07,,11
French Polynesia,11,258,PYF,1,0,11.88,16,,23
Djibouti,11,262,DJI,1,0,4.95,4.13,,22
Gabon,11,266,GAB,1,0,9.99,7.76,,92
Georgia,11,268,GEO,1,0,11.54,17.35,,328
The Republic of the Gambia,11,270,GMB,1,0,27.98,17.02,,216
Gaza Strip and West Bank,11,275,PSE,1,0,6.44,3.36,,91
Germany,11,276,DEU,1,0,6.74,16.13,,6695
Ghana,11,288,GHA,1,0,21.65,16.17,,2656
Greece,11,300,GRC,1,0,8.05,21.7,,1099
"France, Guadeloupe",11,312,GLP,1,0,6.64,14.12,,26
Guam,11,316,GUM,1,0,26.11,33.55,,29
Guatemala,11,320,GTM,1,0,16.25,10.75,,985
Guinea,11,324,GIN,1,0,30.68,13.8,,929
Guyana,11,328,GUY,1,0,3.59,3.75,,15
Haiti,11,332,HTI,1,0,10.66,8.24,,475
Honduras,11,340,HND,1,0,7.06,5.38,,275
Hungary,11,348,HUN,1,0,7.06,14.01,,641
Iceland,11,352,ISL,1,0,5.98,13.83,,24
India,11,356,IND,1,0,3.9,3.74,,27334
Indonesia,11,360,IDN,1,0,12.86,13.03,,18314
"Iran, Islamic Republic of",11,364,IRN,1,0,7,7.36,,3192
Iraq,11,368,IRQ,1,0,3.89,1.93,,412
Ireland,11,372,IRL,1,0,7.81,13.8,,344
Israel,11,376,ISR,1,0,3.62,4.74,,211
Italy,11,380,ITA,1,0,10.66,27.52,,8084
"Côte d'Ivoire",11,384,CIV,1,0,10.32,6.32,,883
Jamaica,11,388,JAM,1,0,3.01,3.65,,54
Japan,11,392,JPN,1,0,14.56,46.79,,28678
Kazakhstan,11,398,KAZ,1,0,7.79,7.66,,714
Jordan,11,400,JOR,1,0,2.97,2.11,,110
Kenya,11,404,KEN,1,0,3.19,1.67,,467
"Korea, Democratic People Republic of",11,408,PRK,1,0,25.44,32.65,,4151
"Korea, Republic of",11,410,KOR,1,0,22.34,43.94,,11286
Kuwait,11,414,KWT,1,0,4.99,3.91,,105
Kyrgyzstan,11,417,KGZ,1,0,11.58,8.2,,273
"Lao People's Democratic Republic",11,418,LAO,1,0,36.5,25.88,,972
